figure	topology	metric	dataset	median_pct_change	ci_low_pct	ci_high_pct
Supplementary Figure S13	hexagonal	QE_B	blobs	4.5418	3.0375	6.0462
Supplementary Figure S13	hexagonal	QE_B	circles	4.5998	3.6022	5.5974
Supplementary Figure S13	hexagonal	QE_B	moons	3.5895	2.0510	5.1280
Supplementary Figure S13	hexagonal	QE_B	s_curve	9.7727	9.0814	10.4640
Supplementary Figure S13	hexagonal	QE_B	swiss_roll	17.6702	16.7526	18.5878
Supplementary Figure S13	hexagonal	QE_B	breast_cancer	6.3990	5.5895	7.2084
Supplementary Figure S13	hexagonal	QE_B	wine	15.0518	13.1130	16.9905
Supplementary Figure S13	hexagonal	QE_B	iris	19.6158	17.7567	21.4750
Supplementary Figure S13	hexagonal	QE_B	digits	7.7568	7.3648	8.1489
Supplementary Figure S13	hexagonal	QE_B	olivetti_faces	10.3670	9.5746	11.1594
Supplementary Figure S13	hexagonal	QE_B	diabetes	9.1330	8.2954	9.9707
Supplementary Figure S13	hexagonal	QE_B	california_housing	8.9193	8.4319	9.4067
Supplementary Figure S13	hexagonal	QE_B	covertype	29.6621	28.3242	31.0000
Supplementary Figure S13	hexagonal	QE_B	kddcup99	35.5053	34.0328	36.9779
Supplementary Figure S13	hexagonal	QE_B	GLOBAL_OVERALL	13.0417	11.4631	14.6204
Supplementary Figure S13	hexagonal	QE_H	blobs	3.8869	2.4806	5.2931
Supplementary Figure S13	hexagonal	QE_H	circles	4.1388	3.1274	5.1503
Supplementary Figure S13	hexagonal	QE_H	moons	2.9919	1.3076	4.6761
Supplementary Figure S13	hexagonal	QE_H	s_curve	9.2419	8.4744	10.0095
Supplementary Figure S13	hexagonal	QE_H	swiss_roll	17.3207	16.3909	18.2504
Supplementary Figure S13	hexagonal	QE_H	breast_cancer	-0.9970	-1.6830	-0.3110
Supplementary Figure S13	hexagonal	QE_H	wine	-2.8868	-4.4124	-1.3613
Supplementary Figure S13	hexagonal	QE_H	iris	-0.4904	-2.1865	1.2058
Supplementary Figure S13	hexagonal	QE_H	digits	4.5103	4.0172	5.0034
Supplementary Figure S13	hexagonal	QE_H	olivetti_faces	1.9861	0.7690	3.2032
Supplementary Figure S13	hexagonal	QE_H	diabetes	2.2450	1.1198	3.3702
Supplementary Figure S13	hexagonal	QE_H	california_housing	8.0301	7.4144	8.6458
Supplementary Figure S13	hexagonal	QE_H	covertype	29.6665	28.3026	31.0305
Supplementary Figure S13	hexagonal	QE_H	kddcup99	35.1253	33.6747	36.5759
Supplementary Figure S13	hexagonal	QE_H	GLOBAL_OVERALL	8.1978	6.3289	10.0667
Supplementary Figure S13	hexagonal	QE_T	blobs	5.1961	3.5689	6.8233
Supplementary Figure S13	hexagonal	QE_T	circles	5.0606	4.0085	6.1127
Supplementary Figure S13	hexagonal	QE_T	moons	4.1898	2.7833	5.5963
Supplementary Figure S13	hexagonal	QE_T	s_curve	10.3044	9.6672	10.9416
Supplementary Figure S13	hexagonal	QE_T	swiss_roll	18.0210	17.1010	18.9411
Supplementary Figure S13	hexagonal	QE_T	breast_cancer	15.3534	14.1184	16.5884
Supplementary Figure S13	hexagonal	QE_T	wine	43.6818	39.1130	48.2507
Supplementary Figure S13	hexagonal	QE_T	iris	55.1557	50.9804	59.3310
Supplementary Figure S13	hexagonal	QE_T	digits	11.2012	10.7183	11.6841
Supplementary Figure S13	hexagonal	QE_T	olivetti_faces	20.4609	19.2364	21.6853
Supplementary Figure S13	hexagonal	QE_T	diabetes	17.7191	16.8369	18.6013
Supplementary Figure S13	hexagonal	QE_T	california_housing	9.8167	9.2321	10.4012
Supplementary Figure S13	hexagonal	QE_T	covertype	29.6576	28.3443	30.9708
Supplementary Figure S13	hexagonal	QE_T	kddcup99	35.8819	34.3431	37.4206
Supplementary Figure S13	hexagonal	QE_T	GLOBAL_OVERALL	20.1214	17.5722	22.6707
