dataset_index	dataset	metric	split	wins_floatsom	wins_xpysom	ties	win_rate_floatsom	median_delta_raw	median_pct_improvement	mean_pct_improvement	ci_low_pct	ci_high_pct	p_value	n_pairs	notes	effect_size_signed
8	blobs	quantization_error	train	0	10	0	0.0	0.003565959632396684	-2.729840129979138	-2.692731300805778	-3.758548032066181	-1.659672739925597	0.001953125	10	positive means FloatSOM is better	-1.0
5	breast_cancer	quantization_error	train	10	0	0	1.0	-0.1250598430633545	5.499788287082421	5.464953981090317	5.031542728256399	5.9376931925945415	0.001953125	10	positive means FloatSOM is better	1.0
7	california_housing	quantization_error	train	10	0	0	1.0	-0.02882528305053711	3.6186671051003523	3.6409845636836673	3.0745877446927077	4.2359331080536595	0.001953125	10	positive means FloatSOM is better	1.0
9	circles	quantization_error	train	1	9	0	0.1	0.00285071879625326	-1.701346977818458	-2.1090897597713054	-3.9804798942735067	-0.3778142523858972	0.013671875	10	positive means FloatSOM is better	-0.8
14	covertype	quantization_error	train	10	0	0	1.0	-0.4349985122680664	13.6238719632453	13.501571810874765	10.9437987389392	15.886957206413506	0.001953125	10	positive means FloatSOM is better	1.0
4	diabetes	quantization_error	train	10	0	0	1.0	-0.08639389276504528	6.288246661512501	6.33315736956296	5.20733150381194	7.518717191111419	0.001953125	10	positive means FloatSOM is better	1.0
6	digits	quantization_error	train	10	0	0	1.0	-0.19584059715270996	4.474941505752111	4.5436553748490685	4.072986832366999	5.001660564345512	0.001953125	10	positive means FloatSOM is better	1.0
1	iris	quantization_error	train	10	0	0	1.0	-0.04929021000862119	25.698507915698436	25.947068113232433	20.746851254384325	31.216349904942177	0.001953125	10	positive means FloatSOM is better	1.0
13	kddcup99	quantization_error	train	10	0	0	1.0	-0.09266498684883115	18.817228675446028	18.222681137705898	14.502667153408396	22.032381915960443	0.001953125	10	positive means FloatSOM is better	1.0
10	moons	quantization_error	train	2	8	0	0.2	0.0035703331232070923	-2.639707120657046	-2.384360208164955	-4.090719499160313	-0.5700810342862224	0.01953125	10	positive means FloatSOM is better	-0.6
3	olivetti_faces	quantization_error	train	10	0	0	1.0	-2.45947265625	6.975717490200493	7.44220325283914	5.965445954588539	9.379091386654933	0.001953125	10	positive means FloatSOM is better	1.0
11	s_curve	quantization_error	train	10	0	0	1.0	-0.010502293705940191	3.067492229860358	2.998576662681345	1.5731774253922477	4.531828956282092	0.001953125	10	positive means FloatSOM is better	1.0
12	swiss_roll	quantization_error	train	10	0	0	1.0	-0.017594546079635648	5.781937131926642	5.302481956591642	4.122880734718552	6.235585337367306	0.001953125	10	positive means FloatSOM is better	1.0
2	wine	quantization_error	train	10	0	0	1.0	-0.22788542509079013	18.780425637181132	18.621729144181405	15.966861551625662	21.416047499718793	0.001953125	10	positive means FloatSOM is better	1.0
	GLOBAL	quantization_error	train	113	27	0	0.8071428571428572	-0.09227813407778748	6.157434535989022	7.488063007039328	5.061705989324634	8.120379733006931	5.797699144093913e-18	140	pooled paired samples across datasets	0.6142857142857143
8	blobs	quantization_error	holdout	0	10	0	0.0	0.004102326929569244	-3.0403380711046473	-2.914589724161808	-3.885392786314709	-1.8988414031756222	0.001953125	10	positive means FloatSOM is better	-1.0
5	breast_cancer	quantization_error	holdout	3	7	0	0.3	0.004495739936828613	-0.1679401375619422	-0.0809120817589579	-0.6344454159630621	0.5026432500467084	0.431640625	10	positive means FloatSOM is better	-0.4
7	california_housing	quantization_error	holdout	10	0	0	1.0	-0.02927994728088379	3.5473004455985535	3.461565094584915	2.8160646373623317	3.9655515170792937	0.001953125	10	positive means FloatSOM is better	1.0
9	circles	quantization_error	holdout	2	8	0	0.2	0.004126250743865953	-2.4349826114608404	-2.581719972721522	-4.259127939388303	-0.7108391816162605	0.009765625	10	positive means FloatSOM is better	-0.6
14	covertype	quantization_error	holdout	10	0	0	1.0	-0.4360041618347168	13.533941548567753	13.477275086634776	11.087221417432284	15.766972262059404	0.001953125	10	positive means FloatSOM is better	1.0
4	diabetes	quantization_error	holdout	8	2	0	0.8	-0.01655656099319469	0.9929595361837276	0.9844812259239667	0.05240410024048425	1.934793086381792	0.048828125	10	positive means FloatSOM is better	0.6
6	digits	quantization_error	holdout	10	0	0	1.0	-0.11967778205871538	2.621334438313082	2.613335213442779	2.0362463074156856	3.116887852329155	0.001953125	10	positive means FloatSOM is better	1.0
1	iris	quantization_error	holdout	3	7	0	0.3	0.004525408148765592	-1.3578528375188066	-1.294809781918692	-4.63146090171639	2.0699277431583867	0.375	10	positive means FloatSOM is better	-0.4
13	kddcup99	quantization_error	holdout	10	0	0	1.0	-0.09281644225120544	18.83463585917733	18.177966948057776	14.632131983313093	21.92474589263648	0.001953125	10	positive means FloatSOM is better	1.0
