Profile	Dataset	Topology	n	QE_H	QE_T	QE_B	MTR_H	MTR_T	MTR_B	Util_H	Util_T	Util_B	Dead_H	Dead_T	Dead_B
untuned	blobs	hexagonal	20	0.1321	0.1313	0.1317	3.5132	3.5212	3.5172	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	blobs	mst	20	0.1341	0.1324	0.1332	5.2326	5.1119	5.1723	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	blobs	rng	20	0.1325	0.1307	0.1316	2.7535	2.7181	2.7358	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	breast_cancer	hexagonal	20	2.6474	2.2132	2.4303	9.9298	6.7921	8.3610	0.7930	0.9930	0.8930	0.2070	0.0070	0.1070
untuned	breast_cancer	mst	20	2.6624	2.0732	2.3678	13.4902	7.3257	10.4079	0.7445	0.9935	0.8690	0.2555	0.0065	0.1310
untuned	breast_cancer	rng	20	2.6515	2.0799	2.3657	7.7404	4.1496	5.9450	0.7660	0.9940	0.8800	0.2340	0.0060	0.1200
untuned	california_housing	hexagonal	20	0.7910	0.7856	0.7883	8.4626	8.3360	8.3993	0.9995	1.0000	0.9998	5.00e-04	0.0000	2.50e-04
untuned	california_housing	mst	20	0.7600	0.7451	0.7526	7.8776	7.6936	7.7856	0.9930	1.0000	0.9965	0.0070	0.0000	0.0035
untuned	california_housing	rng	20	0.7646	0.7522	0.7584	4.5736	4.4653	4.5195	0.9935	1.0000	0.9967	0.0065	0.0000	0.0033
untuned	circles	hexagonal	20	0.1611	0.1590	0.1601	3.5646	3.5441	3.5543	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	circles	mst	20	0.1653	0.1620	0.1636	7.2056	6.9061	7.0558	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	circles	rng	20	0.1627	0.1599	0.1613	2.8684	2.8279	2.8481	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	covertype	hexagonal	20	3.2499	3.2515	3.2507	3.6170	3.6102	3.6136	0.6585	0.6635	0.6610	0.3415	0.3365	0.3390
untuned	covertype	mst	20	2.4536	2.4535	2.4536	2.3593	2.3616	2.3604	0.8460	0.8470	0.8465	0.1540	0.1530	0.1535
untuned	covertype	rng	20	2.6068	2.6067	2.6068	2.4747	2.4737	2.4742	0.8545	0.8550	0.8547	0.1455	0.1450	0.1453
untuned	diabetes	hexagonal	20	1.6952	1.3289	1.5121	13.1182	7.7649	10.4416	0.6970	0.9295	0.8133	0.3030	0.0705	0.1867
untuned	diabetes	mst	20	1.6718	1.2181	1.4450	14.5970	7.9549	11.2760	0.7015	0.9725	0.8370	0.2985	0.0275	0.1630
untuned	diabetes	rng	20	1.6803	1.2362	1.4583	9.7368	4.1324	6.9346	0.7065	0.9815	0.8440	0.2935	0.0185	0.1560
untuned	digits	hexagonal	20	4.5856	4.2735	4.4296	7.6155	6.3931	7.0043	0.9205	0.9665	0.9435	0.0795	0.0335	0.0565
untuned	digits	mst	20	4.4317	3.9977	4.2147	7.2430	5.5079	6.3754	0.9515	0.9950	0.9732	0.0485	0.0050	0.0268
untuned	digits	rng	20	4.4481	4.0470	4.2475	5.0653	3.8881	4.4767	0.9625	0.9980	0.9803	0.0375	0.0020	0.0198
untuned	iris	hexagonal	20	0.3657	0.1823	0.2740	7.8578	5.3890	6.6234	0.3315	0.6690	0.5003	0.6685	0.3310	0.4997
untuned	iris	mst	20	0.3609	0.1138	0.2374	5.7900	1.8655	3.8277	0.3330	0.7785	0.5557	0.6670	0.2215	0.4442
untuned	iris	rng	20	0.3563	0.1149	0.2356	3.4344	1.7062	2.5703	0.3385	0.7910	0.5647	0.6615	0.2090	0.4353
untuned	kddcup99	hexagonal	20	0.4678	0.4662	0.4670	3.1121	3.1058	3.1089	0.8850	0.9140	0.8995	0.1150	0.0860	0.1005
untuned	kddcup99	mst	20	0.3386	0.3365	0.3376	1.7243	1.7225	1.7234	0.9760	0.9770	0.9765	0.0240	0.0230	0.0235
untuned	kddcup99	rng	20	0.3730	0.3712	0.3721	2.9179	2.9130	2.9155	0.9270	0.9310	0.9290	0.0730	0.0690	0.0710
untuned	moons	hexagonal	20	0.1355	0.1346	0.1351	3.1842	3.1787	3.1815	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	moons	mst	20	0.1376	0.1356	0.1366	4.8419	4.7384	4.7902	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	moons	rng	20	0.1357	0.1342	0.1349	2.6343	2.6125	2.6234	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	olivetti_faces	hexagonal	20	42.6773	34.2471	38.4622	8.9338	5.0171	6.9754	0.6115	0.8175	0.7145	0.3885	0.1825	0.2855
untuned	olivetti_faces	mst	20	41.6810	30.7001	36.1905	10.5162	4.4246	7.4704	0.6285	0.8775	0.7530	0.3715	0.1225	0.2470
untuned	olivetti_faces	rng	20	41.5030	30.9796	36.2413	6.9887	2.7613	4.8750	0.6325	0.8845	0.7585	0.3675	0.1155	0.2415
untuned	s_curve	hexagonal	20	0.3334	0.3319	0.3327	7.8608	7.8535	7.8571	0.9990	1.0000	0.9995	0.0010	0.0000	5.00e-04
untuned	s_curve	mst	20	0.3193	0.3155	0.3174	7.0170	6.7520	6.8845	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	s_curve	rng	20	0.3211	0.3180	0.3195	2.9213	2.8719	2.8966	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
untuned	swiss_roll	hexagonal	20	0.2902	0.2889	0.2896	8.7591	8.7911	8.7751	0.9325	0.9385	0.9355	0.0675	0.0615	0.0645
untuned	swiss_roll	mst	20	0.2725	0.2695	0.2710	9.4331	9.1974	9.3152	0.9240	0.9265	0.9252	0.0760	0.0735	0.0747
untuned	swiss_roll	rng	20	0.2721	0.2695	0.2708	2.8013	2.7562	2.7788	0.9645	0.9655	0.9650	0.0355	0.0345	0.0350
untuned	wine	hexagonal	20	1.9354	1.1334	1.5344	7.9569	3.7968	5.8769	0.3885	0.7155	0.5520	0.6115	0.2845	0.4480
untuned	wine	mst	20	1.9459	0.8674	1.4066	8.7875	2.6270	5.7073	0.3810	0.8185	0.5998	0.6190	0.1815	0.4003
untuned	wine	rng	20	1.9270	0.8784	1.4027	7.0421	2.0440	4.5430	0.3865	0.8120	0.5992	0.6135	0.1880	0.4008
tuned	blobs	hexagonal	20	0.1284	0.1258	0.1271	27.4818	27.5131	27.4974	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	blobs	mst	20	0.1285	0.1255	0.1270	6.7794	6.6317	6.7055	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	blobs	rng	20	0.1283	0.1254	0.1269	3.6686	3.6021	3.6353	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	breast_cancer	hexagonal	20	2.6571	1.9210	2.2891	35.9418	32.7551	34.3485	0.7165	0.9910	0.8538	0.2835	0.0090	0.1462
tuned	breast_cancer	mst	20	2.6625	1.8673	2.2649	15.7822	10.7114	13.2468	0.6955	0.9925	0.8440	0.3045	0.0075	0.1560
tuned	breast_cancer	rng	20	2.6530	1.8688	2.2609	10.5715	6.2888	8.4302	0.7120	0.9985	0.8553	0.2880	0.0015	0.1447
tuned	california_housing	hexagonal	20	0.7416	0.7197	0.7307	36.2493	36.0668	36.1580	0.9835	1.0000	0.9918	0.0165	0.0000	0.0083
tuned	california_housing	mst	20	0.7384	0.7150	0.7267	10.4011	10.1778	10.2894	0.9800	1.0000	0.9900	0.0200	0.0000	0.0100
tuned	california_housing	rng	20	0.7389	0.7162	0.7275	6.3594	6.2047	6.2821	0.9790	1.0000	0.9895	0.0210	0.0000	0.0105
tuned	circles	hexagonal	20	0.1560	0.1526	0.1543	31.0386	30.9675	31.0030	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	circles	mst	20	0.1566	0.1525	0.1545	9.9500	9.5644	9.7572	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
