dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.005381380021572129,4.083002385077302,4.083002385077302,0.8928011118875254,7.273203658267079,0.02372492347156337,1.0,0.026361026079514856,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.5589647054672241,23.48260392484146,23.48260392484146,21.212886880038855,25.752320969644064,8.741702381118407e-06,1.0,4.3708511905592035e-05,full_vs_hdsssom,Full vs HDSSOM
circles,5,5,0,0,1.0,-0.004800090193748474,3.0818947466253617,3.0818947466253617,0.7286858448625866,5.435103648388137,0.02203882198075971,1.0,0.026361026079514856,full_vs_hdsssom,Full vs HDSSOM
digits,5,5,0,0,1.0,-0.7837147235870361,19.03096186366871,19.03096186366871,17.19432030729415,20.867603420043274,8.688793004563146e-06,1.0,4.3708511905592035e-05,full_vs_hdsssom,Full vs HDSSOM
iris,5,5,0,0,1.0,-0.13623250499367714,58.19968100213356,58.19968100213356,38.00741074114913,78.39195126311799,0.0013223376974096984,1.0,0.0022038961623494975,full_vs_hdsssom,Full vs HDSSOM
moons,5,5,0,0,1.0,-0.005941046774387343,4.497127679905633,4.497127679905633,2.0747006188843145,6.9195547409269516,0.006724226221468621,1.0,0.009606037459240888,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-10.567006301879882,29.681588849136233,29.681588849136233,25.187593093634735,34.175584604637734,5.202541823265383e-05,1.0,0.00017341806077551274,full_vs_hdsssom,Full vs HDSSOM
s_curve,5,5,0,0,1.0,-0.012633490562438964,4.130074871473073,4.130074871473073,3.0895657780608974,5.170583964885248,0.0003853681856049936,1.0,0.0007707363712099872,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,5,3,2,0,0.6,-0.009687475860118866,3.963357080716352,3.963357080716352,-5.118912193532563,13.045626354965268,0.29234500604599123,0.2,0.29234500604599123,full_vs_hdsssom,Full vs HDSSOM
wine,5,5,0,0,1.0,-0.3943995594978333,27.29256921775007,27.29256921775007,22.393142998347233,32.19199543715291,0.00010199769840088009,1.0,0.0002549942460022002,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_OVERALL,10,10,0,0,1.0,-1.2478761278837918,15.687785801413686,15.687785801413686,4.083002385077302,31.081519041424954,0.001953125,1.0,,full_vs_hdsssom,Full vs HDSSOM
