dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.004332853108644494,3.3640069605302623,3.3640069605302623,3.105024425580879,3.6229894954796453,3.5287950851951944e-06,1.0,5.881325141991991e-06,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.6827481150627136,29.939383322458998,29.939383322458998,28.68925920620201,31.189507438715985,3.0646540674163095e-07,1.0,1.8513199803321085e-06,full_vs_hdsssom,Full vs HDSSOM
circles,5,5,0,0,1.0,-0.005324083566665655,3.4679610801959493,3.4679610801959493,3.1148751182273404,3.821047042164558,1.0753168359585784e-05,1.0,1.344146044948223e-05,full_vs_hdsssom,Full vs HDSSOM
digits,5,5,0,0,1.0,-0.8241270542144774,20.35523803751381,20.35523803751381,18.317132446649126,22.393343628378496,1.0060991411999322e-05,1.0,1.344146044948223e-05,full_vs_hdsssom,Full vs HDSSOM
iris,5,5,0,0,1.0,-0.517483614385128,248.6152014546771,248.6152014546771,222.02701384681131,275.2033890625429,1.307842791675121e-05,1.0,1.4531586574168012e-05,full_vs_hdsssom,Full vs HDSSOM
moons,5,5,0,0,1.0,-0.004933388531208044,3.8080073988550134,3.8080073988550134,3.575803178364298,4.040211619345729,1.3915182856673704e-06,1.0,3.6357285256509967e-06,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-16.928999519348146,50.3162549329141,50.3162549329141,48.11349417231989,52.51901569350831,3.702639960664217e-07,1.0,1.8513199803321085e-06,full_vs_hdsssom,Full vs HDSSOM
s_curve,5,5,0,0,1.0,-0.010648229718208325,3.522444387245372,3.522444387245372,3.2883675879318046,3.756521186558939,1.961530199272902e-06,1.0,3.923060398545804e-06,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.011201381683349604,4.677818904656209,4.677818904656209,4.3894063595348385,4.966231449777579,1.4542914102603986e-06,1.0,3.6357285256509967e-06,full_vs_hdsssom,Full vs HDSSOM
wine,5,5,0,0,1.0,-1.1207405209541321,86.94470483509238,86.94470483509238,77.25298520263716,96.6364244675476,1.5423152150679803e-05,1.0,1.5423152150679803e-05,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_OVERALL,10,10,0,0,1.0,-2.011053876057267,26.84013094672218,26.84013094672218,3.6652258930501924,126.04158126743653,0.001953125,1.0,,full_vs_hdsssom,Full vs HDSSOM
