dataset,n_pairs,p_value,q_value,effect_size_signed,median_pct,ci_low_pct,ci_high_pct,comparison_key,comparison_label
blobs,5,0.00111464962040471,0.0011821673676398734,1.0,3.001250341274302,2.0056179985973586,3.9968826839512452,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,5,2.4578449054161304e-07,1.2289224527080653e-06,1.0,23.819235791878793,22.878074056388453,24.760397527369133,full_vs_hdsssom,Full vs HDSSOM
circles,5,0.00013684694550768697,0.0002280782425128116,1.0,2.8484454617773927,2.2975130059189715,3.399377917635814,full_vs_hdsssom,Full vs HDSSOM
digits,5,1.7245111390850518e-05,4.31127784771263e-05,1.0,19.73880278401182,17.47588553294036,22.00172003508328,full_vs_hdsssom,Full vs HDSSOM
iris,5,0.00050618150261233,0.0006327268782654124,1.0,209.70493199825924,153.03238461135044,266.37747938516804,full_vs_hdsssom,Full vs HDSSOM
moons,5,0.0011821673676398734,0.0011821673676398734,1.0,2.5303111916445253,1.6778742884940603,3.3827480947949904,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,5,1.3151591960091082e-07,1.2289224527080653e-06,1.0,43.62370965835464,42.1496140911545,45.09780522555479,full_vs_hdsssom,Full vs HDSSOM
s_curve,5,2.6497925557259833e-06,8.832641852419944e-06,1.0,3.743117116382565,3.4749107163628845,4.011323516402245,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,5,0.000343315963323662,0.0004904513761766601,1.0,4.721383607624064,3.566658004895139,5.87610921035299,full_vs_hdsssom,Full vs HDSSOM
wine,5,8.518505639732457e-05,0.00017037011279464915,1.0,73.09939985549502,60.56227533289067,85.63652437809938,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_OVERALL,10,0.001953125,,1.0,23.077010424999585,3.3721837288284338,106.27668873001832,full_vs_hdsssom,Full vs HDSSOM
