dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.00250775143504145,1.90481719378205,1.90481719378205,0.7074237136754047,3.1022106738886954,0.01153971657939213,1.0,0.016485309399131613,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.4794208645820618,20.653601962701497,20.653601962701497,19.529286751440008,21.777917173962987,8.844062999542648e-07,1.0,8.844062999542647e-06,full_vs_hdsssom,Full vs HDSSOM
circles,5,4,1,0,0.8,-0.0035285830497741753,2.300993543879421,2.300993543879421,-0.3601448771217153,4.962131964880557,0.07430028454536997,0.6,0.09287535568171246,full_vs_hdsssom,Full vs HDSSOM
digits,5,5,0,0,1.0,-0.7762866497039795,18.833576576710783,18.833576576710783,17.239134487661467,20.4280186657601,5.154796368891661e-06,1.0,2.5773981844458305e-05,full_vs_hdsssom,Full vs HDSSOM
iris,5,5,0,0,1.0,-0.11603617221117021,47.52551729773001,47.52551729773001,36.27102338712557,58.78001120833446,0.0003027031316381068,1.0,0.000756757829095267,full_vs_hdsssom,Full vs HDSSOM
moons,5,5,0,0,1.0,-0.002133618295192713,1.6176617103723632,1.6176617103723632,0.8599944773793927,2.3753289433653335,0.004058348688747383,1.0,0.006763914481245637,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-10.585594177246094,30.631412183584768,30.631412183584768,26.679308743604576,34.583515623564956,2.758122093868571e-05,1.0,9.193740312895236e-05,full_vs_hdsssom,Full vs HDSSOM
s_curve,5,3,2,0,0.6,0.00011196434497834362,0.15263173127847535,0.15263173127847535,-5.835134854429979,6.14039831698693,0.94697538904769,0.2,0.9620455874660345,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,5,3,2,0,0.6,0.000158777832984891,0.09160344767131061,0.09160344767131061,-4.9314527464401365,5.114659641782758,0.9620455874660346,0.2,0.9620455874660345,full_vs_hdsssom,Full vs HDSSOM
wine,5,5,0,0,1.0,-0.43236214518547056,31.250435157020014,31.250435157020014,19.16999124440088,43.33087906963915,0.0019904944753998777,1.0,0.003980988950799755,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_OVERALL,50,45,5,0,0.9,-1.2397599219530822,15.496225080473069,15.496225080473069,10.732901820114705,20.259548340831433,3.453428912378808e-08,0.8,,full_vs_hdsssom,Full vs HDSSOM
