dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,3,2,0,0.6,-0.0005621857941150666,0.40503094761884695,0.40503094761884695,-0.48768161414064415,1.297743509378338,0.27626825043399716,0.2,0.8060821627928483,full_vs_random,Full vs Random
breast_cancer,5,2,3,0,0.4,0.01682037115097055,-0.7227652723804631,-0.7227652723804631,-2.5218287401852764,1.0762981954243505,0.32715757601984036,-0.2,0.8060821627928483,full_vs_random,Full vs Random
circles,5,4,1,0,0.8,-0.003136341273784632,2.040014171366689,2.040014171366689,-0.3579704547705167,4.437998797503894,0.07749553437518883,0.6,0.7749553437518883,full_vs_random,Full vs Random
digits,5,3,2,0,0.6,-0.0023366451263427735,0.056481603279981606,0.056481603279981606,-0.30617770871522476,0.41914091527518793,0.6877340153581739,0.2,0.8060821627928483,full_vs_random,Full vs Random
iris,5,2,3,0,0.4,0.00402935072779656,-1.6261312775274077,-1.6261312775274077,-5.618272641216581,2.366010086161766,0.32129399559284355,-0.2,0.8060821627928483,full_vs_random,Full vs Random
moons,5,3,2,0,0.6,-0.00015389621257782537,0.12365766955470936,0.12365766955470936,-1.185518233990874,1.4328335731002928,0.8060821627928484,0.2,0.8060821627928483,full_vs_random,Full vs Random
olivetti_faces,5,4,1,0,0.8,-0.07027530670166157,0.2108687796240094,0.2108687796240094,-1.8936248341316548,2.3153623933796736,0.7946488527820872,0.6,0.8060821627928483,full_vs_random,Full vs Random
s_curve,5,3,2,0,0.6,0.003508305549621582,-0.9213749283230868,-0.9213749283230868,-6.841099344559159,4.998349487912985,0.6879160174144451,0.2,0.8060821627928483,full_vs_random,Full vs Random
swiss_roll,5,3,2,0,0.6,-0.002167145907878898,1.0436858056071845,1.0436858056071845,-7.631239161097062,9.71861077231143,0.755131158513436,0.2,0.8060821627928483,full_vs_random,Full vs Random
wine,5,3,2,0,0.6,-0.0317105352878571,2.65405463246886,2.65405463246886,-8.400207582182732,13.708316847120452,0.541504731146494,0.2,0.8060821627928483,full_vs_random,Full vs Random
GLOBAL_OVERALL,50,30,20,0,0.6,-0.008598402887582917,0.32635221312893237,0.32635221312893237,-0.7955316635332054,1.4482360897910702,0.561513189127365,0.2,,full_vs_random,Full vs Random
