dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0033809132874011993,2.4928486060773807,2.4584735773555604,1.5552944675483893,3.013262202455728,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.5380346179008484,23.72754302560383,23.71999703510904,22.893774832127452,24.561311219080206,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
circles,5,5,0,0,1.0,-0.003475956618785886,2.2547466710305297,2.2984933824995393,2.028075690275854,2.792698283137337,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
digits,5,5,0,0,1.0,-0.8295295238494873,20.058653383579667,19.82625732282336,17.676414205653014,20.917267625653484,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
iris,5,5,0,0,1.0,-0.44988681003451353,210.11403066712572,209.5486439318619,160.4602458079363,254.79945401768362,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
moons,5,5,0,0,1.0,-0.003089718520641299,2.118724711997506,2.1540454175513766,0.9773081971146944,3.186070246575749,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-14.871776580810547,43.416777728397406,43.426516883134994,41.84364102453743,44.490077301526924,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
s_curve,5,5,0,0,1.0,-0.009802728891372736,3.221909355840011,3.284157439153747,2.8895928873370957,3.9308898640713914,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.008940614759922083,4.572811986401344,4.449799054124708,3.353946339676911,6.0546435491119475,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
wine,5,5,0,0,1.0,-0.9330692589282992,73.60493592664713,73.54440435751147,64.59493742042146,82.6149344328728,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_SYNTHETIC,5,5,0,0,1.0,-0.005737986415624641,2.9322082662693547,2.9322082662693547,1.676767774396227,4.187648758142482,0.0625,1.0,,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_REAL,5,5,0,0,1.0,-3.524459358304739,74.18438814627075,74.18438814627075,-23.779946049440824,172.1487223419823,0.0625,1.0,,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_OVERALL,10,10,0,0,1.0,-1.7650986723601818,38.55829820627006,38.55829820627006,-7.676619209565104,84.79321562210522,0.001953125,1.0,,random_vs_hdsssom,Random vs HDSSOM
