dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,10,10,0,0,1.0,-0.0038830880075693477,2.9536313333306605,2.9728863088331505,2.387454062295444,3.5418076248938926,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,10,10,0,0,1.0,-0.5374920368194585,23.750783755054954,23.78832369271873,23.315330349009344,24.243394762143478,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
circles,10,10,0,0,1.0,-0.004481032490730341,2.807931910018305,2.794453625819978,2.4711509346522953,3.0981713156424115,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
digits,10,10,0,0,1.0,-0.8242209553718567,19.903263754285035,19.868783596670017,18.618062753772154,21.217915256197614,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
iris,10,10,0,0,1.0,-0.449842406436801,209.911092374911,209.57852956206483,169.67746495529877,250.5644933308021,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
moons,10,10,0,0,1.0,-0.0035788342356681407,2.6808449214429,2.595971437622422,2.0800339618313473,3.0322039292469762,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,10,10,0,0,1.0,-14.872890949249268,42.94130496122275,42.92476995789355,41.81831454941477,44.0459013444537,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
s_curve,10,10,0,0,1.0,-0.011331684887409266,3.6880415050993753,3.6825290955654304,3.408326549520893,3.9149502707150416,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,10,10,0,0,1.0,-0.012110058218240752,4.674665732852275,4.746252747284814,3.9307276912559397,5.38705859605813,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
wine,10,10,0,0,1.0,-0.912323608994484,73.33859118276811,72.83199059276043,65.64090258156645,80.85838245839983,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
GLOBAL,10,10,0,0,1.0,-1.7632154654711485,22.811074941332823,38.665015143098536,3.320836419215018,106.35951214246465,0.001953125,1.0,,full_vs_hdsssom,Full vs HDSSOM
