dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,10,10,0,0,1.0,-0.0006875768303871571,0.5391371775055303,0.5193589710765273,0.4106735996539574,0.6273535208410792,0.001953125,1.0,0.006510416666666667,full_vs_random,Full vs Random
breast_cancer,10,5,5,0,0.5,-0.001763761043548584,0.1690233643252823,0.15474971084463757,-0.14355570719823352,0.3951663259940536,0.322265625,0.0,0.4603794642857143,full_vs_random,Full vs Random
circles,10,10,0,0,1.0,-0.0006657168269157548,0.4351484164578573,0.43940156511800754,0.31132450420907287,0.5512053468075411,0.001953125,1.0,0.006510416666666667,full_vs_random,Full vs Random
digits,10,3,7,0,0.3,0.0018924474716186523,-0.05932153725522836,-0.08748871137973463,-0.5110483648262935,0.29559879625978475,0.322265625,-0.4,0.4603794642857143,full_vs_random,Full vs Random
iris,10,6,4,0,0.6,-0.0007368177175521989,-0.005102166557763299,-0.005717064781670933,-0.9065348697820482,0.8895953918071077,1.0,0.2,1.0,full_vs_random,Full vs Random
moons,10,10,0,0,1.0,-0.0005491003394126892,0.42260595196352224,0.4254614517819286,0.2532767560953022,0.5789889251627496,0.001953125,1.0,0.006510416666666667,full_vs_random,Full vs Random
olivetti_faces,10,6,4,0,0.6,-0.12969303131103516,0.1372510764543476,-0.014226347245081395,-0.911988203957668,0.9158891691581944,0.76953125,0.2,0.8550347222222222,full_vs_random,Full vs Random
s_curve,10,9,1,0,0.9,-0.0012464672327041626,0.38595554327453174,0.3707745774291016,0.21724988625396077,0.5409492240452549,0.00390625,0.8,0.009765625,full_vs_random,Full vs Random
swiss_roll,10,8,2,0,0.8,-0.0005127117037773132,0.2564778827069154,0.32799878616436,-0.12268215664365253,0.7447544878684589,0.16015625,0.6,0.3203125,full_vs_random,Full vs Random
wine,10,4,6,0,0.4,0.006650120019912942,-0.35265929850325384,-0.2752614214683125,-1.33106251293284,0.7881472915087353,0.556640625,-0.2,0.69580078125,full_vs_random,Full vs Random
GLOBAL,10,7,3,0,0.7,-0.01273126155138014,0.20875189270287947,0.19285164103717417,-0.005102166557763299,0.404280747619027,0.064453125,0.4,,full_vs_random,Full vs Random
