dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0023875609040261148,1.9024545568551208,1.9048171937820577,0.7024836955355466,3.102425418174695,0.0625,1.0,0.08928571428571429,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.474570631980896,20.36504166452496,20.653601962701508,20.009917453979085,22.18934282116513,0.0625,1.0,0.08928571428571429,full_vs_hdsssom,Full vs HDSSOM
circles,5,4,1,0,0.8,-0.004793062806129511,2.9562124826852045,2.300993543879425,-1.3720934461778738,3.8574524298125628,0.125,0.6,0.15625,full_vs_hdsssom,Full vs HDSSOM
digits,5,5,0,0,1.0,-0.7905639410018921,18.881651826655972,18.833576576710776,17.167475543743286,20.595828109568657,0.0625,1.0,0.08928571428571429,full_vs_hdsssom,Full vs HDSSOM
iris,5,5,0,0,1.0,-0.11184390634298322,46.86367843923195,47.52551729773002,34.70509606972863,59.02226080873527,0.0625,1.0,0.08928571428571429,full_vs_hdsssom,Full vs HDSSOM
moons,5,5,0,0,1.0,-0.002557560801505987,1.5773912176915312,1.617661710372364,0.9390640190390421,2.2157184163440204,0.0625,1.0,0.08928571428571429,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-11.005218505859375,30.624394237792494,30.631412183584757,26.23343979356102,33.88648464398709,0.0625,1.0,0.08928571428571429,full_vs_hdsssom,Full vs HDSSOM
s_curve,5,3,2,0,0.6,-0.008913278579711914,-0.5247144321022086,0.15263173127846477,-5.245071097325382,4.163693581989465,0.8125,0.2,0.9027777777777778,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,5,3,2,0,0.6,-0.004165716469287983,0.2534894932031988,0.091603447671319,-5.6319409022764475,3.905383867994722,1.0,0.2,1.0,full_vs_hdsssom,Full vs HDSSOM
wine,5,5,0,0,1.0,-0.4182105362415316,31.40193693762977,31.250435157020014,20.92213829198924,41.8817355832703,0.0625,1.0,0.08928571428571429,full_vs_hdsssom,Full vs HDSSOM
GLOBAL,10,9,1,0,0.9,-1.282322470098734,15.438941865497846,15.430153642416801,1.5773912176915312,25.883489301077365,0.005859375,0.8,,full_vs_hdsssom,Full vs HDSSOM
