dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,3,2,0,0.6,-0.00052035972476,0.4462321174354496,0.4050309476188364,-0.5526295815320549,1.1396596648097328,0.4375,0.2,1.0,full_vs_random,Full vs Random
breast_cancer,5,2,3,0,0.4,0.014529705047607422,-0.6285656865298612,-0.7227652723804631,-2.7898578528142903,0.9777779191418453,0.4375,-0.2,1.0,full_vs_random,Full vs Random
circles,5,4,1,0,0.8,-0.002886421978473608,1.8721257629496006,2.0400141713666966,-0.719043984994716,4.268940346451844,0.125,0.6,1.0,full_vs_random,Full vs Random
digits,5,3,2,0,0.6,-0.004276633262634277,0.10407044381119976,0.05648160327997729,-0.2537150850385608,0.49035130332129906,1.0,0.2,1.0,full_vs_random,Full vs Random
iris,5,2,3,0,0.4,0.00021780654788011722,-1.9440861449247526,-1.6261312775274124,-5.466472746708312,1.3179345462903609,0.625,-0.2,1.0,full_vs_random,Full vs Random
moons,5,3,2,0,0.6,-0.0006853044033049982,0.2769396697307721,0.12365766955470114,-1.5240782349520212,1.0682946306099181,0.8125,0.2,1.0,full_vs_random,Full vs Random
olivetti_faces,5,4,1,0,0.8,-0.3071718215942383,0.49000835657387737,0.21086877962400524,-2.6053275982397905,1.792395274743026,0.625,0.6,1.0,full_vs_random,Full vs Random
s_curve,5,3,2,0,0.6,-0.006033703684806768,-1.3038867363950974,-0.9213749283231006,-6.225098062336486,3.6173245895462913,0.8125,0.2,1.0,full_vs_random,Full vs Random
swiss_roll,5,3,2,0,0.6,-0.0015864670276642123,0.6388936037758604,1.0436858056071958,-6.422445745286097,11.857464346904454,1.0,0.2,1.0,full_vs_random,Full vs Random
wine,5,3,2,0,0.6,-0.013009250164032204,1.9687666976607323,2.654054632468866,-9.458734367855177,13.396267763176642,0.625,0.2,1.0,full_vs_random,Full vs Random
GLOBAL,10,7,3,0,0.7,-0.032142245024442684,0.2841195132772516,0.19204980840877808,-0.7270388941754377,1.1591789401925252,0.556640625,0.4,,full_vs_random,Full vs Random
