dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0021718591451644897,1.465391444522904,1.4950941097919013,0.2863897199383888,2.644393169107419,0.0625,1.0,0.078125,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.4933068156242375,21.500080067857386,21.54561480342312,19.78985388311586,23.46225616600667,0.0625,1.0,0.078125,random_vs_hdsssom,Random vs HDSSOM
circles,5,3,2,0,0.6,-0.0006962716579436978,0.4369711073592649,0.2622357177146343,-1.9201709492609167,1.740908756268186,1.0,0.2,1.0,random_vs_hdsssom,Random vs HDSSOM
digits,5,5,0,0,1.0,-0.7862873077392578,18.918972807653482,18.768995513654772,17.036414219403703,20.801531395903258,0.0625,1.0,0.078125,random_vs_hdsssom,Random vs HDSSOM
iris,5,5,0,0,1.0,-0.12502995133399972,50.27309498060025,49.94673329474089,41.374393780183645,59.171796181016845,0.0625,1.0,0.078125,random_vs_hdsssom,Random vs HDSSOM
moons,5,5,0,0,1.0,-0.0016267374157905024,1.28886333914902,1.4966002354961965,1.1352954850260124,2.5407718535356048,0.0625,1.0,0.078125,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-10.619408607482903,30.436729240422526,30.35771821246695,27.25021841513133,33.86210615100587,0.0625,1.0,0.078125,random_vs_hdsssom,Random vs HDSSOM
s_curve,5,5,0,0,1.0,-0.0028208494186401367,1.0526986658297783,1.0849447539805037,0.5272950200243791,1.8939228811775357,0.0625,1.0,0.078125,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,5,4,1,0,0.8,-0.002200827002525385,0.6912753434158617,-0.7699403741076434,-7.109119203925346,1.0321076129329505,0.625,0.6,0.6944444444444444,random_vs_hdsssom,Random vs HDSSOM
wine,5,5,0,0,1.0,-0.42737534642219566,28.28671029975569,28.093304579511926,19.847628603137526,36.72579199637386,0.0625,1.0,0.078125,random_vs_hdsssom,Random vs HDSSOM
GLOBAL,10,10,0,0,1.0,-1.2460924573242658,14.669704482792735,15.435078729656615,1.0526986658297783,25.968404654139956,0.001953125,1.0,,random_vs_hdsssom,Random vs HDSSOM
