dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,4,1,0,0.8,-0.0026968270540237787,2.0737255803760446,2.0737255803760446,-1.0768924834337823,5.224343644185872,0.1416468577760221,0.6,0.36219549312503757,full_vs_random,Full vs Random
breast_cancer,5,2,3,0,0.4,0.015417897701263427,-0.6463570939822437,-0.6463570939822437,-2.665395509265625,1.3726813213011373,0.4243180403468559,-0.2,0.7071967339114265,full_vs_random,Full vs Random
circles,5,4,1,0,0.8,-0.004728417098522175,3.041358285051087,3.041358285051087,-0.9504181782402039,7.033134748342378,0.10186968888068622,0.6,0.36219549312503757,full_vs_random,Full vs Random
digits,5,2,3,0,0.4,-0.009482812881469727,0.240327344253,0.240327344253,-1.799654240774235,2.280308929280235,0.7600017848048688,-0.2,0.7633800624326512,full_vs_random,Full vs Random
iris,5,3,2,0,0.6,-0.0018124163150787299,1.1434918190408723,1.1434918190408723,-8.389234865661601,10.676218503743344,0.7558239475708023,0.2,0.7633800624326512,full_vs_random,Full vs Random
moons,5,4,1,0,0.8,-0.0026614382863044683,2.0274626825019793,2.0274626825019793,-0.8755118868541718,4.93043725185813,0.12450699322005816,0.6,0.36219549312503757,full_vs_random,Full vs Random
olivetti_faces,5,2,3,0,0.4,0.1294952392578125,-0.354483554107269,-0.354483554107269,-2.591198446414302,1.8822313381997637,0.6826521652521942,-0.2,0.7633800624326512,full_vs_random,Full vs Random
s_curve,5,5,0,0,1.0,-0.006344255805015564,2.080837408025606,2.080837408025606,-1.1145298953706333,5.276204711421846,0.14487819725001502,1.0,0.36219549312503757,full_vs_random,Full vs Random
swiss_roll,5,1,4,0,0.2,0.006176096200943004,-2.23070409809676,-2.23070409809676,-7.704623272460314,3.2432150762667944,0.32110475096460994,-0.6,0.6422095019292199,full_vs_random,Full vs Random
wine,5,3,2,0,0.6,-0.00269392728805542,0.20519121614080782,0.20519121614080782,-1.5625218858577388,1.9729043181393544,0.7633800624326512,0.2,0.7633800624326512,full_vs_random,Full vs Random
GLOBAL_OVERALL,50,30,20,0,0.6,0.012066913843154907,0.7580849589203124,0.7580849589203124,-0.22579374341782865,1.7419636612584535,0.12796337153879042,0.2,,full_vs_random,Full vs Random
