dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.002684552967548351,1.9700554449177248,1.9700554449177248,1.271277244842583,2.6688336449928665,0.0014381449221672132,1.0,0.002396908203612022,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.5743826031684875,24.316885778726625,24.316885778726625,20.612146033652618,28.021625523800633,5.3324384958499674e-05,1.0,0.00017774794986166558,random_vs_hdsssom,Random vs HDSSOM
circles,5,3,2,0,0.6,-7.167309522629895e-05,0.08086792338897979,0.08086792338897979,-2.4037222443407393,2.5654580911186993,0.9323396915217284,0.2,0.9323396915217284,random_vs_hdsssom,Random vs HDSSOM
digits,5,5,0,0,1.0,-0.7742319107055664,18.764220929677435,18.764220929677435,16.295833487940218,21.232608371414653,2.978889146053234e-05,1.0,0.00017774794986166558,random_vs_hdsssom,Random vs HDSSOM
iris,5,5,0,0,1.0,-0.13442008867859845,56.60332485050782,56.60332485050782,39.01492031132037,74.19172938969527,0.0008675835576180029,1.0,0.0017351671152360058,random_vs_hdsssom,Random vs HDSSOM
moons,5,4,1,0,0.8,-0.0032796084880828747,2.4498546999961595,2.4498546999961595,-0.5127570683205342,5.412466468312854,0.08331323319073806,0.6,0.09257025910082008,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-10.696501541137696,30.157714202748924,30.157714202748924,25.73050664186918,34.58492176362867,4.603302555490345e-05,1.0,0.00017774794986166558,random_vs_hdsssom,Random vs HDSSOM
s_curve,5,4,1,0,0.8,-0.006289234757423401,2.044038781113167,2.044038781113167,-0.2590123607684598,4.347089922994794,0.06937811498573555,0.6,0.08672264373216944,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.01586357206106187,6.2533676412700485,6.2533676412700485,2.3955059300055512,10.111229352534545,0.010818782626420758,1.0,0.015455403752029655,random_vs_hdsssom,Random vs HDSSOM
wine,5,5,0,0,1.0,-0.3917056322097779,27.05707722671416,27.05707722671416,21.468532358236345,32.645622095191975,0.00017717833718119136,1.0,0.0004429458429529784,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_OVERALL,50,46,4,0,0.92,-1.2599430417269468,16.969740747906105,16.969740747906105,11.851913422194823,22.087568073617387,2.2049722796260012e-08,0.84,,random_vs_hdsssom,Random vs HDSSOM
