dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.004440762102604023,3.429176191117817,3.428868003254796,2.94667349024137,3.930653845677152,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.69883155822754,30.435982159443398,30.375309054775933,28.91983586156831,31.36136032755012,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
circles,5,5,0,0,1.0,-0.005252830684185,3.44043806457265,3.486486640486227,3.16586774001311,3.9596329298809323,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
digits,5,5,0,0,1.0,-0.8127114772796631,20.097319409369423,20.20264497414207,17.73171825310377,22.23682612070414,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
iris,5,5,0,0,1.0,-0.5496777780354024,251.49802175209288,253.20211410729945,192.31681906452118,297.7104833205685,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
moons,5,5,0,0,1.0,-0.004580430686473819,3.559207376180291,3.6160933705322558,3.3537842794932735,4.0821577435401615,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-17.300886154174805,50.63902242212461,50.38656795361811,46.84421552272078,52.68175229416321,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
s_curve,5,5,0,0,1.0,-0.01109664142131811,3.6441229303708473,3.573762596544996,3.1936287637742615,3.711908253315514,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.010433435440063504,4.313208259961586,4.319150575268839,4.020149100106785,4.596994660274418,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
wine,5,5,0,0,1.0,-1.0991915464401245,88.00086587997801,89.41002285687173,81.06458529991988,102.11537771663117,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_SYNTHETIC,5,5,0,0,1.0,-0.007160820066928891,3.677230564440639,3.677230564440639,3.2222429247956095,4.132218204085668,0.0625,1.0,,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_REAL,5,5,0,0,1.0,-4.092259702831507,88.13424232460167,88.13424232460167,-29.74497501897234,206.0134596681757,0.0625,1.0,,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_OVERALL,10,10,0,0,1.0,-2.049710261449218,45.905736444521146,45.905736444521146,-9.446408604858696,101.25788149390098,0.001953125,1.0,,full_vs_hdsssom,Full vs HDSSOM
