dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0038050487637519975,2.886863511758129,2.8944580249922915,2.683319567946531,3.0519431819438254,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.7041199207305913,30.96016909533416,30.665466665871797,29.063349315882746,31.294845187378822,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
circles,5,5,0,0,1.0,-0.004152603447437286,2.9555662513548806,2.906119381053716,2.558919599618403,3.3522129030913583,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
digits,5,5,0,0,1.0,-0.8166978359222412,20.217262729096156,20.314616671858026,18.029839261387178,22.404686196805134,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
iris,5,5,0,0,1.0,-0.5354949794709682,242.74947491483258,241.25494073040812,192.19074500646724,293.3082048231979,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
moons,5,5,0,0,1.0,-0.003961928188800784,3.04258773728902,3.0389175433089326,2.643626687701807,3.491057006466194,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-17.261001586914062,51.09040112860738,50.90265714184771,48.35624318654324,52.63794800861794,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
s_curve,5,5,0,0,1.0,-0.009114935994148199,2.999038012126393,3.007330457614221,2.7775054540794044,3.3101268637391517,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.009246863424778012,3.884632487106656,3.917541791279086,3.7082937575472403,4.269906739880929,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
wine,5,5,0,0,1.0,-1.104694604873657,88.69852265323425,88.83068772179499,76.87660650086293,99.45298526652812,0.0625,1.0,0.0625,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_SYNTHETIC,5,5,0,0,1.0,-0.006056275963783256,3.153737599927016,3.153737599927016,2.6414149168773884,3.6660602829766438,0.0625,1.0,,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_REAL,5,5,0,0,1.0,-4.084401785582304,86.7431661042209,86.7431661042209,-26.29319095185373,199.77952316029553,0.0625,1.0,,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_OVERALL,10,10,0,0,1.0,-2.0452290307730436,44.948451852073966,44.948451852073966,-8.700143217818813,98.59704692196675,0.001953125,1.0,,random_vs_hdsssom,Random vs HDSSOM
