dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,10,10,0,0,1.0,-0.004332926124334301,3.408660298119823,3.396437481892516,3.1776668941805966,3.623748082165098,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,10,10,0,0,1.0,-0.6900336146354675,30.15307576627189,30.157346188617463,29.5342454738742,30.855136048873405,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
circles,10,10,0,0,1.0,-0.0053183138370514055,3.469158053720729,3.4772238603410828,3.2816245019757204,3.692844666636363,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
digits,10,10,0,0,1.0,-0.8255236744880676,20.39115880220327,20.278941505827937,18.934981747400585,21.44610717646374,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
iris,10,10,0,0,1.0,-0.5330601502209902,251.49802175209288,250.90865778098828,227.53317822197556,273.27625713419286,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
moons,10,10,0,0,1.0,-0.004748813807964353,3.7118883302088523,3.7120503846936344,3.5259811584978857,3.89016789052133,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,10,10,0,0,1.0,-17.06692695617676,50.635761336612376,50.35141144326611,48.98652131483905,51.63602037200791,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
s_curve,10,10,0,0,1.0,-0.01082286983728406,3.5597752458161347,3.548103491895182,3.40603531686235,3.6946070584653103,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,10,10,0,0,1.0,-0.010646391659975052,4.4933785711136895,4.498484739962529,4.312060627840019,4.714828482587163,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
wine,10,10,0,0,1.0,-1.0929223597049713,88.06735770505034,88.17736384598206,82.66252591921483,93.83272803401047,0.001953125,1.0,0.001953125,full_vs_hdsssom,Full vs HDSSOM
GLOBAL,10,10,0,0,1.0,-2.0244336070492865,27.022210817366098,45.938823586120996,3.6358317880124935,127.4835899029068,0.001953125,1.0,,full_vs_hdsssom,Full vs HDSSOM
