dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,10,10,0,0,1.0,-0.0037608817219734053,2.879744240238331,2.8835182321765918,2.7640785752007275,2.9820990542431183,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,10,10,0,0,1.0,-0.7004407048225403,30.737098880585386,30.593976513474843,30.0278157710678,31.11601997275602,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
circles,10,10,0,0,1.0,-0.0050637386739254,3.0233291283320813,3.0968909259399235,2.674750657662724,3.3828827847604597,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
digits,10,10,0,0,1.0,-0.8241978883743286,20.35174226593941,20.251355196401768,19.12283225530156,21.254150776231484,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
iris,10,10,0,0,1.0,-0.5313450787216425,248.32910991082053,246.91541202787053,220.44842416618457,271.4344359310505,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
moons,10,10,0,0,1.0,-0.004132390022277901,3.1701537432493287,3.1725485132622433,2.894184486425594,3.4372562251972285,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,10,10,0,0,1.0,-17.188926696777344,51.02502107513587,50.64376119948269,49.0705281682116,51.98812013274029,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
s_curve,10,10,0,0,1.0,-0.009038954973220797,2.965194667935176,2.9994361880354994,2.8544283889116815,3.1643787490606745,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,10,10,0,0,1.0,-0.009886994957923903,4.078064622309851,4.078072521489384,3.77446842532565,4.351142685340575,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
wine,10,10,0,0,1.0,-1.0994744449853897,88.57587201460129,88.40361788210767,83.21067478511671,93.94106924408587,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
GLOBAL,10,10,0,0,1.0,-2.0376267774030565,26.9523826576871,45.51353305491473,3.096741435790705,125.64715228937786,0.001953125,1.0,,random_vs_hdsssom,Random vs HDSSOM
