dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0030249580740929205,2.1010572874834126,1.9700554449177452,1.0388606773599414,2.448747571713419,0.0625,1.0,0.08928571428571429,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.5597133636474609,24.392224199482584,24.316885778726633,21.07585457791977,27.708593821045397,0.0625,1.0,0.08928571428571429,random_vs_hdsssom,Random vs HDSSOM
circles,5,3,2,0,0.6,-0.00022473931312561035,0.14035173268364443,0.08086792338899337,-2.4667575106624047,2.331211420163438,1.0,0.2,1.0,random_vs_hdsssom,Random vs HDSSOM
digits,5,5,0,0,1.0,-0.777132511138916,18.84186253040358,18.764220929677435,16.19608525781268,21.040307451611028,0.0625,1.0,0.08928571428571429,random_vs_hdsssom,Random vs HDSSOM
iris,5,5,0,0,1.0,-0.1291017532348633,54.225203163050324,56.60332485050784,41.38676590111935,79.51575420743981,0.0625,1.0,0.08928571428571429,random_vs_hdsssom,Random vs HDSSOM
moons,5,4,1,0,0.8,-0.0029425472021102905,2.415475864920289,2.44985469999616,-0.21366846192898267,5.04462019176956,0.125,0.6,0.1388888888888889,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-10.447361946105957,29.33444617388938,30.157714202748917,27.136512152354335,35.82169829405849,0.0625,1.0,0.08928571428571429,random_vs_hdsssom,Random vs HDSSOM
s_curve,5,4,1,0,0.8,-0.008696496486663818,2.5440083611216657,2.044038781113167,-1.0882165151749383,3.398878745331645,0.125,0.6,0.1388888888888889,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.013947129249572754,5.979083509424466,6.253367641270044,3.383173575991677,10.458112074248392,0.0625,1.0,0.08928571428571429,random_vs_hdsssom,Random vs HDSSOM
wine,5,5,0,0,1.0,-0.3850182294845581,26.66059325060766,27.05707722671416,22.22999812924888,33.271282332591326,0.0625,1.0,0.08928571428571429,random_vs_hdsssom,Random vs HDSSOM
GLOBAL,10,10,0,0,1.0,-1.232716367393732,14.602300805864664,16.6634306073067,2.4797421130209774,28.320339513985306,0.001953125,1.0,,random_vs_hdsssom,Random vs HDSSOM
