dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,minibatch,6545,both,0.1115518696606158,5,0.1122010983526706,5,-0.000649228692054804,0.5786295335667283,0.5786295335667283,0.1115518696606158,0.5819971409085392
blobs,minibatch,13693,both,0.146003633737564,5,0.1467295587062835,5,-0.0007259249687195102,0.4947366945828777,0.4947366945828777,0.146003633737564,0.49719650815289484
blobs,minibatch,15882,both,0.1304436028003692,5,0.1313211098313331,5,-0.0008775070309638977,0.6682147539652649,0.6682147539652649,0.1304436028003692,0.6727099007736193
blobs,minibatch,30080,both,0.1240426078438758,5,0.1243033260107039,5,-0.0002607181668281,0.20974351628020738,0.20974351628020738,0.1240426078438758,0.2101843643566803
blobs,minibatch,31569,both,0.130633309483528,5,0.1311671882867813,5,-0.0005338788032533126,0.4070216112935582,0.4070216112935582,0.130633309483528,0.40868504776006703
breast_cancer,minibatch,6545,both,2.2768412232398987,5,2.2818053364753723,5,-0.004964113235473633,0.21755200393831714,0.21755200393831714,2.2768412232398987,0.21802632457654647
breast_cancer,minibatch,13693,both,2.2585408687591557,5,2.26965206861496,5,-0.011111199855804443,0.4895552058155318,0.4895552058155318,2.2585408687591557,0.49196363942304694
breast_cancer,minibatch,15882,both,2.259538471698761,5,2.2560606598854065,5,0.003477811813354492,-0.1539169107724823,-0.15415418012435636,2.259538471698761,-0.1539169107724823
breast_cancer,minibatch,30080,both,2.3028326630592346,5,2.2995126843452454,5,0.003319978713989258,-0.1441693427076364,-0.14437749078712198,2.3028326630592346,-0.1441693427076364
breast_cancer,minibatch,31569,both,2.243515193462372,5,2.2377890944480896,5,0.0057260990142822266,-0.25522889396818627,-0.25588197871231766,2.243515193462372,-0.25522889396818627
circles,minibatch,6545,both,0.1531389877200126,5,0.1543190106749534,5,-0.001180022954940796,0.7646646707879124,0.7646646707879124,0.1531389877200126,0.7705568467634499
circles,minibatch,13693,both,0.1535172387957572,5,0.1538613736629486,5,-0.00034413486719139796,0.22366553670921055,0.22366553670921055,0.1535172387957572,0.22416692085586737
circles,minibatch,15882,both,0.1534462496638298,5,0.1542517542839049,5,-0.000805504620075087,0.5222012701343623,0.5222012701343623,0.1534462496638298,0.5249425266761406
circles,minibatch,30080,both,0.1537093296647071,5,0.1538468152284622,5,-0.0001374855637550909,0.0893652322610157,0.0893652322610157,0.1537093296647071,0.08944516514058984
circles,minibatch,31569,both,0.1533166468143462,5,0.1541617363691329,5,-0.0008450895547867099,0.5481837287841539,0.5481837287841539,0.1533166468143462,0.5512053468075411
