dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,full_batch,6545,all,0.1116028539836406,5,0.1155355274677276,5,-0.003932673484087004,3.4038650883257646,3.4038650883257646,0.1116028539836406,3.523810855825854
blobs,full_batch,13693,all,0.1458416581153869,5,0.1501486673951148,5,-0.00430700927972788,2.86849650712785,2.86849650712785,0.1458416581153869,2.953209210169747
blobs,full_batch,15882,all,0.130307100713253,5,0.1354230120778083,5,-0.005115911364555303,3.7777267585924896,3.7777267585924896,0.130307100713253,3.9260418937668726
blobs,full_batch,30080,all,0.1240478046238422,5,0.1274992302060126,5,-0.0034514255821703893,2.7070168004885944,2.7070168004885944,0.1240478046238422,2.7823350785097403
blobs,full_batch,31569,all,0.1307998374104499,5,0.1331815123558044,5,-0.0023816749453544894,1.7882924613377766,1.7882924613377766,0.1307998374104499,1.8208546680993136
blobs,minibatch,6545,all,0.1115518696606158,5,0.1155820116400718,5,-0.004030141979456003,3.4868245692124376,3.4868245692124376,0.1115518696606158,3.612796443230637
blobs,minibatch,13693,all,0.146003633737564,5,0.1498371362686157,5,-0.0038335025310516913,2.558446208007675,2.558446208007675,0.146003633737564,2.625621317029867
blobs,minibatch,15882,all,0.1304436028003692,5,0.135087139904499,5,-0.004643537104129791,3.4374383138266005,3.4374383138266005,0.1304436028003692,3.559804393961931
blobs,minibatch,30080,all,0.1240426078438758,5,0.1277068927884101,5,-0.0036642849445343018,2.869293007234493,2.869293007234493,0.1240426078438758,2.9540534564915744
blobs,minibatch,31569,all,0.130633309483528,5,0.1332072243094444,5,-0.0025739148259164013,1.9322636885947864,1.9322636885947864,0.130633309483528,1.9703357712459661
breast_cancer,full_batch,6545,all,2.279031991958618,5,2.809068202972412,5,-0.530036211013794,18.868755498814046,18.868755498814046,2.279031991958618,23.257076376460894
breast_cancer,full_batch,13693,all,2.249494612216949,5,2.781479954719544,5,-0.5319853425025949,19.125981533677272,19.125981533677272,2.249494612216949,23.64910498622205
breast_cancer,full_batch,15882,all,2.2518390417099,5,2.8036869764328003,5,-0.5518479347229004,19.682936767250318,19.682936767250318,2.2518390417099,24.5065444066492
breast_cancer,full_batch,30080,all,2.306751608848572,5,2.836879014968872,5,-0.5301274061202998,18.686993816904693,18.686993816904693,2.306751608848572,22.981555711796638
