dataset,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,6545,all,0.1166118942201137,5,0.1202296912670135,5,-0.0036177970468997955,3.0090712275598954,3.0090712275598954,0.1166118942201137,3.102425418174695
blobs,13693,all,0.147942766547203,5,0.1518006697297096,5,-0.003857903182506589,2.5414269840678716,2.5414269840678716,0.147942766547203,2.6076997696779425
blobs,15882,all,0.133995734155178,5,0.1363832950592041,5,-0.0023875609040261148,1.750625619501034,1.750625619501034,0.133995734155178,1.7818185922703516
blobs,30080,all,0.1291796267032623,5,0.1300870925188064,5,-0.0009074658155441007,0.6975832866838118,0.6975832866838118,0.1291796267032623,0.7024836955355466
blobs,31569,all,0.132968746125698,5,0.1347367763519287,5,-0.0017680302262307046,1.312210573906458,1.312210573906458,0.132968746125698,1.3296584932517528
breast_cancer,6545,all,2.333341956138611,5,2.807912588119507,5,-0.474570631980896,16.901189659138275,16.901189659138275,2.333341956138611,20.338666209313402
breast_cancer,13693,all,2.311955749988556,5,2.774576187133789,5,-0.46262043714523315,16.673553218343315,16.673553218343315,2.311955749988556,20.009917453979085
breast_cancer,15882,all,2.311565101146698,5,2.790342211723328,5,-0.4787771105766301,17.15836532756085,17.15836532756085,2.311565101146698,20.712248611952273
breast_cancer,30080,all,2.323700964450836,5,2.8393149375915527,5,-0.5156139731407166,18.15980208162768,18.15980208162768,2.323700964450836,22.18934282116513
breast_cancer,31569,all,2.325537085533142,5,2.791059255599976,5,-0.46552217006683394,16.679050046422738,16.679050046422738,2.325537085533142,20.017834717097642
circles,6545,all,0.1614200621843337,5,0.1592052280902862,5,0.002214834094047491,-1.3720934461778738,-1.3911817599302994,0.1614200621843337,-1.3720934461778738
circles,13693,all,0.1541788503527641,5,0.1597996354103087,5,-0.005620785057544597,3.5173954202789126,3.5173954202789126,0.1541788503527641,3.6456265205533285
circles,15882,all,0.1542574614286422,5,0.1590505242347717,5,-0.004793062806129511,3.0135473172377316,3.0135473172377316,0.1542574614286422,3.107183770392027
circles,30080,all,0.1543961986899375,5,0.1578960493206977,5,-0.003499850630760193,2.2165536413465015,2.2165536413465015,0.1543961986899375,2.2667984448170806
circles,31569,all,0.1540926545858382,5,0.1600367054343223,5,-0.005944050848484095,3.714179714180309,3.714179714180309,0.1540926545858382,3.8574524298125628
digits,6545,all,4.072235703468323,5,4.910946369171143,5,-0.8387106657028198,17.07839187509546,17.07839187509546,4.072235703468323,20.595828109568657
digits,13693,all,4.152672052383423,5,4.943525075912476,5,-0.7908530235290527,15.997754868939895,15.997754868939895,4.152672052383423,19.044437257575957
digits,15882,all,4.109363913536072,5,4.899927854537964,5,-0.7905639410018921,16.134195532485812,16.134195532485812,4.109363913536072,19.23810978136562
digits,30080,all,4.123363852500916,5,4.870601177215576,5,-0.7472373247146598,15.34178836506257,15.34178836506257,4.123363852500916,18.122032191300384
digits,31569,all,4.159425139427185,5,4.873493432998657,5,-0.7140682935714722,14.652082810586787,14.652082810586787,4.159425139427185,17.167475543743286
iris,6545,all,0.2318425327539443,5,0.3686812371015548,5,-0.1368387043476105,37.115722357717296,37.115722357717296,0.2318425327539443,59.02226080873527
iris,13693,all,0.25630085170269,5,0.3452503085136413,5,-0.08894945681095129,25.763758820055273,25.763758820055273,0.25630085170269,34.70509606972863
iris,15882,all,0.2412166967988014,5,0.3530606031417846,5,-0.11184390634298322,31.678387604767146,31.678387604767146,0.2412166967988014,46.36656907555289
iris,30080,all,0.2459554374217987,5,0.3567526489496231,5,-0.1107972115278244,31.057151741981887,31.057151741981887,0.2459554374217987,45.04767720902787
iris,31569,all,0.2510224133729934,5,0.3827739953994751,5,-0.13175158202648168,34.42020189720086,34.42020189720086,0.2510224133729934,52.485983325605446
moons,6545,all,0.1317405104637146,5,0.1342980712652206,5,-0.002557560801505987,1.904391312109873,1.904391312109873,0.1317405104637146,1.941362449943154
moons,13693,all,0.1312101036310195,5,0.1338529288768768,5,-0.0026428252458572943,1.9744246674559276,1.9744246674559276,0.1312101036310195,2.014193398771542
