dataset,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,6545,all,0.1166118942201137,5,0.1171322539448737,5,-0.00052035972476,0.4442497324476472,0.4442497324476472,0.1166118942201137,0.4462321174354496
blobs,13693,all,0.147942766547203,5,0.1496288105845451,5,-0.0016860440373420993,1.1268177771081258,1.1268177771081258,0.147942766547203,1.1396596648097328
blobs,15882,all,0.133995734155178,5,0.1339308843016624,5,6.484985351559724e-05,-0.04839695377204757,-0.04842038776473031,0.133995734155178,-0.04839695377204757
blobs,30080,all,0.1291796267032623,5,0.1284657418727874,5,0.000713884830474909,-0.5526295815320549,-0.5557005471402875,0.1291796267032623,-0.5526295815320549
blobs,31569,all,0.132968746125698,5,0.1343520060181617,5,-0.001383259892463684,1.029578890155682,1.029578890155682,0.132968746125698,1.0402894911531022
breast_cancer,6545,all,2.333341956138611,5,2.301681101322174,5,0.03166085481643677,-1.3568887634811797,-1.375553494280748,2.333341956138611,-1.3568887634811797
breast_cancer,13693,all,2.311955749988556,5,2.316202998161316,5,-0.00424724817276001,0.18337115426116044,0.18337115426116044,2.311955749988556,0.18370802178117093
breast_cancer,15882,all,2.311565101146698,5,2.2970353960990906,5,0.014529705047607422,-0.6285656865298612,-0.6325416261448255,2.311565101146698,-0.6285656865298612
breast_cancer,30080,all,2.323700964450836,5,2.3464215993881226,5,-0.022720634937286377,0.9683099977945672,0.9683099977945672,2.323700964450836,0.9777779191418453
breast_cancer,31569,all,2.325537085533142,5,2.260657906532287,5,0.06487917900085494,-2.7898578528142903,-2.8699246716357756,2.325537085533142,-2.7898578528142903
circles,6545,all,0.1614200621843337,5,0.1602593809366225,5,0.0011606812477111816,-0.719043984994716,-0.7242516730862665,0.1614200621843337,-0.719043984994716
circles,13693,all,0.1541788503527641,5,0.1570652723312377,5,-0.002886421978473608,1.8377213088749382,1.8377213088749382,0.1541788503527641,1.8721257629496006
circles,15882,all,0.1542574614286422,5,0.1563745662569999,5,-0.0021171048283576965,1.3538677542217818,1.3538677542217818,0.1542574614286422,1.3724488972853
circles,30080,all,0.1543961986899375,5,0.1609872803092002,5,-0.006591081619262695,4.094162971511498,4.094162971511498,0.1543961986899375,4.268940346451844
circles,31569,all,0.1540926545858382,5,0.1593404337763786,5,-0.005247779190540397,3.293438499047411,3.293438499047411,0.1540926545858382,3.4055998351414547
digits,6545,all,4.072235703468323,5,4.065301418304443,5,0.0069342851638793945,-0.17028201874399032,-0.17057247299442677,4.072235703468323,-0.17028201874399032
digits,13693,all,4.152672052383423,5,4.142136096954346,5,0.010535955429077148,-0.2537150850385608,-0.2543604358346431,4.152672052383423,-0.2537150850385608
digits,15882,all,4.109363913536072,5,4.113640546798706,5,-0.004276633262634277,0.10396224983639892,0.10396224983639892,4.109363913536072,0.10407044381119976
digits,30080,all,4.123363852500916,5,4.143582820892334,5,-0.02021896839141757,0.48795859200573066,0.48795859200573066,4.123363852500916,0.49035130332129906
digits,31569,all,4.159425139427185,5,4.164083003997803,5,-0.004657864570617676,0.11185811056469838,0.11185811056469838,4.159425139427185,0.11198337304993866
iris,6545,all,0.2318425327539443,5,0.2316247262060642,5,0.00021780654788011722,-0.09394589736960667,-0.09403423867896829,0.2318425327539443,-0.09394589736960667
iris,13693,all,0.25630085170269,5,0.2442099303007125,5,0.012090921401977511,-4.7174721900663155,-4.9510359333419105,0.25630085170269,-4.7174721900663155
iris,15882,all,0.2412166967988014,5,0.2280306518077849,5,0.013186044991016499,-5.466472746708312,-5.782575669753154,0.2412166967988014,-5.466472746708312
iris,30080,all,0.2459554374217987,5,0.2479951456189155,5,-0.0020397081971167963,0.8224790820103941,0.8224790820103941,0.2459554374217987,0.8292999002168104
iris,31569,all,0.2510224133729934,5,0.2543307244777679,5,-0.003308311104774475,1.3007909726863018,1.3007909726863018,0.2510224133729934,1.3179345462903609
moons,6545,all,0.1317405104637146,5,0.1324258148670196,5,-0.0006853044033049982,0.5175006126963785,0.5175006126963785,0.1317405104637146,0.5201926126540645
moons,13693,all,0.1312101036310195,5,0.132312923669815,5,-0.001102820038795499,0.8334938176920423,0.8334938176920423,0.1312101036310195,0.8404993276255444
moons,15882,all,0.1327207833528518,5,0.1323403790593147,5,0.00038040429353711214,-0.28661998816400014,-0.2874438597207098,0.1327207833528518,-0.28661998816400014
moons,30080,all,0.1313869729638099,5,0.1327905729413032,5,-0.0014035999774932861,1.0570027272295248,1.0570027272295248,0.1313869729638099,1.0682946306099181
moons,31569,all,0.1339720636606216,5,0.131930224597454,5,0.0020418390631675998,-1.5240782349520212,-1.5476658736825977,0.1339720636606216,-1.5240782349520212
