dataset,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,6545,both,0.11359248682856554,5,0.1175649873912334,5,-0.0039725005626678606,3.378982680828393,3.378982680828393,0.11359248682856554,3.497150800706725
blobs,13693,both,0.14709860086441034,5,0.15049298852682108,5,-0.003394387662410736,2.255512164146958,2.255512164146958,0.14709860086441034,2.3075594481959403
blobs,15882,both,0.13224985450506205,5,0.1336374580860138,5,-0.0013876035809517462,1.038334311970103,1.038334311970103,0.13224985450506205,1.0492288147648843
blobs,30080,both,0.13020138442516324,5,0.12812983244657516,5,0.0020715519785880765,-1.5910368293962012,-1.6167600776749849,0.13020138442516324,-1.5910368293962012
blobs,31569,both,0.13320722430944434,5,0.14000841975212097,5,-0.0068011954426766275,4.857704597136271,4.857704597136271,0.13320722430944434,5.1057256676088745
breast_cancer,6545,both,2.38082218170166,5,2.314365327358246,5,0.0664568543434143,-2.791340523210145,-2.8714936902062957,2.38082218170166,-2.791340523210145
breast_cancer,13693,both,2.400730013847351,5,2.3890111446380615,5,0.01171886920928955,-0.4881377390083601,-0.49053221185642376,2.400730013847351,-0.4881377390083601
breast_cancer,15882,both,2.377148747444153,5,2.3357415199279785,5,0.041407227516174316,-1.7418862644037008,-1.7727658288769508,2.377148747444153,-1.7418862644037008
breast_cancer,30080,both,2.409850597381592,5,2.431519389152527,5,-0.02166879177093506,0.8911626149313752,0.8911626149313752,2.409850597381592,0.8991757329055647
breast_cancer,31569,both,2.338790774345398,5,2.359615445137024,5,-0.020824670791625977,0.882545112787083,0.882545112787083,2.338790774345398,0.8904033238054214
circles,6545,both,0.1556005701422691,5,0.16618168354034418,5,-0.010581113398075076,6.367195934386044,6.367195934386044,0.1556005701422691,6.80017649575482
circles,13693,both,0.15654055029153818,5,0.16012578457593915,5,-0.0035852342844009677,2.2390112210196116,2.2390112210196116,0.15654055029153818,2.2902910956451183
circles,15882,both,0.15613325685262675,5,0.164855845272541,5,-0.008722588419914246,5.291039820574146,5.291039820574146,0.15613325685262675,5.586630674173053
circles,30080,both,0.16005285829305643,5,0.15800964087247843,5,0.002043217420578003,-1.2765891483405292,-1.2930966802379988,0.16005285829305643,-1.2765891483405292
circles,31569,both,0.15481338649988174,5,0.15760975331068033,5,-0.0027963668107985895,1.7742346219439806,1.7742346219439806,0.15481338649988174,1.8062823080229728
digits,6545,both,4.077513933181763,5,4.099666953086853,5,-0.022153019905090332,0.5403614527372808,0.5403614527372808,4.077513933181763,0.543297221496038
digits,13693,both,4.133016109466553,5,4.074148535728455,5,0.058867573738098145,-1.4243248073305035,-1.4449049469320014,4.133016109466553,-1.4243248073305035
digits,15882,both,4.074213147163391,5,4.192460298538208,5,-0.1182471513748169,2.8204715836199172,2.8204715836199172,4.074213147163391,2.902331004875007
digits,30080,both,4.127055048942566,5,4.111597537994385,5,0.015457510948181152,-0.37454094420527967,-0.37594902724164103,4.127055048942566,-0.37454094420527967
digits,31569,both,4.192303419113159,5,4.17364239692688,5,0.018661022186279297,-0.4451257535702617,-0.4471159819542687,4.192303419113159,-0.4451257535702617
iris,6545,both,0.22529485076665876,5,0.22591741383075709,5,-0.0006225630640983304,0.27557108305281636,0.27557108305281636,0.22529485076665876,0.27633257572456826
iris,13693,both,0.22989197075366974,5,0.24317175149917597,5,-0.013279780745506231,5.461070483571868,5.461070483571868,0.22989197075366974,5.776530907960929
iris,15882,both,0.22192213684320444,5,0.2468489408493042,5,-0.024926804006099756,10.097999173234054,10.097999173234054,0.22192213684320444,11.232229628228298
iris,30080,both,0.2605769410729408,5,0.23818306252360338,5,0.022393878549337443,-8.593960178183584,-9.401960958965445,0.2605769410729408,-8.593960178183584
iris,31569,both,0.24794876947998995,5,0.24057558178901672,5,0.007373187690973226,-2.973673838525849,-3.06481133128443,0.24794876947998995,-2.973673838525849
moons,6545,both,0.1312007457017898,5,0.13793803006410593,5,-0.006737284362316132,4.884283441763679,4.884283441763679,0.1312007457017898,5.135096089796252
moons,13693,both,0.1354144662618637,5,0.13435463607311246,5,0.0010598301887512485,-0.7826565491915427,-0.7888303818370027,0.1354144662618637,-0.7826565491915427
moons,15882,both,0.13163954019546503,5,0.13634821772575373,5,-0.004708677530288696,3.4534206671916854,3.4534206671916854,0.13163954019546503,3.576947718973353
moons,30080,both,0.13245041668415064,5,0.13433529436588282,5,-0.0018848776817321777,1.4031142676461656,1.4031142676461656,0.13245041668415064,1.4230817304463241
moons,31569,both,0.13202387839555735,5,0.13306006044149393,5,-0.0010361820459365845,0.7787325832398748,0.7787325832398748,0.13202387839555735,0.7848444224855102
olivetti_faces,6545,both,35.55193901062012,5,34.95292091369629,5,0.5990180969238281,-1.6849097787462135,-1.713785518534742,35.55193901062012,-1.6849097787462135
olivetti_faces,13693,both,35.673933029174805,5,36.334341049194336,5,-0.6604080200195312,1.8175863410468396,1.8175863410468396,35.673933029174805,1.851234119544479
olivetti_faces,15882,both,35.49851703643799,5,35.126885414123535,5,0.3716316223144531,-1.0468933728498748,-1.057969182104117,35.49851703643799,-1.0468933728498748
olivetti_faces,30080,both,36.26333427429199,5,35.48150444030762,5,0.781829833984375,-2.1559788961232784,-2.2034855802117637,36.26333427429199,-2.1559788961232784
olivetti_faces,31569,both,35.17006015777588,5,35.61465549468994,5,-0.4445953369140625,1.248349396445378,1.248349396445378,35.17006015777588,1.2641301576385426
s_curve,6545,both,0.3052316755056381,5,0.30702178180217743,5,-0.0017901062965393066,0.5830551454791313,0.5830551454791313,0.3052316755056381,0.586474615904089
s_curve,13693,both,0.3045300245285034,5,0.3131053298711777,5,-0.008575305342674255,2.738792516308308,2.738792516308308,0.3045300245285034,2.81591457392459
s_curve,15882,both,0.3084016740322113,5,0.3102441877126694,5,-0.0018425136804580688,0.5938914421064032,0.5938914421064032,0.3084016740322113,0.5974395846715235
s_curve,30080,both,0.3046283572912216,5,0.3237728625535965,5,-0.019144505262374878,5.912943139021031,5.912943139021031,0.3046283572912216,6.284544693281107
s_curve,31569,both,0.30785197019577026,5,0.3082208186388016,5,-0.00036884844303131104,0.11967019121559011,0.11967019121559011,0.30785197019577026,0.11981357234671966
swiss_roll,6545,both,0.26942409574985504,5,0.2550968676805496,5,0.01432722806930542,-5.317723357085121,-5.616387296157234,0.26942409574985504,-5.317723357085121
swiss_roll,13693,both,0.24313979595899582,5,0.2557057738304138,5,-0.012565977871418,4.914233137243064,4.914233137243064,0.24313979595899582,5.1682110786739255
swiss_roll,15882,both,0.2550030052661896,5,0.2501262351870536,5,0.00487677007913595,-1.9124363158172368,-1.9497235367929004,0.2550030052661896,-1.9124363158172368
swiss_roll,30080,both,0.25994299352169037,5,0.2511167824268341,5,0.008826211094856262,-3.3954410446995866,-3.514783444403157,0.25994299352169037,-3.3954410446995866
swiss_roll,31569,both,0.2706442326307297,5,0.2552279829978943,5,0.015416249632835388,-5.69613085155578,-6.040187855483925,0.2706442326307297,-5.69613085155578
wine,6545,both,1.422087162733078,5,1.4418851435184479,5,-0.019797980785369873,1.373062263271497,1.373062263271497,1.422087162733078,1.3921777303242489
wine,13693,both,1.4734545946121216,5,1.45493483543396,5,0.01851975917816162,-1.2568937818567014,-1.2728926909388196,1.4734545946121216,-1.2568937818567014
wine,15882,both,1.4739383161067963,5,1.4839285612106325,5,-0.009990245103836282,0.6732295182516027,0.6732295182516027,1.4739383161067963,0.6777926182300579
wine,30080,both,1.402778685092926,5,1.424883097410202,5,-0.022104412317276,1.551314094289693,1.551314094289693,1.402778685092926,1.575759066784773
wine,31569,both,1.4603816270828247,5,1.4404783844947813,5,0.019903242588043435,-1.3628795527783393,-1.3817106040799145,1.4603816270828247,-1.3628795527783393
