dataset,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,6545,both,0.1175649873912334,5,0.1187863238155841,5,-0.001221336424350697,1.028179326642706,1.028179326642706,0.1175649873912334,1.0388606773599414
blobs,13693,both,0.15049298852682108,5,0.15399141609668732,5,-0.003498427569866236,2.271832845325392,2.271832845325392,0.15049298852682108,2.324644891507847
blobs,15882,both,0.1336374580860138,5,0.13690990209579465,5,-0.003272444009780856,2.3902171864027455,2.3902171864027455,0.1336374580860138,2.44874757171346
blobs,30080,both,0.12812983244657516,5,0.1305354312062263,5,-0.0024055987596511286,1.8428703513076425,1.8428703513076425,0.12812983244657516,1.8774696834588962
blobs,31569,both,0.14000841975212097,5,0.1430333778262138,5,-0.0030249580740928372,2.1148616638056152,2.1148616638056152,0.14000841975212097,2.16055440054848
breast_cancer,6545,both,2.314365327358246,5,2.95564341545105,5,-0.641278088092804,21.69673394092233,21.69673394092233,2.314365327358246,27.708593821045397
breast_cancer,13693,both,2.3890111446380615,5,2.8925156593322754,5,-0.5035045146942139,17.407149139183765,17.407149139183765,2.3890111446380615,21.07585457791975
breast_cancer,15882,both,2.3357415199279785,5,2.96881103515625,5,-0.6330695152282715,21.324008423963324,21.324008423963324,2.3357415199279785,27.10357759311449
breast_cancer,30080,both,2.431519389152527,5,2.9658669233322144,5,-0.5343475341796875,18.016571477837473,18.016571477837473,2.431519389152527,21.97586976124945
breast_cancer,31569,both,2.359615445137024,5,2.919328808784485,5,-0.5597133636474609,19.172672909034446,19.172672909034446,2.359615445137024,23.72053314030406
circles,6545,both,0.16618168354034418,5,0.1640403941273689,5,0.0021412894129752835,-1.2885231196104951,-1.3053427629006322,0.16618168354034418,-1.2885231196104951
circles,13693,both,0.16012578457593915,5,0.16035052388906473,5,-0.0002247393131255826,0.14015502268085134,0.14015502268085134,0.16012578457593915,0.14035173268362702
circles,15882,both,0.164855845272541,5,0.1607892513275146,5,0.004066593945026398,-2.4667575106624047,-2.5291453946402656,0.164855845272541,-2.4667575106624047
circles,30080,both,0.15800964087247843,5,0.16067693382501602,5,-0.002667292952537592,1.6600347598382648,1.6600347598382648,0.15800964087247843,1.6880570943707345
circles,31569,both,0.15760975331068033,5,0.16128396987915034,5,-0.0036742165684700012,2.278103999562438,2.278103999562438,0.15760975331068033,2.3312114201634375
