dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,minibatch,6545,both,0.1111595258116722,5,0.1146979145705699,5,-0.003538388758897698,3.0849634643711354,3.0849634643711354,0.1111595258116722,3.183162876110572
blobs,minibatch,13693,both,0.1454575806856154,5,0.1511750146746635,5,-0.005717433989048087,3.7819966489517487,3.7819966489517487,0.1454575806856154,3.930653845677152
blobs,minibatch,15882,both,0.1305315941572188,5,0.134377934038639,5,-0.0038463398814202188,2.862329971760276,2.862329971760276,0.1305315941572188,2.94667349024137
blobs,minibatch,30080,both,0.1239267699420452,5,0.128481313586235,5,-0.004554543644189793,3.544907439892294,3.544907439892294,0.1239267699420452,3.6751895061250623
blobs,minibatch,31569,both,0.1302788108587264,5,0.1347195729613304,5,-0.004440762102604023,3.2963006079886323,3.2963006079886323,0.1302788108587264,3.408660298119823
breast_cancer,minibatch,6545,both,2.296070337295532,5,2.9949018955230717,5,-0.69883155822754,23.33403839612203,23.33403839612203,2.296070337295532,30.435982159443398
breast_cancer,minibatch,13693,both,2.2591589093208317,5,2.912503957748413,5,-0.6533450484275813,22.432417531637167,22.432417531637167,2.2591589093208317,28.91983586156831
breast_cancer,minibatch,15882,both,2.274525105953217,5,2.975316643714905,5,-0.7007915377616878,23.553511161309448,23.553511161309448,2.274525105953217,30.810455155121154
breast_cancer,minibatch,30080,both,2.273313581943512,5,2.986255645751953,5,-0.7129420638084412,23.874113551618553,23.874113551618553,2.273313581943512,31.36136032755012
breast_cancer,minibatch,31569,both,2.25312477350235,5,2.936923623085022,5,-0.6837988495826721,23.282827112282607,23.282827112282607,2.25312477350235,30.34891177019669
circles,minibatch,6545,both,0.1533200293779373,5,0.1585728600621223,5,-0.005252830684185,3.3125660230427565,3.3125660230427565,0.1533200293779373,3.4260564033917937
circles,minibatch,13693,both,0.1531988605856895,5,0.1582697927951812,5,-0.005070932209491702,3.2039798118988223,3.2039798118988223,0.1531988605856895,3.310032587778518
circles,minibatch,15882,both,0.153711475431919,5,0.1585777774453163,5,-0.0048663020133973,3.06871624246051,3.06871624246051,0.153711475431919,3.16586774001311
circles,minibatch,30080,both,0.1531884372234344,5,0.1586585566401481,5,-0.005470119416713715,3.447730480191143,3.447730480191143,0.1531884372234344,3.570843541366782
circles,minibatch,31569,both,0.1531701013445853,5,0.1592350751161575,5,-0.006064973771572196,3.8088177288502356,3.8088177288502356,0.1531701013445853,3.9596329298809323
digits,minibatch,6545,both,4.01738715171814,5,4.910726547241211,5,-0.8933393955230713,18.191593177285323,18.191593177285323,4.01738715171814,22.23682612070414
digits,minibatch,13693,both,4.064430952072144,5,4.874768018722534,5,-0.8103370666503897,16.62308982782619,16.62308982782619,4.064430952072144,19.937282148618134
digits,minibatch,15882,both,4.020839333534241,5,4.865620851516724,5,-0.8447815179824829,17.362255378347978,17.362255378347978,4.020839333534241,21.01007893891488
digits,minibatch,30080,both,4.043879985809326,5,4.856591463088989,5,-0.8127114772796631,16.734194824835967,16.734194824835967,4.043879985809326,20.097319409369423
digits,minibatch,31569,both,4.136910438537598,5,4.870455741882324,5,-0.7335453033447266,15.061122453834832,15.061122453834832,4.136910438537598,17.73171825310377
iris,minibatch,6545,both,0.1997424438595771,5,0.7943966388702393,5,-0.5946541950106622,74.85608144772073,74.85608144772073,0.1997424438595771,297.7104833205685
iris,minibatch,13693,both,0.2039078660309314,5,0.7605502903461456,5,-0.5566424243152143,73.18943025606791,73.18943025606791,0.2039078660309314,272.9872246472216
iris,minibatch,15882,both,0.1943768672645091,5,0.7440546452999115,5,-0.5496777780354024,73.87599573601746,73.87599573601746,0.1943768672645091,282.7897093780187
iris,minibatch,30080,both,0.2227428220212459,5,0.6511147320270538,5,-0.42837191000580793,65.79054181007366,65.79054181007366,0.2227428220212459,192.31681906452118
iris,minibatch,31569,both,0.2115340493619442,5,0.6773454248905182,5,-0.465811375528574,68.77013683289657,68.77013683289657,0.2115340493619442,220.20633412616704
moons,minibatch,6545,both,0.1296328902244567,5,0.1339804977178573,5,-0.0043476074934006015,3.2449554729644356,3.2449554729644356,0.1296328902244567,3.3537842794932735
moons,minibatch,13693,both,0.1295910477638244,5,0.134023368358612,5,-0.004432320594787598,3.3071252044105095,3.3071252044105095,0.1295910477638244,3.4202367148580834
moons,minibatch,15882,both,0.1299003884196281,5,0.1344808191061019,5,-0.004580430686473819,3.4060104012751267,3.4060104012751267,0.1299003884196281,3.52611007726726
moons,minibatch,30080,both,0.1293817609548568,5,0.1346633285284041,5,-0.005281567573547308,3.9220533394384978,3.9220533394384978,0.1293817609548568,4.0821577435401615
moons,minibatch,31569,both,0.1293925046920775,5,0.1341776698827743,5,-0.0047851651906968,3.566290273841697,3.566290273841697,0.1293925046920775,3.6981780375024984
olivetti_faces,minibatch,6545,both,34.28143310546875,5,50.34030151367188,5,-16.058868408203132,31.90062022938364,31.90062022938364,34.28143310546875,46.84421552272078
olivetti_faces,minibatch,13693,both,33.51300811767578,5,50.813894271850586,5,-17.300886154174805,34.047550186994805,34.047550186994805,33.51300811767578,51.62439042602621
olivetti_faces,minibatch,15882,both,32.875624656677246,5,50.1950798034668,5,-17.31945514678955,34.50428849720318,34.50428849720318,32.875624656677246,52.68175229416321
olivetti_faces,minibatch,30080,both,34.04138946533203,5,50.944183349609375,5,-16.902793884277344,33.17904571809561,33.17904571809561,34.04138946533203,49.65365441822302
olivetti_faces,minibatch,31569,both,33.93809509277344,5,51.29024505615234,5,-17.3521499633789,33.83128691309983,33.83128691309983,33.93809509277344,51.12882710695733
s_curve,minibatch,6545,both,0.3013431578874588,5,0.312161237001419,5,-0.01081807911396021,3.4655421082634406,3.4655421082634406,0.3013431578874588,3.589953456982218
s_curve,minibatch,13693,both,0.3024634122848511,5,0.3121229708194732,5,-0.009659558534622137,3.094792577829546,3.094792577829546,0.3024634122848511,3.1936287637742615
s_curve,minibatch,15882,both,0.3034612983465194,5,0.3147255033254623,5,-0.011264204978942871,3.5790569432482218,3.5790569432482218,0.3034612983465194,3.711908253315514
s_curve,minibatch,30080,both,0.3017762303352355,5,0.3129367977380752,5,-0.011160567402839716,3.5663966281718626,3.5663966281718626,0.3017762303352355,3.698292403759477
s_curve,minibatch,31569,both,0.3019469529390334,5,0.3130435943603515,5,-0.01109664142131811,3.5447591393754947,3.5447591393754947,0.3019469529390334,3.6750301048935077
swiss_roll,minibatch,6545,both,0.2395977079868316,5,0.2492298930883407,5,-0.009632185101509094,3.8647792133405607,3.8647792133405607,0.2395977079868316,4.020149100106785
swiss_roll,minibatch,13693,both,0.2398978769779204,5,0.2501461431384086,5,-0.010248266160488212,4.096911522164759,4.096911522164759,0.2398978769779204,4.271928659640217
swiss_roll,minibatch,15882,both,0.2404994741082191,5,0.2509664744138717,5,-0.010467000305652618,4.1706767129347195,4.1706767129347195,0.2404994741082191,4.352192596039822
swiss_roll,minibatch,30080,both,0.2396018952131271,5,0.2500353306531906,5,-0.010433435440063504,4.172784467222,4.172784467222,0.2396018952131271,4.354487860282954
swiss_roll,minibatch,31569,both,0.2398652136325836,5,0.2508918046951293,5,-0.011026591062545693,4.394958645996682,4.394958645996682,0.2398652136325836,4.596994660274418
wine,minibatch,6545,both,1.2509517669677734,5,2.350143313407898,5,-1.0991915464401245,46.77125604081599,46.77125604081599,1.2509517669677734,87.86841950785154
wine,minibatch,13693,both,1.280434966087341,5,2.4660578966140747,5,-1.1856229305267336,48.077659983352675,48.077659983352675,1.280434966087341,92.59532595784016
wine,minibatch,15882,both,1.2968326807022097,5,2.34810471534729,5,-1.0512720346450803,44.77108826424697,44.77108826424697,1.2968326807022097,81.06458529991988
wine,minibatch,30080,both,1.2436493337154388,5,2.513606548309326,5,-1.2699572145938873,50.52330944347959,50.52330944347959,1.2436493337154388,102.11537771663117
wine,minibatch,31569,both,1.2970254123210907,5,2.378827691078186,5,-1.0818022787570953,45.47627736192933,45.47627736192933,1.2970254123210907,83.40640580211586
