dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,minibatch,6545,both,0.1111595258116722,5,0.1113968901336192,5,-0.00023736432194700063,0.21307984600134264,0.21307984600134264,0.1111595258116722,0.2135348457217658
blobs,minibatch,13693,both,0.1454575806856154,5,0.1470628604292869,5,-0.0016052797436715005,1.0915602613641373,1.0915602613641373,0.1454575806856154,1.1036067945754373
blobs,minibatch,15882,both,0.1305315941572188,5,0.1308663710951805,5,-0.00033477693796171715,0.2558158640451872,0.2558158640451872,0.1305315941572188,0.25647196000570943
blobs,minibatch,30080,both,0.1239267699420452,5,0.124676264822483,5,-0.0007494948804377954,0.6011528188664811,0.6011528188664811,0.1239267699420452,0.6047885221153584
blobs,minibatch,31569,both,0.1302788108587264,5,0.1308242306113243,5,-0.0005454197525979199,0.4169103460798092,0.4169103460798092,0.1302788108587264,0.41865576527972
breast_cancer,minibatch,6545,both,2.296070337295532,5,2.2907819747924805,5,0.005288362503051314,-0.23032232145293544,-0.2308540298135697,2.296070337295532,-0.23032232145293544
breast_cancer,minibatch,13693,both,2.2591589093208317,5,2.256646811962128,5,0.0025120973587036133,-0.11119613358490227,-0.11131991702854793,2.2591589093208317,-0.11119613358490227
breast_cancer,minibatch,15882,both,2.274525105953217,5,2.2703883051872253,5,0.004136800765991655,-0.18187536181351527,-0.18220675100114728,2.274525105953217,-0.18187536181351527
breast_cancer,minibatch,30080,both,2.273313581943512,5,2.274465262889862,5,-0.0011516809463500977,0.050635240077784666,0.050635240077784666,2.273313581943512,0.0506608923422477
breast_cancer,minibatch,31569,both,2.25312477350235,5,2.238794863224029,5,0.014329910278320757,-0.6360016296854148,-0.64007250122437,2.25312477350235,-0.6360016296854148
circles,minibatch,6545,both,0.1533200293779373,5,0.1544715538620948,5,-0.0011515244841575067,0.7454605429719026,0.7454605429719026,0.1533200293779373,0.7510593944115243
circles,minibatch,13693,both,0.1531988605856895,5,0.1541171893477439,5,-0.0009183287620544156,0.5958639434971366,0.5958639434971366,0.1531988605856895,0.5994357650857084
circles,minibatch,15882,both,0.153711475431919,5,0.1546211466193198,5,-0.0009096711874008179,0.5883226242271024,0.5883226242271024,0.153711475431919,0.5918043430685331
circles,minibatch,30080,both,0.1531884372234344,5,0.1536347568035125,5,-0.00044631958007809724,0.29050690700731674,0.29050690700731674,0.1531884372234344,0.29135330849228114
circles,minibatch,31569,both,0.1531701013445853,5,0.1540703102946281,5,-0.0009002089500427801,0.5842845051206257,0.5842845051206257,0.1531701013445853,0.5877184529750938
digits,minibatch,6545,both,4.01738715171814,5,4.01187789440155,5,0.0055092573165893555,-0.13713533469715955,-0.13732365394962173,4.01738715171814,-0.13713533469715955
digits,minibatch,13693,both,4.064430952072144,5,4.061774134635925,5,0.00265681743621915,-0.06536751312910459,-0.0654102701960628,4.064430952072144,-0.06536751312910459
digits,minibatch,15882,both,4.020839333534241,5,4.024267315864563,5,-0.0034279823303222656,0.0851827689678663,0.0851827689678663,4.020839333534241,0.08525539187135674
digits,minibatch,30080,both,4.043879985809326,5,4.039893627166748,5,0.003986358642578125,-0.09857757046615989,-0.09867484172779648,4.043879985809326,-0.09857757046615989
digits,minibatch,31569,both,4.136910438537598,5,4.126461386680603,5,0.010449051856994629,-0.2525810508164731,-0.25322063816523505,4.136910438537598,-0.2525810508164731
iris,minibatch,6545,both,0.1997424438595771,5,0.2019781507551669,5,-0.0022357068955898007,1.106905319823366,1.106905319823366,0.1997424438595771,1.1192948541079968
iris,minibatch,13693,both,0.2039078660309314,5,0.2181063890457153,5,-0.014198523014783915,6.509906966461167,6.509906966461167,0.2039078660309314,6.963205143165051
iris,minibatch,15882,both,0.1943768672645091,5,0.2085596658289432,5,-0.014182798564434107,6.800355432131627,6.800355432131627,0.1943768672645091,7.296546530474781
iris,minibatch,30080,both,0.2227428220212459,5,0.2228389307856559,5,-9.610876440999117e-05,0.04312925217830819,0.04312925217830819,0.2227428220212459,0.04314786152831628
iris,minibatch,31569,both,0.2115340493619442,5,0.2148182019591331,5,-0.003284152597188894,1.528805551502414,1.528805551502414,0.2115340493619442,1.5525408827065768
moons,minibatch,6545,both,0.1296328902244567,5,0.1302392780780791,5,-0.0006063878536224088,0.4655952202521241,0.4655952202521241,0.1296328902244567,0.4677731496786507
moons,minibatch,13693,both,0.1295910477638244,5,0.1305715441703795,5,-0.0009804964065550925,0.7509265612082121,0.7509265612082121,0.1295910477638244,0.7566081326404709
moons,minibatch,15882,both,0.1299003884196281,5,0.1303806826472281,5,-0.0004802942276000144,0.36837836545123004,0.36837836545123004,0.1299003884196281,0.36974040912678396
moons,minibatch,30080,both,0.1293817609548568,5,0.1301207393407821,5,-0.0007389783859253207,0.5679174508761126,0.5679174508761126,0.1293817609548568,0.5711611748607759
moons,minibatch,31569,both,0.1293925046920775,5,0.1302157416939735,5,-0.0008232370018960156,0.6322100471007152,0.6322100471007152,0.1293925046920775,0.6362323720799116
olivetti_faces,minibatch,6545,both,34.28143310546875,5,33.93204116821289,5,0.3493919372558594,-1.0191870806011392,-1.029681461023233,34.28143310546875,-1.0191870806011392
olivetti_faces,minibatch,13693,both,33.51300811767578,5,33.55289268493652,5,-0.03988456726074219,0.11887072639387736,0.11887072639387736,33.51300811767578,0.11901219705701635
olivetti_faces,minibatch,15882,both,32.875624656677246,5,32.88505935668945,5,-0.009434700012207031,0.028689928486590466,0.028689928486590466,32.875624656677246,0.028698161968736265
olivetti_faces,minibatch,30080,both,34.04138946533203,5,33.796813011169434,5,0.24457645416259766,-0.7184678945366666,-0.7236672111117937,34.04138946533203,-0.7184678945366666
olivetti_faces,minibatch,31569,both,33.93809509277344,5,33.89112186431885,5,0.046973228454589844,-0.13840855924937293,-0.1386003940579024,33.93809509277344,-0.13840855924937293
s_curve,minibatch,6545,both,0.3013431578874588,5,0.3030143529176712,5,-0.0016711950302124023,0.5515233896086978,0.5515233896086978,0.3013431578874588,0.5545820392698398
s_curve,minibatch,13693,both,0.3024634122848511,5,0.3036880195140838,5,-0.0012246072292327326,0.40324515639180175,0.40324515639180175,0.3024634122848511,0.4048778065359634
s_curve,minibatch,15882,both,0.3034612983465194,5,0.3057625293731689,5,-0.002301231026649475,0.7526203525877202,0.7526203525877202,0.3034612983465194,0.7583276810546439
s_curve,minibatch,30080,both,0.3017762303352355,5,0.3029100894927978,5,-0.0011338591575623114,0.3743220172893154,0.3743220172893154,0.3017762303352355,0.3757284516089078
s_curve,minibatch,31569,both,0.3019469529390334,5,0.3039286583662033,5,-0.001981705427169911,0.6520298012772971,0.6520298012772971,0.3019469529390334,0.656309132409109
swiss_roll,minibatch,6545,both,0.2395977079868316,5,0.2403172627091407,5,-0.0007195547223090848,0.2994186577349509,0.2994186577349509,0.2395977079868316,0.3003178654566394
swiss_roll,minibatch,13693,both,0.2398978769779204,5,0.241201676428318,5,-0.0013037994503976025,0.5405432788461877,0.5405432788461877,0.2398978769779204,0.5434810290203614
swiss_roll,minibatch,15882,both,0.2404994741082191,5,0.2411734536290168,5,-0.0006739795207977017,0.2794584190988306,0.2794584190988306,0.2404994741082191,0.2802415777817572
swiss_roll,minibatch,30080,both,0.2396018952131271,5,0.2407884672284126,5,-0.001186572015285492,0.492786066103368,0.492786066103368,0.2396018952131271,0.4952264731587495
swiss_roll,minibatch,31569,both,0.2398652136325836,5,0.2406176552176475,5,-0.0007524415850639066,0.3127125415561446,0.3127125415561446,0.2398652136325836,0.31369350047417377
wine,minibatch,6545,both,1.2509517669677734,5,1.245448708534241,5,0.005503058433532493,-0.43990972144925716,-0.44185347785289364,1.2509517669677734,-0.43990972144925716
wine,minibatch,13693,both,1.280434966087341,5,1.2715501189231873,5,0.00888484716415383,-0.69389288792257,-0.6987414048356951,1.280434966087341,-0.69389288792257
wine,minibatch,15882,both,1.2968326807022097,5,1.3275383114814758,5,-0.030705630779266135,2.312975114443211,2.312975114443211,1.2968326807022097,2.3677403597385926
wine,minibatch,30080,both,1.2436493337154388,5,1.2602501511573794,5,-0.01660081744194053,1.3172636739376538,1.3172636739376538,1.2436493337154388,1.3348471302875304
wine,minibatch,31569,both,1.2970254123210907,5,1.2845734059810638,5,0.012452006340026855,-0.9600433593466283,-0.9693495351880586,1.2970254123210907,-0.9600433593466283
