dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,full_batch,6545,all,0.1111605651676654,5,0.1146676763892173,5,-0.003507111221551895,3.058500295800608,3.058500295800608,0.1111605651676654,3.1549958533064837
blobs,full_batch,13693,all,0.1457187533378601,5,0.1510361731052398,5,-0.005317419767379705,3.5206266539040314,3.5206266539040314,0.1457187533378601,3.6490977623524268
blobs,full_batch,15882,all,0.1305475011467933,5,0.1347213834524154,5,-0.004173882305622101,3.0981587322374455,3.0981587322374455,0.1305475011467933,3.197213480883717
blobs,full_batch,30080,all,0.1239881440997123,5,0.1283300668001174,5,-0.004341922700405107,3.383402509380705,3.383402509380705,0.1239881440997123,3.5018853874555105
blobs,full_batch,31569,all,0.130362831056118,5,0.1346867606043815,5,-0.004323929548263494,3.210359747951969,3.210359747951969,0.130362831056118,3.3168423186530434
blobs,minibatch,6545,all,0.1111595258116722,5,0.1146979145705699,5,-0.003538388758897698,3.0849634643711354,3.0849634643711354,0.1111595258116722,3.183162876110572
blobs,minibatch,13693,all,0.1454575806856154,5,0.1511750146746635,5,-0.005717433989048087,3.7819966489517487,3.7819966489517487,0.1454575806856154,3.930653845677152
blobs,minibatch,15882,all,0.1305315941572188,5,0.134377934038639,5,-0.0038463398814202188,2.862329971760276,2.862329971760276,0.1305315941572188,2.94667349024137
blobs,minibatch,30080,all,0.1239267699420452,5,0.128481313586235,5,-0.004554543644189793,3.544907439892294,3.544907439892294,0.1239267699420452,3.6751895061250623
blobs,minibatch,31569,all,0.1302788108587264,5,0.1347195729613304,5,-0.004440762102604023,3.2963006079886323,3.2963006079886323,0.1302788108587264,3.408660298119823
breast_cancer,full_batch,6545,all,2.303733468055725,5,2.993192195892334,5,-0.6894587278366089,23.034228432867696,23.034228432867696,2.303733468055725,29.927886076963983
breast_cancer,full_batch,13693,all,2.2631604075431824,5,2.9226590394973755,5,-0.6594986319541931,22.56502120300733,22.56502120300733,2.2631604075431824,29.14060487078442
breast_cancer,full_batch,15882,all,2.269862651824951,5,2.9772777557373047,5,-0.7074151039123535,23.76046717674033,23.76046717674033,2.269862651824951,31.165546661759358
breast_cancer,full_batch,30080,all,2.317085862159729,5,2.9838454723358154,5,-0.6667596101760864,22.34564813619967,22.34564813619967,2.317085862159729,28.775783455629366
breast_cancer,full_batch,31569,all,2.250485062599182,5,2.9410935640335083,5,-0.6906085014343262,23.481350946455574,23.481350946455574,2.250485062599182,30.68709554715785
breast_cancer,minibatch,6545,all,2.296070337295532,5,2.9949018955230717,5,-0.69883155822754,23.33403839612203,23.33403839612203,2.296070337295532,30.435982159443398
breast_cancer,minibatch,13693,all,2.2591589093208317,5,2.912503957748413,5,-0.6533450484275813,22.432417531637167,22.432417531637167,2.2591589093208317,28.91983586156831
breast_cancer,minibatch,15882,all,2.274525105953217,5,2.975316643714905,5,-0.7007915377616878,23.553511161309448,23.553511161309448,2.274525105953217,30.810455155121154
breast_cancer,minibatch,30080,all,2.273313581943512,5,2.986255645751953,5,-0.7129420638084412,23.874113551618553,23.874113551618553,2.273313581943512,31.36136032755012
breast_cancer,minibatch,31569,all,2.25312477350235,5,2.936923623085022,5,-0.6837988495826721,23.282827112282607,23.282827112282607,2.25312477350235,30.34891177019669
