dataset,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,6545,all,0.1135924868285655,5,0.1175649873912334,5,-0.003972500562667902,3.378982680828428,3.378982680828428,0.1135924868285655,3.497150800706762
blobs,13693,all,0.1470986008644103,5,0.150492988526821,5,-0.0033943876624107083,2.2555121641469413,2.2555121641469413,0.1470986008644103,2.3075594481959225
blobs,15882,all,0.132249854505062,5,0.1336374580860138,5,-0.0013876035809518017,1.0383343119701447,1.0383343119701447,0.132249854505062,1.0492288147649265
blobs,30080,all,0.1302013844251632,5,0.1281298324465751,5,0.0020715519785881042,-1.5910368293962227,-1.616760077675007,0.1302013844251632,-1.5910368293962227
blobs,31569,all,0.1332072243094443,5,0.1400084197521209,5,-0.0068011954426766,4.857704597136254,4.857704597136254,0.1332072243094443,5.105725667608856
breast_cancer,6545,all,2.38082218170166,5,2.314365327358246,5,0.0664568543434143,-2.791340523210145,-2.8714936902062957,2.38082218170166,-2.791340523210145
breast_cancer,13693,all,2.400730013847351,5,2.389011144638061,5,0.011718869209289995,-0.48813773900837865,-0.49053221185644247,2.400730013847351,-0.48813773900837865
breast_cancer,15882,all,2.377148747444153,5,2.3357415199279785,5,0.041407227516174316,-1.7418862644037008,-1.7727658288769508,2.377148747444153,-1.7418862644037008
breast_cancer,30080,all,2.409850597381592,5,2.431519389152527,5,-0.02166879177093506,0.8911626149313752,0.8911626149313752,2.409850597381592,0.8991757329055647
breast_cancer,31569,all,2.338790774345398,5,2.359615445137024,5,-0.020824670791625977,0.882545112787083,0.882545112787083,2.338790774345398,0.8904033238054214
circles,6545,all,0.1556005701422691,5,0.1661816835403441,5,-0.010581113398074993,6.367195934385997,6.367195934385997,0.1556005701422691,6.800176495754766
circles,13693,all,0.1565405502915381,5,0.1601257845759391,5,-0.0035852342844009955,2.2390112210196293,2.2390112210196293,0.1565405502915381,2.2902910956451374
circles,15882,all,0.1561332568526267,5,0.164855845272541,5,-0.008722588419914301,5.291039820574181,5.291039820574181,0.1561332568526267,5.58663067417309
circles,30080,all,0.1600528582930564,5,0.1580096408724784,5,0.002043217420578003,-1.2765891483405294,-1.2930966802379993,0.1600528582930564,-1.2765891483405294
circles,31569,all,0.1548133864998817,5,0.1576097533106803,5,-0.0027963668107986173,1.7742346219439982,1.7742346219439982,0.1548133864998817,1.8062823080229915
digits,6545,all,4.077513933181763,5,4.099666953086853,5,-0.022153019905090332,0.5403614527372808,0.5403614527372808,4.077513933181763,0.543297221496038
digits,13693,all,4.133016109466553,5,4.074148535728455,5,0.058867573738098145,-1.4243248073305035,-1.4449049469320014,4.133016109466553,-1.4243248073305035
digits,15882,all,4.074213147163391,5,4.192460298538208,5,-0.1182471513748169,2.8204715836199172,2.8204715836199172,4.074213147163391,2.902331004875007
digits,30080,all,4.127055048942566,5,4.111597537994385,5,0.015457510948181152,-0.37454094420527967,-0.37594902724164103,4.127055048942566,-0.37454094420527967
digits,31569,all,4.192303419113159,5,4.17364239692688,5,0.018661022186279297,-0.4451257535702617,-0.4471159819542687,4.192303419113159,-0.4451257535702617
iris,6545,all,0.2252948507666587,5,0.225917413830757,5,-0.0006225630640983026,0.27557108305280414,0.27557108305280414,0.2252948507666587,0.276332575724556
iris,13693,all,0.2298919707536697,5,0.2431717514991759,5,-0.013279780745506176,5.461070483571848,5.461070483571848,0.2298919707536697,5.776530907960905
iris,15882,all,0.2219221368432044,5,0.2468489408493042,5,-0.024926804006099812,10.097999173234076,10.097999173234076,0.2219221368432044,11.232229628228325
