dataset,n_pairs,p_value,q_value,effect_size_signed,median_pct,ci_low_pct,ci_high_pct,comparison_key,comparison_label
blobs,5,0.0625,0.20833333333333334,1.0,0.49534109433430307,0.2101843643566803,0.6727099007736193,full_vs_random,Full vs Random
breast_cancer,5,1.0,1.0,-0.2,0.03205470690203209,-0.25522889396818627,0.49196363942304694,full_vs_random,Full vs Random
circles,5,0.0625,0.20833333333333334,1.0,0.4300010059520199,0.08944516514058984,0.7705568467634499,full_vs_random,Full vs Random
digits,5,0.8125,1.0,-0.2,-0.011394676429978942,-0.3526102891230403,1.125065316599393,full_vs_random,Full vs Random
iris,5,1.0,1.0,0.2,0.1409287968912676,-1.953998536455364,1.6382619867229478,full_vs_random,Full vs Random
moons,5,0.0625,0.20833333333333334,1.0,0.49378316550571166,0.24559374991579125,0.7265060141142724,full_vs_random,Full vs Random
olivetti_faces,5,0.3125,0.625,-0.6,-0.90568075907746,-2.612157534175493,0.8007960160205728,full_vs_random,Full vs Random
s_curve,5,0.125,0.3125,0.6,0.3209275311174201,-0.002771806673874058,0.6446268689087143,full_vs_random,Full vs Random
swiss_roll,5,0.4375,0.625,0.6,0.20796878480700368,-0.3217390713505879,1.2810525763658547,full_vs_random,Full vs Random
wine,5,0.4375,0.625,-0.2,-0.9247929592570895,-1.9305486821177646,1.8234522924396492,full_vs_random,Full vs Random
GLOBAL_SYNTHETIC,5,0.0625,,1.0,0.38960431634329173,0.2358015884961241,0.5434070441904594,full_vs_random,Full vs Random
GLOBAL_REAL,5,0.625,,-0.2,-0.33377697819424573,-0.9964937109651935,0.32893975457670205,full_vs_random,Full vs Random
GLOBAL_OVERALL,10,0.4921875,,0.4,0.027913669074522963,-0.34979486530672743,0.4056222034557734,full_vs_random,Full vs Random
