dataset,n_pairs,p_value,q_value,effect_size_signed,median_pct,ci_low_pct,ci_high_pct,comparison_key,comparison_label
blobs,5,0.0625,0.0625,1.0,2.4928486060773807,1.5552944675483893,3.013262202455728,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,5,0.0625,0.0625,1.0,23.72754302560383,22.893774832127452,24.561311219080206,random_vs_hdsssom,Random vs HDSSOM
circles,5,0.0625,0.0625,1.0,2.2547466710305297,2.028075690275854,2.792698283137337,random_vs_hdsssom,Random vs HDSSOM
digits,5,0.0625,0.0625,1.0,20.058653383579667,17.676414205653014,20.917267625653484,random_vs_hdsssom,Random vs HDSSOM
iris,5,0.0625,0.0625,1.0,210.11403066712572,160.4602458079363,254.79945401768362,random_vs_hdsssom,Random vs HDSSOM
moons,5,0.0625,0.0625,1.0,2.118724711997506,0.9773081971146944,3.186070246575749,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,5,0.0625,0.0625,1.0,43.416777728397406,41.84364102453743,44.490077301526924,random_vs_hdsssom,Random vs HDSSOM
s_curve,5,0.0625,0.0625,1.0,3.221909355840011,2.8895928873370957,3.9308898640713914,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,5,0.0625,0.0625,1.0,4.572811986401344,3.353946339676911,6.0546435491119475,random_vs_hdsssom,Random vs HDSSOM
wine,5,0.0625,0.0625,1.0,73.60493592664713,64.59493742042146,82.6149344328728,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_SYNTHETIC,5,0.0625,,1.0,2.9322082662693547,1.676767774396227,4.187648758142482,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_REAL,5,0.0625,,1.0,74.18438814627075,-23.779946049440824,172.1487223419823,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_OVERALL,10,0.001953125,,1.0,38.55829820627006,-7.676619209565104,84.79321562210522,random_vs_hdsssom,Random vs HDSSOM
