dataset,n_pairs,p_value,q_value,effect_size_signed,median_pct,ci_low_pct,ci_high_pct,comparison_key,comparison_label
blobs,10,0.001953125,0.001953125,1.0,2.9536313333306605,2.387454062295444,3.5418076248938926,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,10,0.001953125,0.001953125,1.0,23.750783755054954,23.315330349009344,24.243394762143478,full_vs_hdsssom,Full vs HDSSOM
circles,10,0.001953125,0.001953125,1.0,2.807931910018305,2.4711509346522953,3.0981713156424115,full_vs_hdsssom,Full vs HDSSOM
digits,10,0.001953125,0.001953125,1.0,19.903263754285035,18.618062753772154,21.217915256197614,full_vs_hdsssom,Full vs HDSSOM
iris,10,0.001953125,0.001953125,1.0,209.911092374911,169.67746495529877,250.5644933308021,full_vs_hdsssom,Full vs HDSSOM
moons,10,0.001953125,0.001953125,1.0,2.6808449214429,2.0800339618313473,3.0322039292469762,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,10,0.001953125,0.001953125,1.0,42.94130496122275,41.81831454941477,44.0459013444537,full_vs_hdsssom,Full vs HDSSOM
s_curve,10,0.001953125,0.001953125,1.0,3.6880415050993753,3.408326549520893,3.9149502707150416,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,10,0.001953125,0.001953125,1.0,4.674665732852275,3.9307276912559397,5.38705859605813,full_vs_hdsssom,Full vs HDSSOM
wine,10,0.001953125,0.001953125,1.0,73.33859118276811,65.64090258156645,80.85838245839983,full_vs_hdsssom,Full vs HDSSOM
GLOBAL,10,0.001953125,,1.0,22.811074941332823,3.320836419215018,106.35951214246465,full_vs_hdsssom,Full vs HDSSOM
