figure	topology	metric	dataset	median_pct_change	ci_low_pct	ci_high_pct
Figure 11	rng	QE_B	blobs	5.4588	3.8282	7.0895
Figure 11	rng	QE_B	circles	5.6542	4.5520	6.7563
Figure 11	rng	QE_B	moons	4.4217	2.6294	6.2141
Figure 11	rng	QE_B	s_curve	10.0599	9.2501	10.8696
Figure 11	rng	QE_B	swiss_roll	19.7271	18.4881	20.9661
Figure 11	rng	QE_B	breast_cancer	7.2273	6.3913	8.0633
Figure 11	rng	QE_B	wine	20.5163	19.3744	21.6583
Figure 11	rng	QE_B	iris	23.2197	20.5690	25.8704
Figure 11	rng	QE_B	digits	8.3021	7.8283	8.7758
Figure 11	rng	QE_B	olivetti_faces	10.9797	10.0517	11.9077
Figure 11	rng	QE_B	diabetes	9.2085	8.1874	10.2296
Figure 11	rng	QE_B	california_housing	9.4344	9.0497	9.8191
Figure 11	rng	QE_B	covertype	30.3468	29.1115	31.5821
Figure 11	rng	QE_B	kddcup99	38.2338	35.8971	40.5705
Figure 11	rng	QE_B	GLOBAL_OVERALL	14.4850	12.7836	16.1865
Figure 11	rng	QE_H	blobs	4.8943	3.3372	6.4515
Figure 11	rng	QE_H	circles	4.9800	3.8583	6.1016
Figure 11	rng	QE_H	moons	3.8767	1.9564	5.7970
Figure 11	rng	QE_H	s_curve	9.4896	8.5416	10.4377
Figure 11	rng	QE_H	swiss_roll	19.2924	17.9583	20.6264
Figure 11	rng	QE_H	breast_cancer	0.1143	-0.6627	0.8913
Figure 11	rng	QE_H	wine	-1.8427	-3.2635	-0.4218
Figure 11	rng	QE_H	iris	0.4853	-2.8955	3.8661
Figure 11	rng	QE_H	digits	4.9934	4.5072	5.4796
Figure 11	rng	QE_H	olivetti_faces	2.6384	1.2928	3.9839
Figure 11	rng	QE_H	diabetes	1.3763	-0.3528	3.1055
Figure 11	rng	QE_H	california_housing	8.5235	8.0055	9.0414
Figure 11	rng	QE_H	covertype	30.3196	29.0984	31.5408
Figure 11	rng	QE_H	kddcup99	37.9291	35.5645	40.2937
Figure 11	rng	QE_H	GLOBAL_OVERALL	9.0765	7.1203	11.0326
Figure 11	rng	QE_T	blobs	6.0226	4.2924	7.7527
Figure 11	rng	QE_T	circles	6.3297	5.1892	7.4702
Figure 11	rng	QE_T	moons	4.9680	3.2744	6.6616
Figure 11	rng	QE_T	s_curve	10.6309	9.9339	11.3279
Figure 11	rng	QE_T	swiss_roll	20.1631	18.9915	21.3347
Figure 11	rng	QE_T	breast_cancer	15.8475	14.5024	17.1926
Figure 11	rng	QE_T	wine	56.1875	54.5400	57.8351
Figure 11	rng	QE_T	iris	63.2439	60.2553	66.2326
Figure 11	rng	QE_T	digits	11.8094	11.1554	12.4634
Figure 11	rng	QE_T	olivetti_faces	21.0290	19.7281	22.3298
Figure 11	rng	QE_T	diabetes	18.9602	18.1282	19.7921
Figure 11	rng	QE_T	california_housing	10.3513	9.7384	10.9642
Figure 11	rng	QE_T	covertype	30.3738	29.1225	31.6251
Figure 11	rng	QE_T	kddcup99	38.5352	36.2102	40.8602
Figure 11	rng	QE_T	GLOBAL_OVERALL	22.4609	19.4613	25.4605
