figure	topology	metric	dataset	median_pct_change	ci_low_pct	ci_high_pct
Supplementary Figure S14	mst	QE_B	blobs	5.2243	3.6173	6.8314
Supplementary Figure S14	mst	QE_B	circles	5.5236	4.4413	6.6059
Supplementary Figure S14	mst	QE_B	moons	4.2266	2.4056	6.0477
Supplementary Figure S14	mst	QE_B	s_curve	9.9680	9.2244	10.7116
Supplementary Figure S14	mst	QE_B	swiss_roll	19.5015	18.1673	20.8356
Supplementary Figure S14	mst	QE_B	breast_cancer	7.2275	6.4917	7.9633
Supplementary Figure S14	mst	QE_B	wine	18.0952	16.4439	19.7464
Supplementary Figure S14	mst	QE_B	iris	17.3842	13.8051	20.9634
Supplementary Figure S14	mst	QE_B	digits	8.5168	7.9287	9.1050
Supplementary Figure S14	mst	QE_B	olivetti_faces	11.9472	10.7950	13.0994
Supplementary Figure S14	mst	QE_B	diabetes	9.2961	8.2097	10.3825
Supplementary Figure S14	mst	QE_B	california_housing	9.4740	9.0518	9.8963
Supplementary Figure S14	mst	QE_B	covertype	32.2987	30.9976	33.5997
Supplementary Figure S14	mst	QE_B	kddcup99	40.8705	39.5821	42.1590
Supplementary Figure S14	mst	QE_B	GLOBAL_OVERALL	14.2539	12.4871	16.0207
Supplementary Figure S14	mst	QE_H	blobs	4.5705	3.0306	6.1104
Supplementary Figure S14	mst	QE_H	circles	4.8064	3.6639	5.9489
Supplementary Figure S14	mst	QE_H	moons	3.7680	1.7919	5.7440
Supplementary Figure S14	mst	QE_H	s_curve	9.4507	8.6251	10.2763
Supplementary Figure S14	mst	QE_H	swiss_roll	19.0489	17.5930	20.5048
Supplementary Figure S14	mst	QE_H	breast_cancer	-0.7772	-1.3919	-0.1624
Supplementary Figure S14	mst	QE_H	wine	-2.2046	-3.9272	-0.4821
Supplementary Figure S14	mst	QE_H	iris	-0.8720	-3.7238	1.9798
Supplementary Figure S14	mst	QE_H	digits	5.2512	4.6436	5.8587
Supplementary Figure S14	mst	QE_H	olivetti_faces	2.5542	0.9211	4.1873
Supplementary Figure S14	mst	QE_H	diabetes	1.0590	-0.5135	2.6316
Supplementary Figure S14	mst	QE_H	california_housing	8.4673	7.9248	9.0099
Supplementary Figure S14	mst	QE_H	covertype	32.2708	30.9787	33.5629
Supplementary Figure S14	mst	QE_H	kddcup99	40.3684	39.0453	41.6915
Supplementary Figure S14	mst	QE_H	GLOBAL_OVERALL	9.1258	7.0316	11.2201
Supplementary Figure S14	mst	QE_T	blobs	5.8778	4.1780	7.5776
Supplementary Figure S14	mst	QE_T	circles	6.2415	5.1655	7.3175
Supplementary Figure S14	mst	QE_T	moons	4.6869	3.0023	6.3715
Supplementary Figure S14	mst	QE_T	s_curve	10.4860	9.7854	11.1866
Supplementary Figure S14	mst	QE_T	swiss_roll	19.9554	18.7303	21.1804
Supplementary Figure S14	mst	QE_T	breast_cancer	16.9227	15.7815	18.0639
Supplementary Figure S14	mst	QE_T	wine	50.5129	47.2136	53.8122
Supplementary Figure S14	mst	QE_T	iris	49.5872	43.4267	55.7476
Supplementary Figure S14	mst	QE_T	digits	11.9794	11.2770	12.6817
Supplementary Figure S14	mst	QE_T	olivetti_faces	23.2531	21.9339	24.5724
Supplementary Figure S14	mst	QE_T	diabetes	19.5575	18.2819	20.8331
Supplementary Figure S14	mst	QE_T	california_housing	10.4893	9.9385	11.0400
Supplementary Figure S14	mst	QE_T	covertype	32.3264	31.0143	33.6385
Supplementary Figure S14	mst	QE_T	kddcup99	41.3715	40.0794	42.6636
Supplementary Figure S14	mst	QE_T	GLOBAL_OVERALL	21.6605	19.0539	24.2672
