metric	dataset	MST_effect_pct	MST_95pct_CI	MST_p	MST_q	RNG_effect_pct	RNG_95pct_CI	RNG_p	RNG_q
Balanced QE	blobs	-0.234	[-0.4136, -0.0543]	p=0.0163	q=0.0457	-0.4278	[-0.6395, -0.2161]	p=0.00134	q=0.00313
Balanced QE	circles	-0.0117	[-0.1666, 0.1432]	p=0.868	q=0.868	-0.1507	[-0.28, -0.02145]	p=0.027	q=0.0473
Balanced QE	moons	0.04526	[-0.09841, 0.1889]	p=0.494	q=0.629	-0.1834	[-0.3183, -0.04856]	p=0.0132	q=0.0264
Balanced QE	s_curve	-0.2258	[-0.324, -0.1277]	p=0.000559	q=0.0024	-0.2554	[-0.3406, -0.1702]	p=8.08e-05	q=0.000377
Balanced QE	swiss_roll	-0.2335	[-0.6601, 0.1931]	p=0.247	q=0.384	-0.3258	[-0.6783, 0.02675]	p=0.0661	q=0.0926
Balanced QE	breast_cancer	0.2996	[-0.1996, 0.7987]	p=0.208	q=0.363	-0.1832	[-0.6168, 0.2505]	p=0.364	q=0.392
Balanced QE	wine	-3.999	[-5.789, -2.209]	p=0.000686	q=0.0024	-5.319	[-7.359, -3.28]	p=0.000229	q=0.000802
Balanced QE	iris	-1.004	[-4.964, 2.955]	p=0.58	q=0.677	-4.83	[-7.089, -2.572]	p=0.000924	q=0.00259
Balanced QE	digits	-0.1745	[-0.4361, 0.08697]	p=0.165	q=0.331	-0.1445	[-0.4203, 0.1314]	p=0.266	q=0.311
Balanced QE	olivetti_faces	-1.265	[-2.634, 0.1046]	p=0.0663	q=0.155	-1.23	[-2.492, 0.03187]	p=0.0549	q=0.0854
Balanced QE	diabetes	0.1492	[-0.5331, 0.8315]	p=0.633	q=0.681	-0.3543	[-1.031, 0.3227]	p=0.267	q=0.311
Balanced QE	california_housing	-0.28	[-0.3942, -0.1659]	p=0.000356	q=0.0024	-0.184	[-0.2426, -0.1254]	p=5.65e-05	q=0.000377
Balanced QE	covertype	-0.3486	[-1.411, 0.7143]	p=0.477	q=0.629	-0.1093	[-0.857, 0.6383]	p=0.748	q=0.748
Balanced QE	kddcup99	-5.859	[-6.623, -5.096]	p=3.14e-08	q=4.4e-07	-4.466	[-5.768, -3.165]	p=2.81e-05	q=0.000377
Balanced QE	OVERALL	-0.9387	[-1.346, -0.5316]	p=1.12e-05	q=NA	-1.297	[-1.685, -0.9097]	p=7.4e-10	q=NA
Holdout QE	blobs	-0.1188	[-0.4239, 0.1864]	p=0.401	q=0.468	-0.4212	[-0.8076, -0.03478]	p=0.0358	q=0.0627
Holdout QE	circles	0.2031	[-0.05154, 0.4578]	p=0.105	q=0.147	-0.02455	[-0.2726, 0.2235]	p=0.828	q=0.828
Holdout QE	moons	0.1236	[-0.08663, 0.3339]	p=0.216	q=0.275	-0.2158	[-0.3211, -0.1106]	p=0.00122	q=0.00427
Holdout QE	s_curve	-0.1582	[-0.2432, -0.07327]	p=0.00226	q=0.00792	-0.1842	[-0.2673, -0.1011]	p=0.000724	q=0.00338
Holdout QE	swiss_roll	-0.303	[-0.6657, 0.05966]	p=0.0913	q=0.142	-0.3654	[-0.6648, -0.06609]	p=0.0221	q=0.0441
Holdout QE	breast_cancer	0.4924	[0.1735, 0.8113]	p=0.0068	q=0.0159	0.2997	[-0.0605, 0.6599]	p=0.0925	q=0.129
Holdout QE	wine	1.582	[0.9599, 2.203]	p=0.000275	q=0.00128	1.148	[0.524, 1.772]	p=0.00244	q=0.00684
Holdout QE	iris	2.725	[0.7442, 4.705]	p=0.0125	q=0.025	2.032	[0.06363, 4.001]	p=0.0444	q=0.069
Holdout QE	digits	-0.2882	[-0.5927, 0.01621]	p=0.0609	q=0.106	-0.1447	[-0.4001, 0.1107]	p=0.232	q=0.295
Holdout QE	olivetti_faces	-1.322	[-1.723, -0.9199]	p=3.93e-05	q=0.000275	-1.713	[-2.152, -1.275]	p=9.96e-06	q=0.000111
Holdout QE	diabetes	0.003896	[-0.4209, 0.4287]	p=0.984	q=0.984	-0.273	[-0.901, 0.355]	p=0.351	q=0.41
Holdout QE	california_housing	-0.2211	[-0.3483, -0.09394]	p=0.00344	q=0.00964	-0.1404	[-0.247, -0.03388]	p=0.0154	q=0.036
Holdout QE	covertype	-0.3532	[-1.419, 0.7122]	p=0.472	q=0.509	-0.08568	[-0.8426, 0.6712]	p=0.804	q=0.828
Holdout QE	kddcup99	-5.871	[-6.673, -5.068]	p=4.8e-08	q=6.72e-07	-4.643	[-5.902, -3.383]	p=1.58e-05	q=0.000111
Holdout QE	OVERALL	-0.2504	[-0.5924, 0.09159]	p=0.15	q=NA	-0.3379	[-0.6291, -0.0468]	p=0.0232	q=NA
Train QE	blobs	-0.2851	[-0.5038, -0.06639]	p=0.0162	q=0.0455	-0.4429	[-0.6468, -0.2391]	p=0.00083	q=0.00244
Train QE	circles	-0.1236	[-0.2862, 0.03895]	p=0.119	q=0.279	-0.1656	[-0.2318, -0.09945]	p=0.000309	q=0.00144
Train QE	moons	-0.04045	[-0.1551, 0.07423]	p=0.445	q=0.558	-0.157	[-0.2696, -0.04434]	p=0.0117	q=0.0204
