dataset_index	dataset	metric	split	wins_floatsom	wins_xpysom	ties	win_rate_floatsom	median_delta_raw	median_pct_improvement	mean_pct_improvement	ci_low_pct	ci_high_pct	p_value	n_pairs	notes	effect_size_signed
8	blobs	quantization_error	train	0	10	0	0.0	0.004951000213623054	-3.652129363510714	-3.5611603095645905	-4.629129497099872	-2.6870440796301462	0.001953125	10	positive means FloatSOM is better	-1.0
5	breast_cancer	quantization_error	train	10	0	0	1.0	-0.1362174749374392	6.046053996281835	5.783865266480237	5.024396668992104	6.368202357954966	0.001953125	10	positive means FloatSOM is better	1.0
7	california_housing	quantization_error	train	10	0	0	1.0	-0.03395852446556091	4.219921000389512	4.319419830261118	3.761682097898369	4.919510200837773	0.001953125	10	positive means FloatSOM is better	1.0
9	circles	quantization_error	train	0	10	0	0.0	0.0029398277401924133	-1.7629273585495284	-2.187877171683314	-3.6550284262644954	-1.087250998175651	0.001953125	10	positive means FloatSOM is better	-1.0
14	covertype	quantization_error	train	10	0	0	1.0	-0.49376142024993896	15.383734370310426	15.347855855807698	13.934727590392967	16.924966857482293	0.001953125	10	positive means FloatSOM is better	1.0
4	diabetes	quantization_error	train	10	0	0	1.0	-0.09685230255126953	7.009051267279218	7.030562620717447	6.129485099868628	7.988154868887255	0.001953125	10	positive means FloatSOM is better	1.0
6	digits	quantization_error	train	10	0	0	1.0	-0.23146271705627441	5.303799171372088	5.398701405926185	5.088910870541589	5.805597210779819	0.001953125	10	positive means FloatSOM is better	1.0
1	iris	quantization_error	train	10	0	0	1.0	-0.05403430759906766	28.41743582612532	28.367056850274572	24.255078209873318	32.39128690204208	0.001953125	10	positive means FloatSOM is better	1.0
13	kddcup99	quantization_error	train	10	0	0	1.0	-0.09578129649162295	19.413313797679812	19.692994645299372	16.14324323171853	23.213320291800056	0.001953125	10	positive means FloatSOM is better	1.0
10	moons	quantization_error	train	1	9	0	0.1	0.005026519298553508	-3.7057604654113545	-3.3568090675002047	-5.52414585984365	-1.5750390431307053	0.009765625	10	positive means FloatSOM is better	-0.8
3	olivetti_faces	quantization_error	train	10	0	0	1.0	-2.940272331237793	8.45133355236947	8.54742971241082	7.177927271491457	9.624610887187872	0.001953125	10	positive means FloatSOM is better	1.0
11	s_curve	quantization_error	train	10	0	0	1.0	-0.011537775397300748	3.3826943945721153	3.4166313231067926	1.9059529322661084	5.193354773099163	0.001953125	10	positive means FloatSOM is better	1.0
12	swiss_roll	quantization_error	train	10	0	0	1.0	-0.01592656970024106	5.2709865096978215	5.098337891522653	3.8948364079132536	6.394901583306163	0.001953125	10	positive means FloatSOM is better	1.0
2	wine	quantization_error	train	10	0	0	1.0	-0.2440725862979889	20.099213545372574	20.181596569707523	18.267115053059797	22.187116798222988	0.001953125	10	positive means FloatSOM is better	1.0
	GLOBAL	quantization_error	train	111	29	0	0.7928571428571428	-0.1066250689327716	6.896069072359157	8.14847181591188	5.647381140826249	9.000303704363812	1.485070730883572e-17	140	pooled paired samples across datasets	0.5857142857142857
8	blobs	quantization_error	holdout	0	10	0	0.0	0.005562625825405107	-4.14220776156739	-3.9792705581584755	-5.203666255873413	-2.9583258334778098	0.001953125	10	positive means FloatSOM is better	-1.0
5	breast_cancer	quantization_error	holdout	2	8	0	0.2	0.016724228858947754	-0.6422772979113331	-0.47351940170482276	-1.2281935938359216	0.35131389500437804	0.130859375	10	positive means FloatSOM is better	-0.6
7	california_housing	quantization_error	holdout	10	0	0	1.0	-0.031274497509002686	3.8134966391395437	3.8367241699271046	3.1391421832163684	4.553121113649588	0.001953125	10	positive means FloatSOM is better	1.0
9	circles	quantization_error	holdout	0	10	0	0.0	0.004431247711181696	-2.5762116427308612	-3.1313984026266413	-4.979225278285435	-1.4918979943424433	0.001953125	10	positive means FloatSOM is better	-1.0
14	covertype	quantization_error	holdout	10	0	0	1.0	-0.49430370330810547	15.462567093355307	15.322519208875349	13.838120265936032	16.830669838206987	0.001953125	10	positive means FloatSOM is better	1.0
4	diabetes	quantization_error	holdout	4	6	0	0.4	0.0019044280052185059	-0.13759040944185996	0.05311104750696723	-1.2670812425845805	1.4709189172978057	1.0	10	positive means FloatSOM is better	-0.2
6	digits	quantization_error	holdout	10	0	0	1.0	-0.12004995346069336	2.591881650219654	2.7034455711093406	2.2908908734119158	3.256674625381136	0.001953125	10	positive means FloatSOM is better	1.0
1	iris	quantization_error	holdout	4	6	0	0.4	-0.0008723139762878418	0.12967991678791635	-0.4991102489208433	-4.916385719173444	4.956210320971963	1.0	10	positive means FloatSOM is better	-0.2
13	kddcup99	quantization_error	holdout	10	0	0	1.0	-0.09610326588153836	19.202947845901768	19.48014222588052	15.896773834583984	23.104090073149937	0.001953125	10	positive means FloatSOM is better	1.0
10	moons	quantization_error	holdout	1	9	0	0.1	0.004944846034050043	-3.6370538061818185	-3.4648209913651535	-5.281907093202914	-1.8559012437791003	0.005859375	10	positive means FloatSOM is better	-0.8
3	olivetti_faces	quantization_error	holdout	10	0	0	1.0	-0.8226871490478516	1.9150001149562792	1.8943572973638623	1.5500174857540923	2.254653335213057	0.001953125	10	positive means FloatSOM is better	1.0
11	s_curve	quantization_error	holdout	10	0	0	1.0	-0.01074428856372836	3.1294396475400914	3.24291689084237	1.9457505838808309	4.482445594456237	0.001953125	10	positive means FloatSOM is better	1.0
12	swiss_roll	quantization_error	holdout	10	0	0	1.0	-0.0156473517417908	5.141291699323272	5.129405580955255	3.9964549518266654	6.450114302060433	0.001953125	10	positive means FloatSOM is better	1.0
2	wine	quantization_error	holdout	7	3	0	0.7	-0.0027281641960146263	0.13374293260286385	-0.037789814009716996	-1.2203744400990157	0.9744848366749677	0.845703125	10	positive means FloatSOM is better	0.4
	GLOBAL	quantization_error	holdout	88	52	0	0.6285714285714286	-0.028840966522693634	1.7869375553518174	2.8626223268339364	0.8691367502965646	2.7426440250064936	6.334697142144793e-05	140	pooled paired samples across datasets	0.2571428571428571
8	blobs	balanced_qe	both	0	10	0	0.0	0.00519228912889954	-3.9100347854038686	-3.7702955433773466	-4.930023531724172	-2.741714263259859	0.001953125	10	positive means FloatSOM is better	-1.0
5	breast_cancer	balanced_qe	both	10	0	0	1.0	-0.05980277061462402	2.4588324701790745	2.4477972693201107	1.8439423957185797	2.987006695472914	0.001953125	10	positive means FloatSOM is better	1.0
7	california_housing	balanced_qe	both	10	0	0	1.0	-0.032174646854400635	3.9644281032935442	4.0770732540753	3.6417632592812903	4.732425293266172	0.001953125	10	positive means FloatSOM is better	1.0
9	circles	balanced_qe	both	0	10	0	0.0	0.0034718737006186884	-2.0638869674125857	-2.6605007831249763	-4.393118533680043	-1.3868858063313776	0.001953125	10	positive means FloatSOM is better	-1.0
14	covertype	balanced_qe	both	10	0	0	1.0	-0.49479800462722756	15.39753162679641	15.33517289849469	13.886366774041093	16.885361599813653	0.001953125	10	positive means FloatSOM is better	1.0
4	diabetes	balanced_qe	both	10	0	0	1.0	-0.04807335138320923	3.1656883886752207	3.1796156044042396	2.2103262014780354	4.171939908583173	0.001953125	10	positive means FloatSOM is better	1.0
6	digits	balanced_qe	both	10	0	0	1.0	-0.1786041259765625	3.9969974968001254	4.013899230920098	3.676169077114335	4.322765653426321	0.001953125	10	positive means FloatSOM is better	1.0
1	iris	balanced_qe	both	10	0	0	1.0	-0.0254285186529159	9.140680141108536	9.561607617093461	5.915631774506288	13.639677994949867	0.001953125	10	positive means FloatSOM is better	1.0
13	kddcup99	balanced_qe	both	10	0	0	1.0	-0.09594228118658063	19.306374142321907	19.585438264546525	16.018739205997207	23.15882577587918	0.001953125	10	positive means FloatSOM is better	1.0
10	moons	balanced_qe	both	1	9	0	0.1	0.004684545099735246	-3.4326213085709116	-3.4102262713171	-5.2683107423029725	-1.7162960722191138	0.005859375	10	positive means FloatSOM is better	-0.8
3	olivetti_faces	balanced_qe	both	10	0	0	1.0	-1.88645601272583	4.8443870853087265	4.868464473319921	4.365030823350969	5.434168329886468	0.001953125	10	positive means FloatSOM is better	1.0
11	s_curve	balanced_qe	both	10	0	0	1.0	-0.011185713112354306	3.2920239755387604	3.3299171238326166	1.8567009625490556	4.776987637060968	0.001953125	10	positive means FloatSOM is better	1.0
12	swiss_roll	balanced_qe	both	10	0	0	1.0	-0.015791095793247195	5.203335898719249	5.113795034803765	4.030604625950241	6.416107753840702	0.001953125	10	positive means FloatSOM is better	1.0
2	wine	balanced_qe	both	10	0	0	1.0	-0.12298384308815002	7.852224206606856	7.772492118472705	6.904437133957777	8.685950860446502	0.001953125	10	positive means FloatSOM is better	1.0
	GLOBAL	balanced_qe	both	111	29	0	0.7928571428571428	-0.0649648234248161	4.280658307020167	4.960303592247429	3.4977584234687926	5.2317284794543095	1.3525945876771298e-13	140	pooled paired samples across datasets	0.5857142857142857
8	blobs	train_time	train	0	10	0	0.0	0.1681226373184472	-730.1165057574601	-757.4246850616348	-864.8227108770047	-727.7904190843769	0.001953125	10	positive means FloatSOM is better	-1.0
5	breast_cancer	train_time	train	0	10	0	0.0	0.1729746626224369	-1011.2684173952698	-1004.572505019995	-1016.3641539025255	-976.4258704978429	0.001953125	10	positive means FloatSOM is better	-1.0
7	california_housing	train_time	train	0	10	0	0.0	0.17699719057418406	-972.0212792965839	-950.4553534692799	-1011.7249249649158	-888.6339239571089	0.001953125	10	positive means FloatSOM is better	-1.0
9	circles	train_time	train	0	10	0	0.0	0.16825143806636333	-728.9840232104457	-728.8822740573942	-733.0182292497934	-724.2826596627158	0.001953125	10	positive means FloatSOM is better	-1.0
14	covertype	train_time	train	0	10	0	0.0	0.13861525268293923	-37.498823290708074	-37.896846162056235	-42.35386520743059	-32.870013237241544	0.001953125	10	positive means FloatSOM is better	-1.0
4	diabetes	train_time	train	0	10	0	0.0	0.170832923380658	-1010.0585289066612	-1043.324034200978	-1183.0245316874884	-1002.8580802068127	0.001953125	10	positive means FloatSOM is better	-1.0
