dataset,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,6545,both,0.11160285398364064,5,0.1155355274677276,5,-0.003932673484086963,3.403865088325728,3.403865088325728,0.11160285398364064,3.523810855825815
blobs,13693,both,0.14584165811538696,5,0.15014866739511484,5,-0.00430700927972788,2.8684965071278485,2.8684965071278485,0.14584165811538696,2.953209210169746
blobs,15882,both,0.130307100713253,5,0.13542301207780832,5,-0.005115911364555331,3.7777267585925096,3.7777267585925096,0.130307100713253,3.9260418937668935
blobs,30080,both,0.1240478046238422,5,0.12749923020601264,5,-0.003451425582170445,2.7070168004886366,2.7070168004886366,0.1240478046238422,2.782335078509785
blobs,31569,both,0.13079983741044995,5,0.1331815123558044,5,-0.002381674945354434,1.7882924613377351,1.7882924613377351,0.13079983741044995,1.8208546680992705
breast_cancer,6545,both,2.279031991958618,5,2.809068202972412,5,-0.530036211013794,18.868755498814046,18.868755498814046,2.279031991958618,23.257076376460894
breast_cancer,13693,both,2.2494946122169495,5,2.781479954719544,5,-0.5319853425025944,19.125981533677255,19.125981533677255,2.2494946122169495,23.649104986222028
breast_cancer,15882,both,2.2518390417099,5,2.8036869764328003,5,-0.5518479347229004,19.682936767250318,19.682936767250318,2.2518390417099,24.5065444066492
breast_cancer,30080,both,2.3067516088485718,5,2.836879014968872,5,-0.5301274061203003,18.686993816904707,18.686993816904707,2.3067516088485718,22.981555711796663
breast_cancer,31569,both,2.2350003123283386,5,2.7870877981185913,5,-0.5520874857902527,19.808758309047043,19.808758309047043,2.2350003123283386,24.701897478265174
circles,6545,both,0.15317626297473905,5,0.15832614153623575,5,-0.005149878561496707,3.2527026248018966,3.2527026248018966,0.15317626297473905,3.362060453417639
circles,13693,both,0.15333585441112516,5,0.15801866352558136,5,-0.0046828091144562045,2.963453183299524,2.963453183299524,0.15333585441112516,3.0539557316455315
circles,15882,both,0.15360665321350095,5,0.15740219503641123,5,-0.003795541822910281,2.4113652430528516,2.4113652430528516,0.15360665321350095,2.470948844666762
circles,30080,both,0.1533936560153961,5,0.15692640841007224,5,-0.003532752394676153,2.2512159874611677,2.2512159874611677,0.1533936560153961,2.3030629078438363
circles,31569,both,0.15334036201238632,5,0.15802061557769775,5,-0.004680253565311432,2.9617993501678144,2.9617993501678144,0.15334036201238632,3.0521993713131947
digits,6545,both,4.026654958724976,5,4.90610408782959,5,-0.8794491291046143,17.925610899414764,17.925610899414764,4.026654958724976,21.840687571181622
digits,13693,both,4.055566787719727,5,4.902048349380493,5,-0.8464815616607666,17.267915396382055,17.267915396382055,4.055566787719727,20.872090288931165
