dataset,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,6545,both,0.1111605651676654,5,0.11466767638921735,5,-0.0035071112215519507,3.058500295800655,3.058500295800655,0.1111605651676654,3.154995853306534
blobs,13693,both,0.1457187533378601,5,0.15103617310523987,5,-0.005317419767379761,3.5206266539040674,3.5206266539040674,0.1457187533378601,3.649097762352465
blobs,15882,both,0.13054750114679337,5,0.13472138345241544,5,-0.004173882305622073,3.0981587322374238,3.0981587322374238,0.13054750114679337,3.1972134808836943
blobs,30080,both,0.1239881440997123,5,0.12833006680011744,5,-0.004341922700405135,3.383402509380726,3.383402509380726,0.1239881440997123,3.5018853874555327
blobs,31569,both,0.130362831056118,5,0.13468676060438156,5,-0.00432392954826355,3.2103597479520087,3.2103597479520087,0.130362831056118,3.3168423186530855
breast_cancer,6545,both,2.303733468055725,5,2.993192195892334,5,-0.6894587278366089,23.034228432867696,23.034228432867696,2.303733468055725,29.927886076963983
breast_cancer,13693,both,2.2631604075431824,5,2.9226590394973755,5,-0.6594986319541931,22.56502120300733,22.56502120300733,2.2631604075431824,29.14060487078442
breast_cancer,15882,both,2.269862651824951,5,2.9772777557373047,5,-0.7074151039123535,23.76046717674033,23.76046717674033,2.269862651824951,31.165546661759358
breast_cancer,30080,both,2.317085862159729,5,2.9838454723358154,5,-0.6667596101760864,22.34564813619967,22.34564813619967,2.317085862159729,28.775783455629366
breast_cancer,31569,both,2.250485062599182,5,2.9410935640335083,5,-0.6906085014343262,23.481350946455574,23.481350946455574,2.250485062599182,30.68709554715785
circles,6545,both,0.153415098786354,5,0.15809577703475947,5,-0.0046806782484054565,2.960659883645309,2.960659883645309,0.153415098786354,3.0509892999018127
circles,13693,both,0.15377548336982721,5,0.15908791124820704,5,-0.005312427878379822,3.3393033051338743,3.3393033051338743,0.15377548336982721,3.4546650493066764
circles,15882,both,0.1537801101803779,5,0.15918126702308655,5,-0.005401156842708643,3.3930857215285872,3.3930857215285872,0.1537801101803779,3.5122597040497
circles,30080,both,0.15343763679265976,5,0.15876183658838272,5,-0.005324199795722961,3.353576596324507,3.353576596324507,0.15343763679265976,3.4699438201837998
circles,31569,both,0.15322002768516535,5,0.15912198275327674,5,-0.005901955068111392,3.7090758712217307,3.7090758712217307,0.15322002768516535,3.8519475275377557
digits,6545,both,4.00213634967804,5,4.890899419784546,5,-0.8887630701065055,18.171771566417885,18.171771566417885,4.00213634967804,22.207216157890368
digits,13693,both,4.052868962287903,5,4.891204833984375,5,-0.8383358716964722,17.139659861956012,17.139659861956012,4.052868962287903,20.684998195037117
digits,15882,both,4.021457552909851,5,4.867969274520874,5,-0.846511721611023,17.389422033571485,17.389422033571485,4.021457552909851,21.049873347500657
digits,30080,both,4.046238422393799,5,4.857972860336304,5,-0.8117344379425049,16.709324265066208,16.709324265066208,4.046238422393799,20.06145840170916
digits,31569,both,4.137201905250549,5,4.872492074966431,5,-0.7352901697158813,15.090638597312592,15.090638597312592,4.137201905250549,17.77264408543175
iris,6545,both,0.20039656758308405,5,0.7269376218318939,5,-0.5265410542488098,72.43276980518883,72.43276980518883,0.20039656758308405,262.74953737942985
iris,13693,both,0.2178047858178615,5,0.7573840320110321,5,-0.5395792461931705,71.24249038634485,71.24249038634485,0.2178047858178615,247.73525713268384
iris,15882,both,0.2015044204890728,5,0.7448557019233704,5,-0.5433512814342976,72.94718695597724,72.94718695597724,0.2015044204890728,269.6473259075537
iris,30080,both,0.2081109583377838,5,0.7259784936904907,5,-0.5178675353527069,71.33372955996839,71.33372955996839,0.2081109583377838,248.84203094781716
iris,31569,both,0.21488788723945615,5,0.6749668419361115,5,-0.4600789546966553,68.1631935247278,68.1631935247278,0.21488788723945615,214.10185590590092
moons,6545,both,0.1296693608164787,5,0.1346267759799957,5,-0.004957415163516998,3.6823396589795956,3.6823396589795956,0.1296693608164787,3.8231199200042623
moons,13693,both,0.1293648481369018,5,0.13407731056213373,5,-0.004712462425231934,3.5147351967864076,3.5147351967864076,0.1293648481369018,3.6427688766309356
moons,15882,both,0.1298161372542381,5,0.1344903707504272,5,-0.00467423349618909,3.475515362258188,3.475515362258188,0.1298161372542381,3.6006567404134424
moons,30080,both,0.1295254155993461,5,0.13462152332067484,5,-0.005096107721328735,3.785507395566729,3.785507395566729,0.1295254155993461,3.9344461453744697
moons,31569,both,0.12940493226051325,5,0.1346316561102867,5,-0.0052267238497734625,3.882239883829304,3.882239883829304,0.12940493226051325,4.039045311851958
olivetti_faces,6545,both,34.104430198669434,5,50.2898006439209,5,-16.185370445251465,32.184200847906865,32.184200847906865,34.104430198669434,47.45826378264173
olivetti_faces,13693,both,33.381967544555664,5,50.613027572631836,5,-17.231060028076172,34.0447130995056,34.0447130995056,33.381967544555664,51.61786825500171
olivetti_faces,15882,both,33.15379619598389,5,49.9263973236084,5,-16.77260112762451,33.59465538622662,33.59465538622662,33.15379619598389,50.590288449852615
olivetti_faces,30080,both,33.687283515930176,5,50.53128433227539,5,-16.844000816345215,33.3338070443355,33.3338070443355,33.687283515930176,50.0010658573285
olivetti_faces,31569,both,33.9254093170166,5,51.53737449645996,5,-17.61196517944336,34.17319052729996,34.17319052729996,33.9254093170166,51.913788319745926
