dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,10,9,1,0,0.9,-0.00018717236816883227,0.15358511905643696,0.15358511905643696,-0.0016520694445314177,0.30882230755740536,0.05200584497768049,0.8,0.060673485807293905,full_vs_random,Full vs Random
breast_cancer,10,10,0,0,1.0,-0.34153112769126903,15.144967850464159,15.144967850464159,13.284386707466863,17.005548993461453,1.8794725307373446e-08,1.0,6.578153857580706e-08,full_vs_random,Full vs Random
california_housing,10,10,0,0,1.0,-0.007958516478538513,1.0968233095211717,1.0968233095211717,0.8469910364350968,1.3466555826072466,3.7891026600820125e-06,1.0,1.0609487448229636e-05,full_vs_random,Full vs Random
circles,10,9,1,0,0.9,-0.0004083104431629042,0.26608432777388985,0.26608432777388985,0.10889704745790943,0.4232716080898703,0.004031756501546816,0.8,0.005644459102165543,full_vs_random,Full vs Random
covertype,10,2,8,0,0.2,0.02243616580963126,-1.0333527421743212,-1.0333527421743212,-2.3227826700629297,0.2560771857142874,0.1032593587080683,-0.6,0.11120238630099662,full_vs_random,Full vs Random
diabetes,10,10,0,0,1.0,-0.24380251765251154,17.818222472822278,17.818222472822278,15.851374849507462,19.785070096137094,7.3222878914320286e-09,1.0,3.41706768266828e-08,full_vs_random,Full vs Random
digits,10,10,0,0,1.0,-0.3121229052543642,7.663973764061311,7.663973764061311,7.288267777354715,8.039679750767906,5.274961531993438e-12,1.0,7.384946144790813e-11,full_vs_random,Full vs Random
iris,10,10,0,0,1.0,-0.12027009986341,59.87147420511468,59.87147420511468,40.29757995982182,79.44536845040754,6.916199683892461e-05,1.0,0.00013832399367784922,full_vs_random,Full vs Random
kddcup99,10,9,1,0,0.9,-0.0030144885182380897,1.0835701160349207,1.0835701160349207,0.5151816848396514,1.65195854723019,0.0019543635347605824,0.8,0.003040121054072017,full_vs_random,Full vs Random
moons,10,9,1,0,0.9,-0.0002551943063735684,0.19705232409151105,0.19705232409151105,0.051397892830150615,0.3427067553528715,0.013562469565223383,0.8,0.017261324901193396,full_vs_random,Full vs Random
olivetti_faces,10,10,0,0,1.0,-8.628314304351807,25.875476867717786,25.875476867717786,23.192789474652855,28.558164260782718,4.207497707908087e-09,1.0,2.9452483955356612e-08,full_vs_random,Full vs Random
s_curve,10,10,0,0,1.0,-0.0007118165493011419,0.23540807406584263,0.23540807406584263,0.14474564767914333,0.32607050045254193,0.00023665330097285113,1.0,0.0004141432767024895,full_vs_random,Full vs Random
swiss_roll,10,7,3,0,0.7,-0.00019768327474595226,0.0829549663632555,0.0829549663632555,-0.17492982368027493,0.34083975640678593,0.4853094007679747,0.4,0.4853094007679747,full_vs_random,Full vs Random
wine,10,10,0,0,1.0,-0.4759942427277565,39.10132083699723,39.10132083699723,28.47875836910604,49.723883304888425,1.605074123847094e-05,1.0,3.745172955643219e-05,full_vs_random,Full vs Random
GLOBAL_OVERALL,140,125,15,0,0.8928571428571429,-0.7223094438335725,11.968397249422154,11.968397249422154,8.70887536268462,15.227919136159688,2.5043425845996876e-11,0.7857142857142857,,full_vs_random,Full vs Random
