dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0038377389311790105,3.001250341274302,3.001250341274302,2.0056179985973586,3.9968826839512452,0.00111464962040471,1.0,0.0011821673676398734,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.5392168760299684,23.819235791878793,23.819235791878793,22.878074056388453,24.760397527369133,2.4578449054161304e-07,1.0,1.2289224527080653e-06,full_vs_hdsssom,Full vs HDSSOM
circles,5,5,0,0,1.0,-0.004368247091770155,2.8484454617773927,2.8484454617773927,2.2975130059189715,3.399377917635814,0.00013684694550768697,1.0,0.0002280782425128116,full_vs_hdsssom,Full vs HDSSOM
digits,5,5,0,0,1.0,-0.8027245759963989,19.73880278401182,19.73880278401182,17.47588553294036,22.00172003508328,1.7245111390850518e-05,1.0,4.31127784771263e-05,full_vs_hdsssom,Full vs HDSSOM
iris,5,5,0,0,1.0,-0.43726188838481905,209.70493199825924,209.70493199825924,153.03238461135044,266.37747938516804,0.00050618150261233,1.0,0.0006327268782654124,full_vs_hdsssom,Full vs HDSSOM
moons,5,5,0,0,1.0,-0.003282918035984017,2.5303111916445253,2.5303111916445253,1.6778742884940603,3.3827480947949904,0.0011821673676398734,1.0,0.0011821673676398734,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-14.959125328063966,43.62370965835464,43.62370965835464,42.1496140911545,45.09780522555479,1.3151591960091082e-07,1.0,1.2289224527080653e-06,full_vs_hdsssom,Full vs HDSSOM
s_curve,5,5,0,0,1.0,-0.011334514617919933,3.743117116382565,3.743117116382565,3.4749107163628845,4.011323516402245,2.6497925557259833e-06,1.0,8.832641852419944e-06,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.011329001188278204,4.721383607624064,4.721383607624064,3.566658004895139,5.87610921035299,0.000343315963323662,1.0,0.0004904513761766601,full_vs_hdsssom,Full vs HDSSOM
wine,5,5,0,0,1.0,-0.9600683927536011,73.09939985549502,73.09939985549502,60.56227533289067,85.63652437809938,8.518505639732457e-05,1.0,0.00017037011279464915,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_OVERALL,50,50,0,0,1.0,-1.7732549481093884,38.68305878067023,38.68305878067023,20.7479142431088,56.618203318231664,7.246497427397602e-05,1.0,,full_vs_hdsssom,Full vs HDSSOM
