dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0007323898375034305,0.564563349762704,0.564563349762704,0.3966781044680401,0.7324485950573678,0.0007326386987987883,1.0,0.0036631934939939416,full_vs_random,Full vs Random
breast_cancer,5,3,2,0,0.6,-0.006219935417175293,0.2781644583790096,0.2781644583790096,-0.22914903731670955,0.7854779540747288,0.2025805320377404,0.2,0.30333092611288903,full_vs_random,Full vs Random
circles,5,5,0,0,1.0,-0.000685144960880274,0.4467397689872901,0.4467397689872901,0.37355601323010185,0.5199235247444783,7.105954772654032e-05,1.0,0.0007105954772654033,full_vs_random,Full vs Random
digits,5,1,4,0,0.2,0.012884020805358887,-0.31690203541065554,-0.31690203541065554,-0.9103769979538374,0.27657292713252635,0.21233164827902232,-0.6,0.30333092611288903,full_vs_random,Full vs Random
iris,5,3,2,0,0.6,0.0002885684370994623,-0.11168102278477607,-0.11168102278477607,-1.539753873549761,1.316391827980209,0.8387330616247917,0.2,0.9319256240275463,full_vs_random,Full vs Random
moons,5,5,0,0,1.0,-0.0004586428403854481,0.35341607657025476,0.35341607657025476,0.13253467488680717,0.5742974782537024,0.011313070911022993,1.0,0.028282677277557483,full_vs_random,Full vs Random
olivetti_faces,5,5,0,0,1.0,-0.2747518539428711,0.8038736633462641,0.8038736633462641,0.23328945330435746,1.3744578733881707,0.017369992547948264,1.0,0.03473998509589653,full_vs_random,Full vs Random
s_curve,5,5,0,0,1.0,-0.0012563198804855457,0.4146901651521551,0.4146901651521551,0.17871637784049582,0.6506639524638145,0.00816528815521826,1.0,0.02721762718406087,full_vs_random,Full vs Random
swiss_roll,5,4,1,0,0.8,-0.0008240997791290172,0.34626876663024164,0.34626876663024164,-0.5245701618824284,1.2171076951429116,0.33154188016505975,0.6,0.4144273502063247,full_vs_random,Full vs Random
wine,5,2,3,0,0.4,-6.374716758719145e-05,0.02808505044352281,0.02808505044352281,-1.482011536390915,1.5381816372779606,0.9612938752956581,-0.2,0.961293875295658,full_vs_random,Full vs Random
GLOBAL_OVERALL,50,38,12,0,0.76,-0.02718195445835589,0.28072182410760105,0.28072182410760105,0.09519902165071875,0.46624462656448334,0.0037825046725494657,0.52,,full_vs_random,Full vs Random
