dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.00310534909367558,2.423126770776685,2.423126770776685,1.4234309253993152,3.422822616154055,0.002539753762998874,1.0,0.002821948625554305,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.532996940612793,23.475051846740804,23.475051846740804,23.089424583334544,23.860679110147064,7.350861168713061e-09,1.0,7.350861168713062e-08,random_vs_hdsssom,Random vs HDSSOM
circles,5,5,0,0,1.0,-0.0036831021308898816,2.3909876991245995,2.3909876991245995,1.860874427467039,2.92110097078216,0.00023394802853982628,1.0,0.00038991338089971046,random_vs_hdsssom,Random vs HDSSOM
digits,5,5,0,0,1.0,-0.8156085968017578,20.120564463509318,20.120564463509318,17.85081869781108,22.390310229207557,1.617255321808184e-05,1.0,4.04313830452046e-05,random_vs_hdsssom,Random vs HDSSOM
iris,5,5,0,0,1.0,-0.4375504568219185,209.69363442655762,209.69363442655762,156.9202823059648,262.46698654715044,0.00038378723223539315,1.0,0.0005482674746219902,random_vs_hdsssom,Random vs HDSSOM
moons,5,5,0,0,1.0,-0.002824275195598569,2.1701267519857566,2.1701267519857566,1.1582841552149452,3.181969348756568,0.003991779845369102,1.0,0.003991779845369102,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-14.684373474121093,42.47927803546599,42.47927803546599,41.0713903836461,43.88716568728588,1.2171550931868677e-07,1.0,6.085775465934339e-07,random_vs_hdsssom,Random vs HDSSOM
s_curve,5,5,0,0,1.0,-0.010078194737434387,3.314871388951017,3.314871388951017,3.018034293556926,3.6117084843451077,6.447555536689435e-06,1.0,2.1491851788964786e-05,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.010504901409149187,4.365718111989513,4.365718111989513,2.691832535000053,6.039603688978973,0.0019301156173085878,1.0,0.002412644521635735,random_vs_hdsssom,Random vs HDSSOM
wine,5,5,0,0,1.0,-0.9600046455860138,73.00911919575262,73.00911919575262,61.91782389525623,84.10041449624902,5.2722591722507724e-05,1.0,0.00010544518344501545,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_OVERALL,50,50,0,0,1.0,-1.7460729936510324,38.34424786908539,38.34424786908539,20.43410684342438,56.254388894746405,8.046534443427855e-05,1.0,,random_vs_hdsssom,Random vs HDSSOM
