dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0038335025310516913,2.9540534564915744,2.944522276391995,1.9703357712459661,3.612796443230637,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
breast_cancer,5,5,0,0,1.0,-0.542998731136322,23.848774591477483,23.757411593558665,22.99502310346071,24.243394762143478,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
circles,5,5,0,0,1.0,-0.004321046173572596,2.793394979233371,2.74046178986257,2.1239215672588343,3.173217121541515,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
digits,5,5,0,0,1.0,-0.8273680210113525,19.994921828949455,19.998764409328217,17.71217779240953,22.27766586548938,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
iris,5,5,0,0,1.0,-0.4491622783243656,209.06819486049199,209.45212712587045,164.72726700553287,253.26230878277772,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
moons,5,5,0,0,1.0,-0.003532446920871679,2.7189765774387213,2.661631683600326,1.5103351346654121,3.55491558303592,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
olivetti_faces,5,5,0,0,1.0,-14.639552116394043,42.15779927175416,42.225830257432456,40.544210348586276,43.77138819492205,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
s_curve,5,5,0,0,1.0,-0.010814785957336426,3.609378940705523,3.621941074748291,2.8867409867347225,4.332016894676324,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
swiss_roll,5,5,0,0,1.0,-0.012001290917396601,4.973493345097667,4.771121886945565,3.568890285929619,6.378096404265716,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
wine,5,5,0,0,1.0,-0.9069785475730896,73.11978396696291,72.56458133002586,63.072775027863784,85.30153355307056,0.0625,1.0,0.0625,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_SYNTHETIC,5,5,0,0,1.0,-0.006900614500045798,3.4098594597933714,3.4098594597933714,2.240144475423823,4.57957444416292,0.0625,1.0,,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_REAL,5,5,0,0,1.0,-3.4732119388878346,73.6378949039272,73.6378949039272,-23.91209209760892,171.1878819054633,0.0625,1.0,,full_vs_hdsssom,Full vs HDSSOM
GLOBAL_OVERALL,10,10,0,0,1.0,-1.7400562766939403,38.523877181860286,38.523877181860286,-7.3573748213514065,84.40512918507198,0.001953125,1.0,,full_vs_hdsssom,Full vs HDSSOM
