dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.000649228692054804,0.49534109433430307,0.4741545923903601,0.2101843643566803,0.6727099007736193,0.0625,1.0,0.20833333333333334,full_vs_random,Full vs Random
breast_cancer,5,2,3,0,0.4,0.003319978713989258,0.03205470690203209,0.031334963310257716,-0.25522889396818627,0.49196363942304694,1.0,-0.2,1.0,full_vs_random,Full vs Random
circles,5,5,0,0,1.0,-0.000805504620075087,0.4300010059520199,0.43206336124871775,0.08944516514058984,0.7705568467634499,0.0625,1.0,0.20833333333333334,full_vs_random,Full vs Random
digits,5,2,3,0,0.4,0.001623392105102539,-0.011394676429978942,0.14192461265118622,-0.3526102891230403,1.125065316599393,0.8125,-0.2,1.0,full_vs_random,Full vs Random
iris,5,3,2,0,0.6,-0.0002813301980496008,0.1409287968912676,0.10024689322142608,-1.953998536455364,1.6382619867229478,1.0,0.2,1.0,full_vs_random,Full vs Random
moons,5,5,0,0,1.0,-0.0006860569119453985,0.49378316550571166,0.49750682699361076,0.24559374991579125,0.7265060141142724,0.0625,1.0,0.20833333333333334,full_vs_random,Full vs Random
olivetti_faces,5,1,4,0,0.2,0.18264484405517578,-0.90568075907746,-0.8323263578364267,-2.612157534175493,0.8007960160205728,0.3125,-0.6,0.625,full_vs_random,Full vs Random
s_curve,5,4,1,0,0.8,-0.0011680424213408869,0.3209275311174201,0.3268589897060554,-0.002771806673874058,0.6446268689087143,0.125,0.6,0.3125,full_vs_random,Full vs Random
swiss_roll,5,4,1,0,0.8,-0.0004981681704521179,0.20796878480700368,0.3097288056984761,-0.3217390713505879,1.2810525763658547,0.4375,0.6,0.625,full_vs_random,Full vs Random
wine,5,2,3,0,0.4,0.012515246868133545,-0.9247929592570895,-0.578607893380141,-1.9305486821177646,1.8234522924396492,0.4375,-0.2,0.625,full_vs_random,Full vs Random
GLOBAL_SYNTHETIC,5,5,0,0,1.0,-0.0007614001631736589,0.38960431634329173,0.38960431634329173,0.2358015884961241,0.5434070441904594,0.0625,1.0,,full_vs_random,Full vs Random
GLOBAL_REAL,5,2,3,0,0.4,0.0399644263088703,-0.33377697819424573,-0.33377697819424573,-0.9964937109651935,0.32893975457670205,0.625,-0.2,,full_vs_random,Full vs Random
GLOBAL_OVERALL,10,7,3,0,0.7,0.019601513072848322,0.027913669074522963,0.027913669074522963,-0.34979486530672743,0.4056222034557734,0.4921875,0.4,,full_vs_random,Full vs Random
