dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,10,10,0,0,1.0,-0.003355691209435449,2.4547288275287857,2.44080017406613,1.9118626004173311,2.983082717479639,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,10,10,0,0,1.0,-0.5330516993999483,23.534565856514572,23.59752444092492,23.211160390527464,23.99138910292979,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
circles,10,10,0,0,1.0,-0.0035776831209659438,2.3289201853811443,2.3447405408120625,2.0484497067648,2.625182083206093,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
digits,10,10,0,0,1.0,-0.8228612542152405,20.085530580326456,19.973410893166335,18.9002524756547,20.96764661650043,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
iris,10,10,0,0,1.0,-0.4495590850710869,209.8882036080248,209.62113917920973,169.69211914898995,252.15730496792713,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
moons,10,10,0,0,1.0,-0.0031515471637248438,2.1939984753960804,2.1620860847685672,1.6723187397716983,2.7291698445593884,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,10,10,0,0,1.0,-14.789663791656498,43.078779117192255,42.952897459300495,42.18163963574258,43.895533218447945,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
s_curve,10,10,0,0,1.0,-0.009935557842254666,3.2712671375639517,3.2995144140523878,3.093510364225172,3.5333556485084516,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,10,10,0,0,1.0,-0.00968857482075694,4.413369067830439,4.407758583057108,3.4909021927400667,5.4189014887829305,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
wine,10,10,0,0,1.0,-0.9304233938455584,73.60493592664713,73.27676177663203,66.84451772220768,80.54329242539515,0.001953125,1.0,0.001953125,random_vs_hdsssom,Random vs HDSSOM
GLOBAL,10,10,0,0,1.0,-1.7555268278345468,22.636388796294167,38.485429878240566,2.8629979825463687,106.10856189670298,0.001953125,1.0,,random_vs_hdsssom,Random vs HDSSOM
