dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0005454197525979199,0.43063024106053394,0.5194115775395982,0.2135348457217658,1.1036067945754373,0.0625,1.0,0.10416666666666667,full_vs_random,Full vs Random
breast_cancer,5,1,4,0,0.2,0.004136800765991655,-0.18187536181351527,-0.22174691083890402,-0.6360016296854148,0.0506608923422477,0.125,-0.6,0.17857142857142858,full_vs_random,Full vs Random
circles,5,5,0,0,1.0,-0.0009096711874008179,0.5918043430685331,0.5642742528066282,0.29135330849228114,0.7510593944115243,0.0625,1.0,0.10416666666666667,full_vs_random,Full vs Random
digits,5,1,4,0,0.2,0.003986358642578125,-0.09857757046615989,-0.09368121544750808,-0.2525810508164731,0.08525539187135674,0.1875,-0.6,0.234375,full_vs_random,Full vs Random
iris,5,5,0,0,1.0,-0.003284152597188894,3.6698471960015486,3.3949470543965448,0.04314786152831628,7.296546530474781,0.0625,1.0,0.10416666666666667,full_vs_random,Full vs Random
moons,5,5,0,0,1.0,-0.0007389783859253207,0.5631742708836274,0.5603030476773185,0.36974040912678396,0.7566081326404709,0.0625,1.0,0.10416666666666667,full_vs_random,Full vs Random
olivetti_faces,5,2,3,0,0.4,0.046973228454589844,-0.34488486628396514,-0.3456706350722852,-1.0191870806011392,0.11901219705701635,0.3125,-0.2,0.3472222222222222,full_vs_random,Full vs Random
s_curve,5,5,0,0,1.0,-0.0016711950302124023,0.5545820392698398,0.5499650221756929,0.3757284516089078,0.7583276810546439,0.0625,1.0,0.10416666666666667,full_vs_random,Full vs Random
swiss_roll,5,5,0,0,1.0,-0.0007524415850639066,0.39777216930769443,0.38659208917833626,0.2802415777817572,0.5434810290203614,0.0625,1.0,0.10416666666666667,full_vs_random,Full vs Random
wine,5,2,3,0,0.4,0.005503058433532493,0.32047712118248023,0.32174830426153356,-0.9600433593466283,2.3677403597385926,0.8125,-0.2,0.8125,full_vs_random,Full vs Random
GLOBAL_SYNTHETIC,5,5,0,0,1.0,-0.0009235411882400734,0.5075926127180457,0.5075926127180457,0.39939550718188555,0.6157897182542058,0.0625,1.0,,full_vs_random,Full vs Random
GLOBAL_REAL,5,2,3,0,0.4,0.011463058739900644,0.6729973037240777,0.6729973037240777,-1.4293784586040605,2.7753730660522162,1.0,-0.2,,full_vs_random,Full vs Random
GLOBAL_OVERALL,10,7,3,0,0.7,0.005269758775830286,0.5902949582210618,0.5902949582210618,-0.22066615496135666,1.4012560714034803,0.037109375,0.4,,full_vs_random,Full vs Random
