dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,10,10,0,0,1.0,-0.0005800276994706033,0.4614519969049692,0.4985466804715949,0.3341245830619479,0.6800393772905734,0.001953125,1.0,0.0048828125,full_vs_random,Full vs Random
breast_cancer,10,3,7,0,0.3,0.004712581634521484,-0.21529737319355632,-0.3334685815787439,-0.8937591999998139,0.00304953205272869,0.064453125,-0.4,0.107421875,full_vs_random,Full vs Random
circles,10,9,1,0,0.9,-0.0006547830998897414,0.3725346843872975,0.3697091541856888,0.1437211163554342,0.5918043430685331,0.009765625,0.8,0.01953125,full_vs_random,Full vs Random
digits,10,4,6,0,0.4,0.001873612403870073,0.007727969353556088,0.021935881765751564,-0.11785645258165972,0.18057185528183062,1.0,-0.2,1.0,full_vs_random,Full vs Random
iris,10,6,4,0,0.6,-0.001165907829999896,0.7978443721174465,1.243211760310111,-2.4139532570716313,4.257873012935814,0.4921875,0.2,0.703125,full_vs_random,Full vs Random
moons,10,10,0,0,1.0,-0.0006586499512195448,0.5143899010362224,0.5233845278950442,0.3853189864434344,0.6638846537506233,0.001953125,1.0,0.0048828125,full_vs_random,Full vs Random
olivetti_faces,10,6,4,0,0.6,-0.023427963256835938,-0.09973260716645105,-0.1924475658182257,-0.6353900197249062,0.25578058855851377,0.76953125,0.2,0.9396701388888888,full_vs_random,Full vs Random
s_curve,10,10,0,0,1.0,-0.0015812814235687256,0.5305934694725363,0.5328229276945999,0.43170347752567234,0.6386185643520327,0.001953125,1.0,0.0048828125,full_vs_random,Full vs Random
swiss_roll,10,10,0,0,1.0,-0.0007832311093807082,0.3530220211535783,0.4043886879265832,0.2902797216191983,0.5846171987473832,0.001953125,1.0,0.0048828125,full_vs_random,Full vs Random
wine,10,4,6,0,0.4,0.005668133497238048,-0.0901925646811052,-0.12092961124479595,-0.9600433593466283,0.9525643647704355,0.845703125,-0.2,0.9396701388888888,full_vs_random,Full vs Random
GLOBAL,10,7,3,0,0.7,-0.0016597516834735552,0.23458998312926263,0.26323418693844935,-0.04123229766377456,0.5143899010362224,0.064453125,0.4,,full_vs_random,Full vs Random
