dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,4,1,0,0.8,-0.0033943876624107083,2.2731898077358443,2.073725580376049,-1.5910368293962227,5.105725667608856,0.1875,0.6,0.46875,full_vs_random,Full vs Random
breast_cancer,5,2,3,0,0.4,0.011718869209289995,-0.48813773900837865,-0.6463570939822476,-2.791340523210145,0.8991757329055647,0.625,-0.2,0.8928571428571429,full_vs_random,Full vs Random
circles,5,4,1,0,0.8,-0.0035852342844009955,2.761793673707118,3.0413582850510914,-1.2765891483405294,6.800176495754766,0.125,0.6,0.4166666666666667,full_vs_random,Full vs Random
digits,5,2,3,0,0.4,0.015457510948181152,0.04908573396288815,0.240327344253,-1.4243248073305035,2.902331004875007,1.0,-0.2,1.0,full_vs_random,Full vs Random
iris,5,3,2,0,0.6,-0.0006225630640983026,1.3191347250223533,1.1434918190408656,-8.593960178183618,11.232229628228325,0.8125,0.2,0.9027777777777778,full_vs_random,Full vs Random
moons,5,4,1,0,0.8,-0.0018848776817321777,2.176219770302323,2.0274626825019713,-0.7826565491915839,5.13509608979623,0.125,0.6,0.4166666666666667,full_vs_random,Full vs Random
olivetti_faces,5,2,3,0,0.4,0.3716316223144531,-0.21038981055383543,-0.354483554107269,-2.1559788961232784,1.851234119544479,0.8125,-0.2,0.9027777777777778,full_vs_random,Full vs Random
s_curve,5,5,0,0,1.0,-0.0018425136804580688,1.7011945949143303,2.0808374080256056,0.1198135723467377,6.284544693281107,0.0625,1.0,0.4166666666666667,full_vs_random,Full vs Random
swiss_roll,5,1,4,0,0.2,0.008826211094856207,-3.395441044699566,-2.230704098096749,-5.69613085155578,5.168211078673937,0.3125,-0.6,0.625,full_vs_random,Full vs Random
wine,5,3,2,0,0.6,-0.009990245103835838,0.10643975700321684,0.20519121614080488,-1.3628795527783393,1.575759066784773,0.625,0.2,0.8928571428571429,full_vs_random,Full vs Random
GLOBAL,10,7,3,0,0.7,0.03863143920898444,0.8751401644386092,0.6293089468386293,-0.5611256184818609,1.9871922013250873,0.322265625,0.4,,full_vs_random,Full vs Random
