dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,full_batch,6545,all,0.1116028539836406,5,0.1120633967220783,5,-0.0004605427384376942,0.41096624938101656,0.41096624938101656,0.1116028539836406,0.41266215154784774
blobs,full_batch,13693,all,0.1458416581153869,5,0.1468181982636451,5,-0.0009765401482581815,0.665135630192508,0.665135630192508,0.1458416581153869,0.6695893072509934
blobs,full_batch,15882,all,0.130307100713253,5,0.1310422718524932,5,-0.0007351711392402094,0.561018310234845,0.561018310234845,0.130307100713253,0.5641834828771063
blobs,full_batch,30080,all,0.1240478046238422,5,0.1249482184648513,5,-0.0009004138410090984,0.7206295952610083,0.7206295952610083,0.1240478046238422,0.7258603598342419
blobs,full_batch,31569,all,0.1307998374104499,5,0.1313891187310218,5,-0.0005892813205718994,0.4485008547612447,0.4485008547612447,0.1307998374104499,0.4505214473032826
blobs,minibatch,6545,all,0.1115518696606158,5,0.1122010983526706,5,-0.000649228692054804,0.5786295335667283,0.5786295335667283,0.1115518696606158,0.5819971409085392
blobs,minibatch,13693,all,0.146003633737564,5,0.1467295587062835,5,-0.0007259249687195102,0.4947366945828777,0.4947366945828777,0.146003633737564,0.49719650815289484
blobs,minibatch,15882,all,0.1304436028003692,5,0.1313211098313331,5,-0.0008775070309638977,0.6682147539652649,0.6682147539652649,0.1304436028003692,0.6727099007736193
blobs,minibatch,30080,all,0.1240426078438758,5,0.1243033260107039,5,-0.0002607181668281,0.20974351628020738,0.20974351628020738,0.1240426078438758,0.2101843643566803
blobs,minibatch,31569,all,0.130633309483528,5,0.1311671882867813,5,-0.0005338788032533126,0.4070216112935582,0.4070216112935582,0.130633309483528,0.40868504776006703
breast_cancer,full_batch,6545,all,2.279031991958618,5,2.275996446609497,5,0.0030355453491210938,-0.13319450362398477,-0.13337214799447866,2.279031991958618,-0.13319450362398477
breast_cancer,full_batch,13693,all,2.249494612216949,5,2.2546910643577576,5,-0.0051964521408085496,0.23047291147573445,0.23047291147573445,2.249494612216949,0.23100531615353723
breast_cancer,full_batch,15882,all,2.2518390417099,5,2.2631585597991943,5,-0.011319518089294434,0.5001646058020253,0.5001646058020253,2.2518390417099,0.5026788273774279
breast_cancer,full_batch,30080,all,2.306751608848572,5,2.3053150177001958,5,0.0014365911483764648,-0.06227766972680458,-0.06231647897776772,2.306751608848572,-0.06227766972680458
breast_cancer,full_batch,31569,all,2.235000312328338,5,2.25405615568161,5,-0.01905584335327193,0.8454023341538969,0.8454023341538969,2.235000312328338,0.8526103217149118
