dataset,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,6545,both,0.1111605651676654,5,0.11161829903721805,5,-0.00045773386955265394,0.4100885549241589,0.4100885549241589,0.1111605651676654,0.4117772061182363
blobs,13693,both,0.1457187533378601,5,0.14670456945896143,5,-0.0009858161211013239,0.6719736983905551,0.6719736983905551,0.1457187533378601,0.676519733061148
blobs,15882,both,0.13054750114679337,5,0.1311621367931366,5,-0.0006146356463432312,0.46860752757681023,0.46860752757681023,0.13054750114679337,0.47081379646792915
blobs,30080,both,0.1239881440997123,5,0.12461335211992261,5,-0.0006252080202103077,0.501718322775423,0.501718322775423,0.1239881440997123,0.5042482285302297
blobs,31569,both,0.130362831056118,5,0.13078657537698746,5,-0.0004237443208694458,0.3239968013903709,0.3239968013903709,0.130362831056118,0.32504995284049504
breast_cancer,6545,both,2.303733468055725,5,2.295678496360779,5,0.008054971694946289,-0.34964859462429126,-0.3508754256188496,2.303733468055725,-0.34964859462429126
breast_cancer,13693,both,2.2631604075431824,5,2.256502389907837,5,0.006658017635345459,-0.29419115026730247,-0.29505918828729427,2.2631604075431824,-0.29419115026730247
breast_cancer,15882,both,2.269862651824951,5,2.2745251059532166,5,-0.004662454128265381,0.20498582829717424,0.20498582829717424,2.269862651824951,0.20540688329828263
breast_cancer,30080,both,2.317085862159729,5,2.272949695587158,5,0.0441361665725708,-1.9048135976899874,-1.9418012927544952,2.317085862159729,-1.9048135976899874
breast_cancer,31569,both,2.250485062599182,5,2.25312477350235,5,-0.0026397109031677246,0.11715777724393174,0.11715777724393174,2.250485062599182,0.11729519769035965
circles,6545,both,0.153415098786354,5,0.15402948111295695,5,-0.0006143823266029358,0.39887320411887955,0.39887320411887955,0.153415098786354,0.40047057392866203
