dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,minibatch,6545,both,0.1113968901336192,5,0.1146979145705699,5,-0.0033010244369506975,2.878016090623587,2.878016090623587,0.1113968901336192,2.9633003515548406
blobs,minibatch,13693,both,0.1470628604292869,5,0.1511750146746635,5,-0.004112154245376587,2.7201282263647584,2.7201282263647584,0.1470628604292869,2.796188128921821
blobs,minibatch,15882,both,0.1308663710951805,5,0.134377934038639,5,-0.0035115629434585016,2.6131990855349714,2.6131990855349714,0.1308663710951805,2.683319567946531
blobs,minibatch,30080,both,0.124676264822483,5,0.128481313586235,5,-0.0038050487637519975,2.9615581110930176,2.9615581110930176,0.124676264822483,3.0519431819438254
blobs,minibatch,31569,both,0.1308242306113243,5,0.1347195729613304,5,-0.0038953423500061035,2.891444995245207,2.891444995245207,0.1308242306113243,2.9775388945944377
breast_cancer,minibatch,6545,both,2.2907819747924805,5,2.9949018955230717,5,-0.7041199207305913,23.510617218652293,23.510617218652293,2.2907819747924805,30.737098880585386
breast_cancer,minibatch,13693,both,2.256646811962128,5,2.912503957748413,5,-0.655857145786285,22.51866968425727,22.51866968425727,2.256646811962128,29.063349315882746
breast_cancer,minibatch,15882,both,2.2703883051872253,5,2.975316643714905,5,-0.7049283385276794,23.692548489478547,23.692548489478547,2.2703883051872253,31.048800635429114
breast_cancer,minibatch,30080,both,2.274465262889862,5,2.986255645751953,5,-0.7117903828620911,23.835547498240356,23.835547498240356,2.274465262889862,31.294845187378822
breast_cancer,minibatch,31569,both,2.238794863224029,5,2.936923623085022,5,-0.6981287598609929,23.770749582097068,23.770749582097068,2.238794863224029,31.183239310082932
circles,minibatch,6545,both,0.1544715538620948,5,0.1585728600621223,5,-0.004101306200027494,2.5863859669433795,2.5863859669433795,0.1544715538620948,2.6550559617526432
circles,minibatch,13693,both,0.1541171893477439,5,0.1582697927951812,5,-0.004152603447437286,2.623749847711761,2.623749847711761,0.1541171893477439,2.6944453535728043
circles,minibatch,15882,both,0.1546211466193198,5,0.1585777774453163,5,-0.003956630825996482,2.4950726953913076,2.4950726953913076,0.1546211466193198,2.558919599618403
circles,minibatch,30080,both,0.1536347568035125,5,0.1586585566401481,5,-0.005023799836635617,3.166422248520796,3.166422248520796,0.1536347568035125,3.2699630872333705
circles,minibatch,31569,both,0.1540703102946281,5,0.1592350751161575,5,-0.005164764821529416,3.243484400507781,3.243484400507781,0.1540703102946281,3.3522129030913583
digits,minibatch,6545,both,4.01187789440155,5,4.910726547241211,5,-0.8988486528396606,18.303781409792066,18.303781409792066,4.01187789440155,22.404686196805134
digits,minibatch,13693,both,4.061774134635925,5,4.874768018722534,5,-0.8129938840866089,16.677591240529622,16.677591240529622,4.061774134635925,20.015733448937358
digits,minibatch,15882,both,4.024267315864563,5,4.865620851516724,5,-0.8413535356521606,17.291802245337134,17.291802245337134,4.024267315864563,20.906999202944508
digits,minibatch,30080,both,4.039893627166748,5,4.856591463088989,5,-0.8166978359222412,16.816276232606732,16.816276232606732,4.039893627166748,20.215825249215943
digits,minibatch,31569,both,4.126461386680603,5,4.870455741882324,5,-0.7439943552017212,15.275661963292652,15.275661963292652,4.126461386680603,18.029839261387178
iris,minibatch,6545,both,0.2019781507551669,5,0.7943966388702393,5,-0.5924184881150724,74.57464686124395,74.57464686124395,0.2019781507551669,293.3082048231979
iris,minibatch,13693,both,0.2181063890457153,5,0.7605502903461456,5,-0.5424439013004303,71.32255528474657,71.32255528474657,0.2181063890457153,248.7061033259019
iris,minibatch,15882,both,0.2085596658289432,5,0.7440546452999115,5,-0.5354949794709682,71.96984560927274,71.96984560927274,0.2085596658289432,256.75864858268966
iris,minibatch,30080,both,0.2228389307856559,5,0.6511147320270538,5,-0.42827580124139797,65.77578116042429,65.77578116042429,0.2228389307856559,192.19074500646724
iris,minibatch,31569,both,0.2148182019591331,5,0.6773454248905182,5,-0.4625272229313851,68.28528043961396,68.28528043961396,0.2148182019591331,215.31100191378383
moons,minibatch,6545,both,0.1302392780780791,5,0.1339804977178573,5,-0.0037412196397781927,2.792361353707341,2.792361353707341,0.1302392780780791,2.8725739999382616
moons,minibatch,13693,both,0.1305715441703795,5,0.134023368358612,5,-0.003451824188232505,2.5755390500232114,2.5755390500232114,0.1305715441703795,2.643626687701807
moons,minibatch,15882,both,0.1303806826472281,5,0.1344808191061019,5,-0.004100136458873804,3.0488633889409185,3.0488633889409185,0.1303806826472281,3.1447422851493814
moons,minibatch,30080,both,0.1301207393407821,5,0.1346633285284041,5,-0.004542589187621987,3.3732934105099246,3.3732934105099246,0.1301207393407821,3.491057006466194
moons,minibatch,31569,both,0.1302157416939735,5,0.1341776698827743,5,-0.003961928188800784,2.9527477949663035,2.9527477949663035,0.1302157416939735,3.04258773728902
olivetti_faces,minibatch,6545,both,33.93204116821289,5,50.34030151367188,5,-16.40826034545899,32.594680309975274,32.594680309975274,33.93204116821289,48.35624318654324
