dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,full_batch,6545,all,0.111618299037218,5,0.1146676763892173,5,-0.0030493773519992967,2.659317296749586,2.659317296749586,0.111618299037218,2.7319690214796344
blobs,full_batch,13693,all,0.1467045694589614,5,0.1510361731052398,5,-0.004331603646278409,2.867924654883973,2.867924654883973,0.1467045694589614,2.9526030867703246
blobs,full_batch,15882,all,0.1311621367931366,5,0.1347213834524154,5,-0.003559246659278814,2.6419314945173245,2.6419314945173245,0.1311621367931366,2.713623570262741
blobs,full_batch,30080,all,0.1246133521199226,5,0.1283300668001174,5,-0.003716714680194813,2.8962150280680854,2.8962150280680854,0.1246133521199226,2.9825974640486397
blobs,full_batch,31569,all,0.1307865753769874,5,0.1346867606043815,5,-0.003900185227394104,2.8957450679582433,2.8957450679582433,0.1307865753769874,2.9820990542431183
blobs,minibatch,6545,all,0.1113968901336192,5,0.1146979145705699,5,-0.0033010244369506975,2.878016090623587,2.878016090623587,0.1113968901336192,2.9633003515548406
blobs,minibatch,13693,all,0.1470628604292869,5,0.1511750146746635,5,-0.004112154245376587,2.7201282263647584,2.7201282263647584,0.1470628604292869,2.796188128921821
blobs,minibatch,15882,all,0.1308663710951805,5,0.134377934038639,5,-0.0035115629434585016,2.6131990855349714,2.6131990855349714,0.1308663710951805,2.683319567946531
blobs,minibatch,30080,all,0.124676264822483,5,0.128481313586235,5,-0.0038050487637519975,2.9615581110930176,2.9615581110930176,0.124676264822483,3.0519431819438254
blobs,minibatch,31569,all,0.1308242306113243,5,0.1347195729613304,5,-0.0038953423500061035,2.891444995245207,2.891444995245207,0.1308242306113243,2.9775388945944377
breast_cancer,full_batch,6545,all,2.295678496360779,5,2.993192195892334,5,-0.6975136995315552,23.303338171493916,23.303338171493916,2.295678496360779,30.383771100234107
breast_cancer,full_batch,13693,all,2.256502389907837,5,2.9226590394973755,5,-0.6661566495895386,22.792828057839444,22.792828057839444,2.256502389907837,29.521646091265456
breast_cancer,full_batch,15882,all,2.274525105953217,5,2.9772777557373047,5,-0.7027526497840877,23.60386592852689,23.60386592852689,2.274525105953217,30.896675879494207
breast_cancer,full_batch,30080,all,2.272949695587158,5,2.9838454723358154,5,-0.7108957767486572,23.824818789699368,23.824818789699368,2.272949695587158,31.27635328352551
breast_cancer,full_batch,31569,all,2.25312477350235,5,2.9410935640335083,5,-0.6879687905311584,23.391598245778226,23.391598245778226,2.25312477350235,30.533985450870148
breast_cancer,minibatch,6545,all,2.2907819747924805,5,2.9949018955230717,5,-0.7041199207305913,23.510617218652293,23.510617218652293,2.2907819747924805,30.737098880585386
breast_cancer,minibatch,13693,all,2.256646811962128,5,2.912503957748413,5,-0.655857145786285,22.51866968425727,22.51866968425727,2.256646811962128,29.063349315882746
breast_cancer,minibatch,15882,all,2.2703883051872253,5,2.975316643714905,5,-0.7049283385276794,23.692548489478547,23.692548489478547,2.2703883051872253,31.048800635429114
breast_cancer,minibatch,30080,all,2.274465262889862,5,2.986255645751953,5,-0.7117903828620911,23.835547498240356,23.835547498240356,2.274465262889862,31.294845187378822
breast_cancer,minibatch,31569,all,2.238794863224029,5,2.936923623085022,5,-0.6981287598609929,23.770749582097068,23.770749582097068,2.238794863224029,31.183239310082932
circles,full_batch,6545,all,0.1540294811129569,5,0.1580957770347594,5,-0.004066295921802521,2.5720458813447578,2.5720458813447578,0.1540294811129569,2.6399465170050913
circles,full_batch,13693,all,0.1534002944827079,5,0.159087911248207,5,-0.005687616765499115,3.575140763917231,3.575140763917231,0.1534002944827079,3.7076961192797797
circles,full_batch,15882,all,0.1539674103260039,5,0.1591812670230865,5,-0.005213856697082603,3.275421030746302,3.275421030746302,0.1539674103260039,3.3863378529540826
circles,full_batch,30080,all,0.1536581590771675,5,0.1587618365883827,5,-0.005103677511215182,3.214675277691163,3.214675277691163,0.1536581590771675,3.3214490801312433
circles,full_batch,31569,all,0.1539152115583419,5,0.1591219827532767,5,-0.0052067711949347895,3.2721884838552073,3.2721884838552073,0.1539152115583419,3.3828827847604597
circles,minibatch,6545,all,0.1544715538620948,5,0.1585728600621223,5,-0.004101306200027494,2.5863859669433795,2.5863859669433795,0.1544715538620948,2.6550559617526432
circles,minibatch,13693,all,0.1541171893477439,5,0.1582697927951812,5,-0.004152603447437286,2.623749847711761,2.623749847711761,0.1541171893477439,2.6944453535728043
circles,minibatch,15882,all,0.1546211466193198,5,0.1585777774453163,5,-0.003956630825996482,2.4950726953913076,2.4950726953913076,0.1546211466193198,2.558919599618403
circles,minibatch,30080,all,0.1536347568035125,5,0.1586585566401481,5,-0.005023799836635617,3.166422248520796,3.166422248520796,0.1536347568035125,3.2699630872333705
circles,minibatch,31569,all,0.1540703102946281,5,0.1592350751161575,5,-0.005164764821529416,3.243484400507781,3.243484400507781,0.1540703102946281,3.3522129030913583
digits,full_batch,6545,all,4.022078156471252,5,4.890899419784546,5,-0.8688212633132935,17.76403865102519,17.76403865102519,4.022078156471252,21.601302349518463
digits,full_batch,13693,all,4.059506893157959,5,4.891204833984375,5,-0.831697940826416,17.003948291998128,17.003948291998128,4.059506893157959,20.48765928266288
digits,full_batch,15882,all,4.02036714553833,5,4.867969274520874,5,-0.847602128982544,17.411821669025805,17.411821669025805,4.02036714553833,21.08270459634973
digits,full_batch,30080,all,4.052412629127502,5,4.857972860336304,5,-0.8055602312088013,16.582229962335248,16.582229962335248,4.052412629127502,19.878534219804784
digits,full_batch,31569,all,4.133074045181274,5,4.872492074966431,5,-0.7394180297851562,15.175356232677926,15.175356232677926,4.133074045181274,17.89026815639171
digits,minibatch,6545,all,4.01187789440155,5,4.910726547241211,5,-0.8988486528396606,18.303781409792066,18.303781409792066,4.01187789440155,22.404686196805134
digits,minibatch,13693,all,4.061774134635925,5,4.874768018722534,5,-0.8129938840866089,16.677591240529622,16.677591240529622,4.061774134635925,20.015733448937358
digits,minibatch,15882,all,4.024267315864563,5,4.865620851516724,5,-0.8413535356521606,17.291802245337134,17.291802245337134,4.024267315864563,20.906999202944508
digits,minibatch,30080,all,4.039893627166748,5,4.856591463088989,5,-0.8166978359222412,16.816276232606732,16.816276232606732,4.039893627166748,20.215825249215943
digits,minibatch,31569,all,4.126461386680603,5,4.870455741882324,5,-0.7439943552017212,15.275661963292652,15.275661963292652,4.126461386680603,18.029839261387178
iris,full_batch,6545,all,0.1997424438595771,5,0.7269376218318939,5,-0.5271951779723169,72.52275327885451,72.52275327885451,0.1997424438595771,263.9374825827932
iris,full_batch,13693,all,0.2039078660309314,5,0.7573840320110321,5,-0.5534761659801007,73.07734815988816,73.07734815988816,0.2039078660309314,271.4344359310505
iris,full_batch,15882,all,0.1943768672645091,5,0.7448557019233704,5,-0.5504788346588613,73.90409085107517,73.90409085107517,0.1943768672645091,283.201824582226
iris,full_batch,30080,all,0.2232242934405803,5,0.7259784936904907,5,-0.5027542002499104,69.25194129294022,69.25194129294022,0.2232242934405803,225.22378389059057
iris,full_batch,31569,all,0.2115340493619442,5,0.6749668419361115,5,-0.46343279257416725,68.66008280419102,68.66008280419102,0.2115340493619442,219.0818896400045
iris,minibatch,6545,all,0.2019781507551669,5,0.7943966388702393,5,-0.5924184881150724,74.57464686124395,74.57464686124395,0.2019781507551669,293.3082048231979
iris,minibatch,13693,all,0.2181063890457153,5,0.7605502903461456,5,-0.5424439013004303,71.32255528474657,71.32255528474657,0.2181063890457153,248.7061033259019
iris,minibatch,15882,all,0.2085596658289432,5,0.7440546452999115,5,-0.5354949794709682,71.96984560927274,71.96984560927274,0.2085596658289432,256.75864858268966
iris,minibatch,30080,all,0.2228389307856559,5,0.6511147320270538,5,-0.42827580124139797,65.77578116042429,65.77578116042429,0.2228389307856559,192.19074500646724
iris,minibatch,31569,all,0.2148182019591331,5,0.6773454248905182,5,-0.4625272229313851,68.28528043961396,68.28528043961396,0.2148182019591331,215.31100191378383
moons,full_batch,6545,all,0.1302099376916885,5,0.1346267759799957,5,-0.00441683828830719,3.280802244691273,3.280802244691273,0.1302099376916885,3.3920900098772746
moons,full_batch,13693,all,0.1304962188005446,5,0.1340773105621337,5,-0.003581091761589106,2.670915568469407,2.670915568469407,0.1304962188005446,2.7442111307934396
moons,full_batch,15882,all,0.1303257271647452,5,0.1344903707504272,5,-0.0041646435856819985,3.0966109784991946,3.0966109784991946,0.1303257271647452,3.195565201349276
