dataset,n_pairs,p_value,q_value,effect_size_signed,median_pct,ci_low_pct,ci_high_pct,comparison_key,comparison_label
blobs,5,0.0007326386987987883,0.0036631934939939416,1.0,0.564563349762704,0.3966781044680401,0.7324485950573678,full_vs_random,Full vs Random
breast_cancer,5,0.2025805320377404,0.30333092611288903,0.2,0.2781644583790096,-0.22914903731670955,0.7854779540747288,full_vs_random,Full vs Random
circles,5,7.105954772654032e-05,0.0007105954772654033,1.0,0.4467397689872901,0.37355601323010185,0.5199235247444783,full_vs_random,Full vs Random
digits,5,0.21233164827902232,0.30333092611288903,-0.6,-0.31690203541065554,-0.9103769979538374,0.27657292713252635,full_vs_random,Full vs Random
iris,5,0.8387330616247917,0.9319256240275463,0.2,-0.11168102278477607,-1.539753873549761,1.316391827980209,full_vs_random,Full vs Random
moons,5,0.011313070911022993,0.028282677277557483,1.0,0.35341607657025476,0.13253467488680717,0.5742974782537024,full_vs_random,Full vs Random
olivetti_faces,5,0.017369992547948264,0.03473998509589653,1.0,0.8038736633462641,0.23328945330435746,1.3744578733881707,full_vs_random,Full vs Random
s_curve,5,0.00816528815521826,0.02721762718406087,1.0,0.4146901651521551,0.17871637784049582,0.6506639524638145,full_vs_random,Full vs Random
swiss_roll,5,0.33154188016505975,0.4144273502063247,0.6,0.34626876663024164,-0.5245701618824284,1.2171076951429116,full_vs_random,Full vs Random
wine,5,0.9612938752956581,0.961293875295658,-0.2,0.02808505044352281,-1.482011536390915,1.5381816372779606,full_vs_random,Full vs Random
GLOBAL_OVERALL,50,0.0037825046725494657,,0.52,0.28072182410760105,0.09519902165071875,0.46624462656448334,full_vs_random,Full vs Random
