dataset,n_pairs,p_value,q_value,effect_size_signed,median_pct,ci_low_pct,ci_high_pct,comparison_key,comparison_label
blobs,10,0.001953125,0.006510416666666667,1.0,0.5391371775055303,0.4106735996539574,0.6273535208410792,full_vs_random,Full vs Random
breast_cancer,10,0.322265625,0.4603794642857143,0.0,0.1690233643252823,-0.14355570719823352,0.3951663259940536,full_vs_random,Full vs Random
circles,10,0.001953125,0.006510416666666667,1.0,0.4351484164578573,0.31132450420907287,0.5512053468075411,full_vs_random,Full vs Random
digits,10,0.322265625,0.4603794642857143,-0.4,-0.05932153725522836,-0.5110483648262935,0.29559879625978475,full_vs_random,Full vs Random
iris,10,1.0,1.0,0.2,-0.005102166557763299,-0.9065348697820482,0.8895953918071077,full_vs_random,Full vs Random
moons,10,0.001953125,0.006510416666666667,1.0,0.42260595196352224,0.2532767560953022,0.5789889251627496,full_vs_random,Full vs Random
olivetti_faces,10,0.76953125,0.8550347222222222,0.2,0.1372510764543476,-0.911988203957668,0.9158891691581944,full_vs_random,Full vs Random
s_curve,10,0.00390625,0.009765625,0.8,0.38595554327453174,0.21724988625396077,0.5409492240452549,full_vs_random,Full vs Random
swiss_roll,10,0.16015625,0.3203125,0.6,0.2564778827069154,-0.12268215664365253,0.7447544878684589,full_vs_random,Full vs Random
wine,10,0.556640625,0.69580078125,-0.2,-0.35265929850325384,-1.33106251293284,0.7881472915087353,full_vs_random,Full vs Random
GLOBAL,10,0.064453125,,0.4,0.20875189270287947,-0.005102166557763299,0.404280747619027,full_vs_random,Full vs Random
