dataset_index	dataset	metric	split	wins_floatsom	wins_xpysom	ties	win_rate_floatsom	median_delta_raw	median_pct_improvement	mean_pct_improvement	ci_low_pct	ci_high_pct	p_value	n_pairs	notes	effect_size_signed
8	blobs	quantization_error	train	7	3	0	0.7	-5.662441253606598e-06	0.004195398244273032	0.0033722619766392813	-0.0022556332495483142	0.008903714099285615	0.16015625	10	positive means FloatSOM is better	0.4
5	breast_cancer	quantization_error	train	1	1	8	0.1	0.0	1.4615133477156087e-08	2.9230266954312174e-09	-1.0393683633731578e-05	1.042291390068589e-05	1.0	10	positive means FloatSOM is better	0.0
7	california_housing	quantization_error	train	7	1	2	0.7	-8.940696716308594e-08	1.1263116717143853e-05	0.0016342654421212244	-0.0045712080500458965	0.009473311099793299	0.1484375	10	positive means FloatSOM is better	0.75
9	circles	quantization_error	train	6	4	0	0.6	2.5890767574365814e-05	-0.015623615095070757	-0.01417516164560308	-0.04463725887988476	0.010715849520610093	0.556640625	10	positive means FloatSOM is better	0.2
14	covertype	quantization_error	train	3	7	0	0.3	1.0251998900923098e-05	-0.00033325025325575696	-0.0021409913255914124	-0.01524145415607629	0.005897918550736155	0.322265625	10	positive means FloatSOM is better	-0.4
4	diabetes	quantization_error	train	2	2	6	0.2	-5.551115123125783e-17	-8.760264679264145e-08	-3.5041058717056576e-08	-8.875550333934994e-06	8.684603109406155e-06	0.625	10	positive means FloatSOM is better	0.0
6	digits	quantization_error	train	0	2	8	0.0	4.76837158203125e-07	-1.082180655703415e-05	-2.16436131140683e-06	-1.0848842748519594e-05	-1.0794770365548707e-05	0.5	10	positive means FloatSOM is better	-1.0
1	iris	quantization_error	train	3	1	6	0.3	-1.4901161193847656e-08	7.847837993378032e-06	1.6560717825068739e-06	-7.642157517572344e-06	8.434852405265644e-06	0.25	10	positive means FloatSOM is better	0.5
13	kddcup99	quantization_error	train	4	6	0	0.4	0.00018712878227233887	-0.0370467915977528	-0.2111997402251927	-0.5892899620567914	0.01034354363480095	0.130859375	10	positive means FloatSOM is better	-0.2
10	moons	quantization_error	train	8	2	0	0.8	-3.0100345610878376e-06	0.0021354446912121476	0.011371454690024938	-0.0003134239765131647	0.048139773157233764	0.083984375	10	positive means FloatSOM is better	0.6
3	olivetti_faces	quantization_error	train	2	4	4	0.2	0.2412090301513672	-0.6875055434059375	-0.3985016311891598	-1.5487499654901096	0.32963286506080614	0.21875	10	positive means FloatSOM is better	-0.3333333333333333
11	s_curve	quantization_error	train	9	1	0	0.9	-7.957220077514648e-06	0.00238523683123699	0.0041012550331198236	1.78370051665367e-05	0.009197535927744015	0.01953125	10	positive means FloatSOM is better	0.8
12	swiss_roll	quantization_error	train	6	4	0	0.6	-5.85615634923764e-06	0.0019244854007824863	0.001909201801488797	-0.004566082909271036	0.008727680602251065	0.625	10	positive means FloatSOM is better	0.2
2	wine	quantization_error	train	0	1	9	0.0	1.1920928955078125e-07	-1.0151445352637863e-05	-1.0151445352637863e-06	-1.0151445352637863e-05	-1.0151445352637863e-05	1.0	10	positive means FloatSOM is better	-1.0
	GLOBAL	quantization_error	train	58	39	43	0.4142857142857143	-5.960464477539063e-08	1.5081178591090658e-05	-0.04311647435673208	-0.0008992648553255843	0.0015659072371921913	0.48401691038814854	140	pooled paired samples across datasets	0.1958762886597938
8	blobs	quantization_error	holdout	7	3	0	0.7	-3.941357135800461e-06	0.002643821118744696	0.0032109890703101067	-0.0010360677945040653	0.0074469982470340736	0.232421875	10	positive means FloatSOM is better	0.4
5	breast_cancer	quantization_error	holdout	1	1	8	0.1	0.0	-2.382390916489629e-07	-4.764781832979258e-08	-9.299453564108572e-06	8.822975380810646e-06	1.0	10	positive means FloatSOM is better	0.0
7	california_housing	quantization_error	holdout	7	2	1	0.7	-5.960464477539063e-08	7.324818183363052e-06	-0.0010763949688126118	-0.011319755265008695	0.0069455660990252075	0.49609375	10	positive means FloatSOM is better	0.5555555555555556
9	circles	quantization_error	holdout	6	4	0	0.6	-2.816319465637207e-06	0.001720457946732814	0.001067716420946821	-0.05036044263386187	0.05223222554638134	0.921875	10	positive means FloatSOM is better	0.2
14	covertype	quantization_error	holdout	3	7	0	0.3	1.0013580322265625e-05	-0.00032473087735247226	-0.0021654326488336454	-0.01538350748352475	0.0059338355907208	0.322265625	10	positive means FloatSOM is better	-0.4
4	diabetes	quantization_error	holdout	0	2	8	0.0	1.1920928955078125e-07	-7.114193586852328e-06	-1.4228387173704656e-06	-7.174273800276683e-06	-7.054113373427974e-06	0.5	10	positive means FloatSOM is better	-1.0
6	digits	quantization_error	holdout	1	1	8	0.1	0.0	6.391713545228631e-08	1.2783427090457262e-08	-1.0506450855760929e-05	1.0634285126665502e-05	1.0	10	positive means FloatSOM is better	0.0
1	iris	quantization_error	holdout	4	2	4	0.4	-1.490116116609208e-08	5.767992406711086e-06	3.625413169551293e-06	-8.398213028231855e-06	1.9355110911921425e-05	0.4375	10	positive means FloatSOM is better	0.3333333333333333
13	kddcup99	quantization_error	holdout	4	6	0	0.4	0.00019946694374084473	-0.03814015429037345	-0.22770332178060887	-0.6098992518616926	0.009787402134780273	0.16015625	10	positive means FloatSOM is better	-0.2
