metric	dataset	MST	RNG
Balanced QE	blobs	p=0.0163	p=0.00134
Balanced QE	circles	p=0.868	p=0.027
Balanced QE	moons	p=0.494	p=0.0132
Balanced QE	s_curve	p=0.000559	p=8.08e-05
Balanced QE	swiss_roll	p=0.247	p=0.0661
Balanced QE	breast_cancer	p=0.208	p=0.364
Balanced QE	wine	p=0.000686	p=0.000229
Balanced QE	iris	p=0.58	p=0.000924
Balanced QE	digits	p=0.165	p=0.266
Balanced QE	olivetti_faces	p=0.0663	p=0.0549
Balanced QE	diabetes	p=0.633	p=0.267
Balanced QE	california_housing	p=0.000356	p=5.65e-05
Balanced QE	covertype	p=0.477	p=0.748
Balanced QE	kddcup99	p=3.14e-08	p=2.81e-05
Balanced QE	OVERALL	p=1.12e-05	p=7.4e-10
Holdout QE	blobs	p=0.401	p=0.0358
Holdout QE	circles	p=0.105	p=0.828
Holdout QE	moons	p=0.216	p=0.00122
Holdout QE	s_curve	p=0.00226	p=0.000724
Holdout QE	swiss_roll	p=0.0913	p=0.0221
Holdout QE	breast_cancer	p=0.0068	p=0.0925
Holdout QE	wine	p=0.000275	p=0.00244
Holdout QE	iris	p=0.0125	p=0.0444
Holdout QE	digits	p=0.0609	p=0.232
Holdout QE	olivetti_faces	p=3.93e-05	p=9.96e-06
Holdout QE	diabetes	p=0.984	p=0.351
Holdout QE	california_housing	p=0.00344	p=0.0154
Holdout QE	covertype	p=0.472	p=0.804
Holdout QE	kddcup99	p=4.8e-08	p=1.58e-05
Holdout QE	OVERALL	p=0.15	p=0.0232
Train QE	blobs	p=0.0162	p=0.00083
Train QE	circles	p=0.119	p=0.000309
Train QE	moons	p=0.445	p=0.0117
Train QE	s_curve	p=0.000219	p=0.000132
Train QE	swiss_roll	p=0.362	p=0.0774
Train QE	breast_cancer	p=0.17	p=0.653
Train QE	wine	p=0.000156	p=0.00114
Train QE	iris	p=0.565	p=0.000872
Train QE	digits	p=0.234	p=0.0623
Train QE	olivetti_faces	p=0.211	p=0.191
Train QE	diabetes	p=0.75	p=0.24
Train QE	california_housing	p=0.00137	p=0.00144
Train QE	covertype	p=0.478	p=0.691
Train QE	kddcup99	p=1.09e-08	p=7.18e-05
Train QE	OVERALL	p=0.0064	p=4.69e-06
